ZTFID,ANN_NUM,IAU_NAME,SPEC_CLS,Z
ZTF23aacfyfb,0,2023dui,---,
ZTF21abdosld,1,2021pzt,SN Ia,0.076
ZTF21aanuyro,2,2021eno,SN Ia,0.07
ZTF20acrcewc,3,2020abcp,SN Ia,0.0239669997
ZTF20acwxbyr,4,2020acvf,SN Ia,0.086093
ZTF21abipytl,5,2021ssu,---,-99.0
ZTF21aamfcji,6,2021dnm,SN Ia,0.046105
ZTF20acgrvqo,7,2020tpf,SN Ia,0.03
ZTF20achoqvb,8,2020xvf,SN Ia,0.03055
