name ra dec hostra_ghost hostdec_ghost hostra_sherlock hostdec_sherlock transient_sep_ghost sep_L2arcsec_ghost transient_sep_sherlock sep_L2arcsec_sherlock sep_host_ghost_v_sherlock sep_L2arcsec_host_ghost_v_sherlock
2020ixj 223.593608333333 42.1598777777778 223.5935015 42.1599575 223.5935171 42.1599419 0.4044640 True 0.3354517 True 0.0698694 True
2020ixk 237.68019086897738 24.82425097443471 -99.0000000 -99.0000000 237.6800847 24.8243746 -99.0000000 False 0.5641389 True -99.0000000 False
2020ixl 132.70724613207665 27.8093014101388 132.7072666 27.8093312 132.7072725 27.8092987 0.1253360 True 0.0844077 True 0.1184073 True
2020ixm 241.725992814243 34.5498381764491 241.7263602 34.5500493 241.7264078 34.5500163 1.3283390 True 1.3875739 True 0.1845272 True
2020ixs 237.35079724152828 16.455012251482355 237.3509144 16.4547432 237.3508750 16.4547500 1.0495283 True 0.9815338 True 0.1381289 True
2020iyg 193.11415 3.39825833333333 193.1138763 3.3981970 -99.0000000 -99.0000000 1.0081440 True -99.0000000 False -99.0000000 False
2020iyt 227.44042487543365 -7.260125785908588 227.4406790 -7.2603443 227.4406747 -7.2603382 1.2012255 True 1.1750177 True 0.0270285 True
2020iyu 216.780329971569 42.76997612830972 216.7784623 42.7685680 216.7802693 42.7698336 7.0751144 False 0.5374446 True 6.6002176 False
2020jba 240.823378180589 34.3869471009561 240.8214881 34.3866394 240.8214742 34.3866509 5.7233511 False 5.7561035 False 0.0585920 True
2020jcy 242.1041569343873 23.604083087779873 242.1039879 23.6037427 242.1039906 23.6036861 1.3463748 True 1.5309197 True 0.2039249 True
2020jde 134.9597573635343 25.24465917939966 134.9603269 25.2443347 134.9603128 25.2442728 2.1916440 False 2.2815745 False 0.2275422 True
2020jdf 137.691835658788 25.1138978528748 137.6918146 25.1141261 137.6917786 25.1141006 0.8245439 True 0.7531246 True 0.1491681 True
2020jdg 209.707166666667 33.9221194444444 209.7071800 33.9221056 -99.0000000 -99.0000000 0.0635945 True -99.0000000 False -99.0000000 False
2020jdz 205.0416462442989 29.465667443360367 205.0422722 29.4656655 205.0420000 29.4656400 1.9620027 True 1.1131844 True 0.8581392 True
2020jed 174.97873704717546 10.90766775330045 174.9788587 10.9074724 174.9788560 10.9074895 0.8244676 True 0.7670991 True 0.0626047 True
2020jeu 156.96193772697475 2.6094202291168784 156.9617885 2.6094541 156.9618680 2.6093860 0.5505296 True 0.2793982 True 0.3768053 True
2020jev 147.16194549671334 33.41757174050077 147.1472576 33.4198038 147.1610000 33.4246600 44.8598263 False 25.6753925 False 44.8399426 False
2020jfo 185.46034885076713 4.481697183275802 185.4788684 4.4737838 185.4483330 4.4940300 72.3148139 False 61.8943585 False 131.6154095 False
2020jfx 224.8412990544371 39.780276054445594 224.8411456 39.7802992 224.8410972 39.7802734 0.4326890 True 0.5586024 True 0.1629958 True
2020jgl 142.2434139072 -14.8055468598523 142.2459365 -14.8075159 142.2450000 -14.8067300 11.2842578 False 6.9725064 False 4.3161863 False
2020jhs 142.05874570732655 25.67038053394709 142.0547781 25.6716154 142.0583425 25.6701084 13.6195499 False 1.6343896 True 12.7745596 False
2020jip 193.45608605267068 2.108801687838134 193.4562604 2.1091748 193.4560000 2.1091000 1.4823570 True 1.1176547 True 0.9745656 True
2020jjb 322.602720276263 11.6026412090973 322.6022171 11.6024383 322.6022352 11.6024249 1.9187697 True 1.8795688 True 0.0798430 True
2020jjp 239.089454166667 33.0307027777778 239.0894288 33.0306725 -99.0000000 -99.0000000 0.1329966 True -99.0000000 False -99.0000000 False
2020jli 219.78916704773837 -9.232294510402197 219.7886168 -9.2323905 219.7886064 -9.2323919 1.9855108 True 2.0227747 False 0.0372967 True
2020jlj 228.0593417206758 9.673159632797073 228.0595124 9.6730361 228.0594978 9.6730215 0.7513809 True 0.7442162 True 0.0740303 True
2020jlk 197.23701226581662 -0.735593426513639 197.2371898 -0.7355259 197.2371388 -0.7355749 0.6838790 True 0.4602045 True 0.2548237 True
2020jmm 223.29831266075527 -12.473875770875708 223.2991452 -12.4741695 223.2991550 -12.4741509 3.1115316 False 3.1220480 False 0.0752017 True
2020jnx 178.10774923234743 21.302475870913693 178.1055748 21.3020647 178.1074038 21.3014735 7.4417680 False 3.7899436 False 6.4933730 False
2020jny 180.743754785349 20.0854358512079 180.7438487 20.0852100 180.7438420 20.0852430 0.8727590 True 0.7542916 True 0.1208117 True
2020jnz 181.460545566737 19.775113140024 181.4605088 19.7750231 181.4605000 19.7750273 0.3473976 True 0.3454651 True 0.0334536 True
2020jpm 218.490548119471 39.6168802334908 218.4909333 39.6166904 218.4909379 39.6166801 1.2680421 True 1.2990599 True 0.0391464 True
2020jpo 192.525845834845 13.0268720869522 192.5258691 13.0269376 192.5258210 13.0269207 0.2496088 True 0.1955427 True 0.1791155 True
2020jpp 183.29201963433823 13.416349234930838 183.2920086 13.4161790 183.2919364 13.4161919 0.6139123 True 0.6370349 True 0.2572831 True
2020jpq 152.73457497680297 4.299816269676827 152.7344854 4.2998296 152.7344784 4.2998487 0.3252063 True 0.3658970 True 0.0732684 True
2020jpw 142.603223754547 -14.5161566527351 142.6031726 -14.5145026 142.6031930 -14.5144956 5.9572210 False 5.9807873 False 0.0753688 True
2020jtj 242.66897153665067 25.442063618057144 242.6701030 25.4404284 242.6700000 25.4403400 6.9412881 False 7.0484637 False 0.4619783 True
2020jtk 243.0101482247277 24.502775800865322 243.0098892 24.5020511 243.0098645 24.5020534 2.7435752 False 2.7616701 False 0.0813611 True
2020jtq 146.770541916471 33.78691550785851 146.7702250 33.7884078 146.7702094 33.7884033 5.4551269 False 5.4477745 False 0.0493645 True
2020jtr 182.170758958463 19.8743580737062 182.1711680 19.8743122 182.1711330 19.8742825 1.3947076 True 1.2952573 True 0.1597415 True
2020jts 139.38281572486477 34.741703906183375 139.3828499 34.7418174 139.3828144 34.7417904 0.4208712 True 0.3115060 True 0.1430085 True
2020juk 155.11548094063966 -1.9700717136350256 155.1159023 -1.9711785 155.1158750 -1.9711700 4.2629250 False 4.2003409 False 0.1026742 True
2020jup 241.0420376967115 27.57694986388433 241.0417772 27.5769029 241.0420000 27.5769300 0.8480879 True 0.1399409 True 0.7174456 True
2020juq 236.28677890119712 21.87827199505201 236.2865754 21.8782182 236.2865692 21.8782063 0.7070049 True 0.7392787 True 0.0473760 True
