ZTFID,ANN_NUM,IAU_NAME,SPEC_CLS,Z
ZTF23aaxoybh,0,2023rbi,---,
ZTF20aclwowi,1,2020xvc,SN Ia,0.1
ZTF21abifrsi,2,2021rdt,SN Ia,0.064
ZTF21abqhkjd,3,2021uqv,TDE,0.106
ZTF20accodxy,4,2020uog,SN Ia,0.075
ZTF21abexhlq,5,2021pil,SN Ia,0.07
ZTF21aavotzn,6,2021jun,SN Iax[02cx-like],0.04
ZTF18abfeyey,7,2021sxf,SN Ia,0.089
ZTF18aagtwyh,8,2021oud,SN Ia,0.066041
