key_0,ann=0,ann=1,ann=2,ann=3,ann=4,ann=5,ann=6,ann=7,ann=8,ann=9,dist=0,dist=1,dist=2,dist=3,dist=4,dist=5,dist=6,dist=7,dist=8,dist=9,Mean-9ANNs,WeightedMean-9ANNs
ZTF17aaaduzw,0,285,1456,1457,1541,454,190,1442,520,17,0.0,29.841388702392578,40.35546112060547,45.13511657714844,48.774749755859375,50.400978088378906,53.43767547607422,53.47966384887695,53.806365966796875,53.919273376464844,47.68340810139974,39.38669655539773
ZTF17aaaemzh,1,701,1240,871,1645,257,11,129,1676,503,0.0,24.573619842529297,25.092548370361328,25.164390563964844,25.614788055419922,25.991851806640625,27.1016902923584,29.94948959350586,30.30765151977539,30.745616912841797,27.171294106377495,25.3036198832772
ZTF17aaaeupz,2,16,259,874,333,9,1702,1611,1571,1678,0.0,37.862770080566406,43.63624572753906,43.867164611816406,44.640235900878906,45.91594314575195,45.96506881713867,46.573829650878906,47.17969512939453,47.28120803833008,44.769129011366104,41.888339259407736
ZTF17aaahfrf,3,309,807,17,498,531,114,248,746,148,0.0,17.082456588745117,23.736621856689453,30.713897705078125,31.60692596435547,31.70355224609375,32.40116500854492,32.99604034423828,33.916351318359375,33.981040954589844,29.79311688741048,24.10249306938865
ZTF17aaahrni,4,4706,10,5473,2004,1031,1982,3983,4512,939,0.0,56.55535125732422,56.995811462402344,62.537879943847656,62.77501678466797,63.605587005615234,63.63641357421875,63.832515716552734,64.04934692382812,64.52897644042969,62.05743323432075,59.092807813124224
ZTF17aaawlbw,5,534,209,1459,1826,1119,285,463,857,1452,0.0,29.364673614501953,39.106781005859375,43.80302429199219,46.456966400146484,53.37290573120117,53.678794860839844,57.18125534057617,60.84270477294922,62.35950469970703,49.57406785753038,38.93411345915361
ZTF17aaazdba,6,4321,932,6087,2229,4143,3860,2998,3763,2012,0.0,85.10719299316406,93.31867218017578,94.76402282714844,95.83427429199219,96.01583862304688,96.18460083007812,97.17091369628906,99.35870361328125,100.00198364257812,95.30624474419488,91.07134862379594
ZTF17aabbbhd,7,1550,1354,346,13,388,1536,645,1590,283,0.0,35.73773956298828,37.833858489990234,39.932151794433594,40.08612823486328,40.874755859375,41.01771545410156,41.113460540771484,41.49217224121094,41.62287139892578,39.967872619628906,37.979205261577256
ZTF17aabhioj,8,285,1119,0,1456,463,965,520,810,17,0.0,51.56626510620117,56.34089660644531,56.62748336791992,57.227638244628906,61.92121505737305,62.25685119628906,62.613033294677734,62.64507293701172,63.35090637207031,59.39437357584635,55.431692123413086
ZTF17aabumhg,9,1387,1013,616,259,333,435,1668,1613,1130,0.0,26.646657943725586,30.337080001831055,30.85228729248047,31.055805206298828,31.667476654052734,31.964881896972656,33.358863830566406,33.43375015258789,33.72362518310547,31.448936462402344,29.32611771063371
