key_0,ann=0,ann=1,ann=2,ann=3,ann=4,ann=5,ann=6,ann=7,ann=8,ann=9,dist=0,dist=1,dist=2,dist=3,dist=4,dist=5,dist=6,dist=7,dist=8,dist=9,Mean-9ANNs,WeightedMean-9ANNs
ZTF17aaahrni,0,1275,2924,395,2607,2770,954,3482,2354,3515,0.0,22.491769790649414,23.72936248779297,24.6903076171875,27.278308868408203,27.550308227539062,27.891319274902344,27.974550247192383,28.218393325805664,28.58186149597168,26.4895757039388,24.277410333806817
ZTF17aaazdba,1,932,2256,2620,1421,937,166,1069,1024,2186,0.0,35.879154205322266,36.82728576660156,37.216922760009766,37.483543395996094,37.97098159790039,40.83149337768555,40.941593170166016,41.15194320678711,41.50253677368164,38.8672726949056,36.97545047239824
ZTF17aabwial,2,638,920,1275,0,1804,2190,758,3046,1857,0.0,23.029260635375977,27.023120880126953,27.4992618560791,28.813758850097656,29.180496215820312,29.436294555664062,29.803993225097656,30.8294620513916,30.84605598449707,28.495744917127823,26.067906184629962
ZTF17aacmssc,3,1258,2971,899,1008,387,718,1145,876,739,0.0,12.687455177307129,13.321723937988281,13.890382766723633,14.400473594665527,15.039531707763672,15.826698303222656,16.126991271972656,16.275497436523438,16.719703674316406,14.920939763387045,13.57767477902499
ZTF18aaacqmh,4,654,2431,55,2198,1856,2264,1493,2516,226,0.0,44.907283782958984,52.78714370727539,59.189544677734375,71.3226318359375,73.1756362915039,77.63103485107422,84.96507263183594,86.57183837890625,89.66252136230469,71.13474527994792,55.913165829398416
ZTF18aabdjcx,5,777,2382,749,333,476,603,630,167,767,0.0,17.377307891845703,17.605587005615234,17.812870025634766,18.18756103515625,19.007495880126953,19.044626235961914,19.2966251373291,19.371076583862305,19.427547454833984,18.570077472262913,17.80882757360285
ZTF18aabdnbr,6,3401,3672,3605,3132,2049,3430,3702,1454,1532,0.0,22.222412109375,22.632347106933594,22.7418212890625,23.967885971069336,24.2778377532959,24.35652732849121,24.77950668334961,24.8248233795166,24.900508880615234,23.855963389078777,22.86330888488076
ZTF18aabeszt,7,1333,3628,2069,3338,3087,3295,1398,985,1453,0.0,16.145368576049805,16.83574676513672,17.995574951171875,18.06278419494629,18.593151092529297,18.627696990966797,18.948101043701172,19.206340789794922,19.244802474975586,18.184396319919163,17.115160833705556
ZTF18aabtkwb,8,335,630,562,162,749,755,664,831,2382,0.0,15.724517822265625,17.15694808959961,18.571168899536133,18.969654083251953,19.21356201171875,19.364171981811523,20.867660522460938,20.918075561523438,20.94662094116211,19.081375545925564,17.339457815343682
ZTF18aabtsqv,9,2278,3777,4145,2959,3350,2954,1744,580,3609,0.0,21.869962692260742,23.109434127807617,23.189682006835938,25.66937255859375,25.83258819580078,26.283327102661133,27.16822624206543,27.27336311340332,27.486961364746094,25.320324156019424,23.327356750314888
ZTF18aabvmws,10,70,473,2795,300,24,3681,3986,2132,340,0.0,35.79885482788086,37.41554641723633,37.716190338134766,38.842689514160156,39.19775390625,39.625911712646484,39.691287994384766,40.137577056884766,40.20612716674805,38.73688210381402,37.25604902614247
ZTF18aabxpzd,11,880,121,450,1577,57,3344,1460,388,713,0.0,27.58550262451172,32.19413375854492,33.426673889160156,35.55525588989258,37.02678680419922,37.311065673828125,39.134559631347656,40.19725036621094,40.276817321777344,35.85644955105252,31.690716179934416
ZTF18aabxrxc,12,216,832,602,674,573,709,539,744,745,0.0,16.464019775390625,23.07927894592285,26.224328994750977,26.389171600341797,26.76538848876953,27.81542205810547,28.22846221923828,28.41069221496582,28.64071273803711,25.779719670613606,21.900599067861382
ZTF18aacnlxz,13,1396,983,1310,1805,1336,3424,440,1395,1140,0.0,17.258237838745117,17.318893432617188,17.37712287902832,17.959003448486328,18.51070785522461,18.716798782348633,18.78485107421875,18.91297149658203,19.627147674560547,18.273970497979057,17.55528671091253
ZTF18aacqksn,14,3929,1413,2462,32,1111,2531,1993,4022,3741,0.0,17.862045288085938,18.936626434326172,19.821046829223633,20.353532791137695,20.65447235107422,21.03987693786621,21.207395553588867,21.32276725769043,21.689937591552734,20.3208556705051,19.06022789261558
ZTF18aadaexi,15,2670,102,424,152,430,2541,2024,3049,2639,0.0,20.621885299682617,22.279483795166016,24.15717887878418,24.262725830078125,24.343957901000977,24.82621192932129,25.126144409179688,25.141780853271484,25.291044235229492,24.00560145907932,22.432294672185723
ZTF18aadlaxo,16,3826,3234,152,608,1781,2411,1309,3803,3701,0.0,19.421693801879883,19.661178588867188,19.713346481323242,20.050827026367188,20.78757095336914,21.015663146972656,21.08909034729004,21.384084701538086,22.64022445678711,20.640408833821613,19.807838569987904
ZTF18aadsuxd,17,1888,1158,1804,967,3272,1262,2607,1529,2777,0.0,17.698583602905273,18.249996185302734,21.16485023498535,22.059362411499023,22.350053787231445,22.78302574157715,22.787338256835938,23.09141731262207,23.672752380371094,21.539708879258896,19.421112580732867
ZTF18aaflcyp,18,1957,1042,893,2459,192,1314,282,324,2820,0.0,23.066728591918945,23.73651695251465,27.738834381103516,28.79850959777832,28.961332321166992,29.410844802856445,29.95661163330078,29.98177146911621,30.231290817260742,27.98693784077962,25.305614016272806
ZTF18aaftrfv,19,2047,976,936,2164,526,3691,448,1299,1668,0.0,18.41400146484375,19.088590621948242,20.291784286499023,20.851152420043945,21.262882232666016,21.30254364013672,21.315107345581055,21.807161331176758,21.92892074584961,20.695793787638348,19.47871825911782
ZTF18aafzcbw,20,2564,2129,3895,3408,1420,3636,3949,2226,3951,0.0,12.988424301147461,13.357061386108398,15.363005638122559,16.7075252532959,16.950366973876953,17.226591110229492,17.705978393554688,17.75088119506836,18.040363311767578,16.23224417368571,14.353622729128057
ZTF18aafzers,21,1552,3819,41,2311,2390,2135,1136,2419,3828,0.0,20.942121505737305,20.994003295898438,23.175874710083008,23.489355087280273,24.059276580810547,24.859102249145508,25.40202522277832,26.08974266052246,26.330078125,23.926842159695095,22.047783786600288
ZTF18aagazmu,22,1718,275,2715,1986,3558,2254,1138,2273,2191,0.0,22.58931541442871,22.742969512939453,24.810089111328125,25.098434448242188,25.250978469848633,25.57280921936035,26.213987350463867,26.303001403808594,26.359329223632812,24.99343490600586,23.602515263990924
ZTF18aagtwyh,23,1517,3760,3250,1236,3002,3725,3542,3189,1187,0.0,18.83553695678711,19.007369995117188,19.008981704711914,19.625268936157227,20.260541915893555,20.63106918334961,20.64296531677246,21.022247314453125,21.279996871948242,20.03488646613227,19.209841273047708
ZTF18aahfbqp,24,3853,1587,932,1640,340,218,3517,70,54,0.0,27.047443389892578,27.31637191772461,29.691585540771484,29.984678268432617,30.079021453857422,30.079572677612305,30.659944534301758,30.972864151000977,31.076852798461914,29.656481636895073,28.217367670752786
ZTF18aahiqsu,25,117,636,1285,1101,232,194,257,313,4087,0.0,17.01569175720215,18.3743896484375,20.251527786254883,20.575258255004883,20.80735206604004,22.414257049560547,22.655710220336914,23.011951446533203,24.544757843017578,21.072321785820854,18.822901032187723
ZTF18aahsuyl,26,362,2348,2263,484,3831,1330,1139,1127,2276,0.0,16.207801818847656,18.16191291809082,19.893463134765625,19.902143478393555,19.935436248779297,20.440359115600586,20.89884376525879,20.98577880859375,21.00597381591797,19.714634789360893,18.125969323244963
ZTF18aaikcbb,27,2612,3082,1240,837,2904,253,2902,3202,493,0.0,25.53333282470703,26.119644165039062,26.44174575805664,26.808673858642578,26.878353118896484,26.89415740966797,27.340587615966797,27.72269058227539,28.000534057617188,26.859968821207683,26.14018826051192
ZTF18aaimlad,28,815,668,989,2703,121,709,2828,361,2701,0.0,27.516361236572266,28.809131622314453,31.482864379882812,32.99753952026367,34.19518280029297,34.75761795043945,35.39765930175781,36.810028076171875,37.172996520996094,33.237709045410156,29.929917162114922
ZTF18aairvdw,29,640,758,295,98,429,495,137,72,803,0.0,26.551895141601562,28.110580444335938,28.620079040527344,29.888845443725586,30.251667022705078,30.480791091918945,31.910419464111328,32.7036247253418,33.00677490234375,30.169408586290146,28.14193593371998
ZTF18aaisqmw,30,1198,3423,3320,122,222,4128,837,1691,1813,0.0,23.492984771728516,24.688310623168945,26.62056541442871,28.12194061279297,28.184005737304688,28.6745662689209,28.817094802856445,29.192354202270508,29.605030059814453,27.48853916592068,25.359479340639982
ZTF18aaiukzn,31,612,540,712,200,272,140,766,707,840,0.0,14.537875175476074,15.023004531860352,16.869264602661133,17.303146362304688,17.332918167114258,17.514280319213867,18.506488800048828,18.752246856689453,19.07616424560547,17.212821006774902,15.699378208680587
ZTF18aaiumgp,32,1528,2454,3831,20,49,545,2129,308,2127,0.0,15.734074592590332,16.928804397583008,17.531940460205078,18.05608558654785,18.30946922302246,18.56075096130371,18.577882766723633,18.915142059326172,19.242938995361328,17.9841210047404,16.87921346317638
ZTF18aaivzrf,33,769,327,66,834,296,662,788,551,811,0.0,13.1343412399292,14.011114120483398,14.662930488586426,15.466474533081055,15.563936233520508,15.604763984680176,15.7644681930542,16.322021484375,16.467998504638672,15.22200542026096,14.137543418190695
ZTF18aaizgoq,34,2845,3661,1654,167,1964,1934,2896,2286,492,0.0,17.10083770751953,17.73986053466797,19.124263763427734,20.53474998474121,20.857105255126953,20.9426326751709,21.705904006958008,22.08214569091797,22.40669822692871,20.277133093939888,18.43037566271695
ZTF18aajawol,35,2571,3949,1362,3374,1290,3894,1643,1386,3345,0.0,12.089877128601074,15.165262222290039,15.98836898803711,16.079975128173828,16.712892532348633,16.720840454101562,17.122020721435547,17.225372314453125,17.379968643188477,16.0538420147366,14.415810151533647
ZTF18aajhfdm,36,2247,459,3800,3643,3870,2435,438,3862,2222,0.0,20.60556983947754,21.071609497070312,22.30150604248047,23.08063316345215,23.804399490356445,24.272655487060547,24.31132698059082,24.350872039794922,24.39716911315918,23.13286018371582,21.668959964405406
