key_0,ann=0,ann=1,ann=2,ann=3,ann=4,ann=5,ann=6,ann=7,ann=8,ann=9,dist=0,dist=1,dist=2,dist=3,dist=4,dist=5,dist=6,dist=7,dist=8,dist=9,Mean-9ANNs,WeightedMean-9ANNs
ZTF17aaazdba,0,692,67,1034,588,201,123,650,569,384,0.0,93.02853393554688,97.33145904541016,101.45378112792969,103.52195739746094,104.58024597167969,106.27316284179688,106.75064086914062,108.92095947265625,109.42449951171875,103.47613779703777,98.04060303081165
ZTF18aaacqmh,1,14,572,268,463,177,130,591,427,63,0.0,157.06329345703125,168.67044067382812,197.49929809570312,201.420166015625,203.711669921875,204.6930389404297,214.6495361328125,217.0641632080078,219.40939331054688,198.2423333062066,176.81242648037997
ZTF18aabeszt,2,881,303,542,322,847,358,707,371,1077,0.0,40.549346923828125,42.13694763183594,42.625144958496094,44.993431091308594,45.893795013427734,46.177330017089844,46.24365997314453,46.49399948120117,47.820552825927734,44.77046754625108,42.41398711638017
ZTF18aacnlxz,3,864,262,248,590,1028,164,1037,934,750,0.0,45.361717224121094,47.403480529785156,48.87662124633789,49.48841094970703,50.07798385620117,53.256805419921875,54.119895935058594,54.41671371459961,54.777408599853516,50.86433749728732,47.68942148035223
ZTF18aadlaxo,4,1001,850,906,471,296,654,705,314,16,0.0,48.18199157714844,48.3712158203125,53.16047668457031,53.62567138671875,53.64404296875,53.74465560913086,54.117958068847656,57.213172912597656,59.463600158691406,53.50253168741862,50.32320096276023
ZTF18aadsuxd,5,476,240,449,147,685,862,1027,973,362,0.0,45.61199188232422,47.71659851074219,55.3900146484375,55.84773635864258,56.356056213378906,56.71062469482422,56.8509521484375,58.075416564941406,58.68059539794922,54.582220713297524,50.02361869812012
ZTF18aafzers,6,999,605,632,366,1003,557,702,231,771,0.0,55.66971969604492,56.48916244506836,60.079856872558594,60.219669342041016,62.892822265625,65.02948760986328,67.21653747558594,69.02198028564453,69.46827697753906,62.898612552218964,58.230844107541174
ZTF18aagtwyh,7,858,986,269,1043,992,934,1028,215,279,0.0,39.83784484863281,43.40865707397461,45.961280822753906,50.090858459472656,50.87440872192383,51.17069625854492,53.94383239746094,54.05943298339844,54.33941650390625,49.29849200778537,44.18707600506869
ZTF18aahfbqp,8,1011,695,810,375,123,351,999,926,377,0.0,67.86332702636719,69.16399383544922,70.6962890625,73.35316467285156,73.86405944824219,75.81722259521484,76.8094253540039,78.28788757324219,80.14157104492188,73.9996600680881,70.1647083976052
ZTF18aaikcbb,9,1014,556,36,880,1062,697,773,112,998,0.0,73.40483856201172,74.30641174316406,75.4644775390625,76.33274841308594,77.25999450683594,78.38426208496094,78.865478515625,81.08670043945312,81.83190155029297,77.43742370605469,74.8863826231523
ZTF18aaisqmw,10,898,812,416,901,1081,131,850,24,440,0.0,62.4788932800293,67.74081420898438,68.84356689453125,69.13451385498047,69.6395034790039,70.20901489257812,71.17951202392578,71.7447509765625,72.22547149658203,69.24400456746419,66.36404271559282
ZTF18aaizgoq,11,760,499,601,513,474,1045,215,232,30,0.0,46.00985336303711,49.95909881591797,55.766624450683594,57.52817916870117,60.67218017578125,61.164955139160156,61.79096603393555,61.837642669677734,62.03602600097656,57.41839175754123,51.51112508773804
ZTF18aajjhkq,12,1030,306,796,819,579,249,223,251,799,0.0,42.655670166015625,44.769691467285156,47.045562744140625,47.271141052246094,48.472110748291016,50.349674224853516,51.08561706542969,51.264366149902344,51.324825286865234,48.248739878336586,45.20895173332908
ZTF18aajupnt,13,960,366,605,940,370,683,583,293,535,0.0,57.23971939086914,60.24647521972656,67.96153259277344,69.18074035644531,69.27755737304688,69.93623352050781,70.3555908203125,70.88227081298828,71.87413787841797,67.43936199612088,62.362913218411535
ZTF18aamzgzi,14,1,591,268,177,572,463,130,349,77,0.0,157.06329345703125,160.70091247558594,177.1468505859375,182.36087036132812,182.51734924316406,183.00775146484375,186.05520629882812,186.17379760742188,194.17779541015625,178.80042521158853,166.94021779840642
ZTF18aansqom,15,999,926,198,771,605,665,443,810,296,0.0,51.497886657714844,62.26606750488281,62.491111755371094,63.91709518432617,65.39973449707031,65.52322387695312,66.80044555664062,69.0655517578125,69.28883361816406,64.0277722676595,58.838186350735754
ZTF18aansqov,16,989,1063,233,33,782,625,987,325,654,0.0,44.610137939453125,45.26392364501953,49.98322677612305,51.745079040527344,53.289695739746094,55.03989028930664,55.37108612060547,56.50069046020508,56.62728500366211,52.04789055718316,47.57349959286776
ZTF18aaoxrup,17,538,296,44,767,946,937,968,196,2,0.0,54.155487060546875,58.99828338623047,60.10853958129883,61.221099853515625,62.68240737915039,62.70317077636719,63.41516876220703,64.57393646240234,64.57640838623047,61.38161129421658,58.05605177445845
ZTF18aarindm,18,601,287,149,934,526,992,513,289,215,0.0,50.20276641845703,52.906524658203125,53.92255783081055,56.10243225097656,60.337608337402344,61.36211395263672,62.82102966308594,64.82347106933594,64.90487670898438,58.59815343221029,53.510097460313276
ZTF18aasdwcj,19,530,987,531,935,33,871,1021,1063,38,0.0,61.77730178833008,65.53458404541016,69.23139953613281,71.09956359863281,71.47322082519531,71.61883544921875,73.0009765625,73.12371826171875,73.53837585449219,70.04421954684787,66.02665779807351
ZTF18aatgdph,20,394,604,461,958,102,565,643,479,124,0.0,52.53424835205078,53.036285400390625,56.19188690185547,68.38163757324219,68.55951690673828,72.40447235107422,73.52357482910156,75.29901885986328,77.69950866699219,66.40334998236762,57.24466757340865
ZTF18aatrkga,21,860,682,210,183,919,169,112,771,236,0.0,49.31431579589844,57.39457702636719,57.96903991699219,59.54972839355469,62.6270637512207,62.96066665649414,64.26393127441406,65.1006088256836,65.3335189819336,60.50149451361762,55.37440352006392
ZTF18aauvmnq,22,34,887,335,783,287,289,387,7,585,0.0,59.44029998779297,59.533447265625,63.941768646240234,65.52479553222656,65.53854370117188,67.81167602539062,69.85328674316406,70.17550659179688,72.48358154296875,66.0336562262641,61.819401784376666
ZTF18aawfofp,23,351,427,268,123,683,960,999,1048,8,0.0,88.81501770019531,88.98651123046875,90.8470230102539,91.8570556640625,93.9549331665039,94.60943603515625,94.96754455566406,95.08010864257812,98.01490020751953,93.01472557915582,90.23781993172385
ZTF18aayyqia,24,906,30,445,48,812,721,850,678,691,0.0,61.769493103027344,65.10246276855469,67.53579711914062,68.23761749267578,69.60383605957031,69.99524688720703,70.7759780883789,71.20054626464844,71.26956176757812,68.38783772786458,65.1500883102417
ZTF18aazijke,25,486,724,926,762,15,380,219,828,662,0.0,63.98006057739258,64.57510375976562,66.72683715820312,69.45878601074219,69.67682647705078,70.36991882324219,71.94490051269531,74.37055206298828,74.51943969726562,69.51360278659396,65.98627376556396
ZTF18abaeqpf,26,147,774,237,730,1060,670,5,347,446,0.0,50.614253997802734,57.90302276611328,62.07963943481445,62.18659591674805,62.94548797607422,63.09279251098633,63.177345275878906,63.83708953857422,64.23041534423828,61.11851586235894,56.815956896001644
ZTF18abdqwzs,27,635,799,161,365,746,255,710,732,892,0.0,50.950096130371094,52.18299865722656,53.49728012084961,53.63661193847656,54.480525970458984,56.541664123535156,56.86293029785156,56.96477508544922,57.61265182495117,54.74772601657443,52.53448508002541
ZTF18ablmduj,28,825,806,537,944,330,893,1006,304,732,0.0,37.984100341796875,40.84685516357422,42.5400276184082,44.46821594238281,45.95189666748047,46.871768951416016,46.8919792175293,47.47506332397461,48.178123474121094,44.57867007785373,41.111606727946885
ZTF18abolvsx,29,293,177,268,130,527,462,144,678,13,0.0,97.74248504638672,98.5564193725586,105.80018615722656,107.65680694580078,110.06758117675781,110.34215545654297,110.61798858642578,110.92472839355469,111.91313171386719,107.06905364990234,101.76164072210139
ZTF18abquxjv,30,906,471,705,850,1001,114,11,4,336,0.0,50.119041442871094,55.45075988769531,57.345306396484375,58.031558990478516,59.740047454833984,60.8404655456543,62.03602600097656,62.52048110961914,63.56636047363281,58.85000525580512,54.654947150837295
ZTF18abqyvzy,31,937,395,847,919,346,911,428,159,355,0.0,62.22193145751953,66.06829071044922,66.3150863647461,68.51091003417969,71.20648193359375,73.13330078125,73.62971496582031,73.77035522460938,74.6430892944336,69.94435119628906,65.7303223176436
ZTF18abrbywo,32,277,470,1020,908,630,787,667,1072,488,0.0,60.08253479003906,65.64790344238281,70.96954345703125,77.45022583007812,77.83489990234375,80.93431854248047,81.51133728027344,85.43606567382812,86.12638092041016,76.22146775987413,67.38841594349255
ZTF18abrfccm,33,38,987,989,871,16,672,507,510,273,0.0,44.595733642578125,47.08653259277344,50.10765838623047,51.248748779296875,51.745079040527344,52.80743408203125,54.9288330078125,55.682098388671875,55.76134490966797,51.55149586995443,47.783073685385965
ZTF18abtxmwz,34,22,887,243,287,790,568,54,404,335,0.0,59.44029998779297,60.835365295410156,62.996971130371094,66.302490234375,66.56421661376953,67.99871826171875,68.91548156738281,70.56166076660156,70.73162841796875,66.03853691948785,62.08903304013339
ZTF18abtyrqh,35,51,474,753,513,541,991,573,122,1083,0.0,74.23674011230469,98.8209228515625,103.09396362304688,107.84839630126953,111.19564819335938,111.24691009521484,114.01136016845703,114.22065734863281,114.32122802734375,105.44398074679904,92.5975092974576
ZTF18abufaej,36,454,445,121,207,178,165,151,880,192,0.0,46.87498092651367,50.51471710205078,56.873931884765625,58.870704650878906,59.685646057128906,60.59477996826172,61.26171112060547,61.31636428833008,61.48897171020508,57.497978634304474,52.16393739526922
ZTF18abuoilc,37,992,264,1028,977,235,874,864,74,640,0.0,46.74208068847656,53.05195999145508,53.175750732421875,53.410430908203125,53.45058822631836,55.88995361328125,56.34376907348633,57.249385833740234,58.011741638183594,54.14729563395182,50.96319974552501
ZTF18abuxjrd,38,33,987,749,672,601,507,83,790,1067,0.0,44.595733642578125,56.025814056396484,57.44916534423828,58.86663055419922,59.20409393310547,59.81414794921875,60.389427185058594,61.177947998046875,62.6049690246582,57.7919921875,52.620385430075906
ZTF18abvkmgw,39,178,868,1076,828,707,976,416,371,944,0.0,68.21998596191406,71.05812072753906,75.02561950683594,76.2644271850586,77.41900634765625,79.17626190185547,79.49089050292969,79.55083465576172,80.0793685913086,76.2538350423177,72.04982194033536
ZTF18abvmlow,40,390,180,104,103,369,78,72,682,405,0.0,107.81918334960938,108.32841491699219,114.22773742675781,116.84405517578125,120.79974365234375,122.23213195800781,125.25660705566406,126.02194213867188,126.18887329101562,118.63540988498264,111.74864907698198
ZTF18abvpnnb,41,71,122,513,171,11,468,474,49,90,0.0,74.93472290039062,84.44134521484375,87.30859375,90.76953125,90.791748046875,91.414794921875,92.59957885742188,92.75113677978516,93.0197525024414,88.67013380262587,82.74306782809171
