ZTFID,ANN_NUM,IAU_NAME,SPEC_CLS,Z
ZTF23aakawpn,0,2023jgu,SN Ia,0.05
ZTF21abbkglo,1,2021mim,SN Ia,0.03812
ZTF21abczjhy,2,2021nyt,SN Ia,0.064524
ZTF21abmdhes,3,2021tol,SN Ia,0.04
ZTF20acukxat,4,2020abiu,SN Ia,0.0425460003
ZTF20acvagdq,5,2020aboj,SN Ia,0.035428
ZTF21aaqwfqe,6,2021hen,SN I,0.021125
ZTF21aarjczf,7,2021ics,SN Ia,0.06
ZTF20abvycvf,8,2020rvf,SN Ia,0.022222
