ztf_object_id,obs_num,mjd_cutoff,feature_amplitude_magn_r,feature_anderson_darling_normal_magn_r,feature_beyond_1_std_magn_r,feature_beyond_2_std_magn_r,feature_cusum_magn_r,feature_eta_e_magn_r,feature_inter_percentile_range_2_magn_r,feature_inter_percentile_range_10_magn_r,feature_inter_percentile_range_25_magn_r,feature_kurtosis_magn_r,feature_linear_fit_slope_magn_r,feature_linear_fit_slope_sigma_magn_r,feature_linear_fit_reduced_chi2_magn_r,feature_linear_trend_magn_r,feature_linear_trend_sigma_magn_r,feature_linear_trend_noise_magn_r,feature_magnitude_percentage_ratio_40_5_magn_r,feature_magnitude_percentage_ratio_20_5_magn_r,feature_maximum_slope_magn_r,feature_mean_magn_r,feature_median_absolute_deviation_magn_r,feature_percent_amplitude_magn_r,feature_percent_difference_magnitude_percentile_5_magn_r,feature_percent_difference_magnitude_percentile_10_magn_r,feature_median_buffer_range_percentage_10_magn_r,feature_median_buffer_range_percentage_20_magn_r,feature_period_0_magn_r,feature_period_s_to_n_0_magn_r,feature_period_1_magn_r,feature_period_s_to_n_1_magn_r,feature_period_2_magn_r,feature_period_s_to_n_2_magn_r,feature_period_3_magn_r,feature_period_s_to_n_3_magn_r,feature_period_4_magn_r,feature_period_s_to_n_4_magn_r,feature_periodogram_amplitude_magn_r,feature_periodogram_beyond_2_std_magn_r,feature_periodogram_beyond_3_std_magn_r,feature_periodogram_standard_deviation_magn_r,feature_chi2_magn_r,feature_skew_magn_r,feature_standard_deviation_magn_r,feature_stetson_k_magn_r,feature_weighted_mean_magn_r,feature_anderson_darling_normal_flux_r,feature_cusum_flux_r,feature_eta_e_flux_r,feature_excess_variance_flux_r,feature_kurtosis_flux_r,feature_mean_variance_flux_r,feature_chi2_flux_r,feature_skew_flux_r,feature_stetson_k_flux_r,feature_amplitude_magn_g,feature_anderson_darling_normal_magn_g,feature_beyond_1_std_magn_g,feature_beyond_2_std_magn_g,feature_cusum_magn_g,feature_eta_e_magn_g,feature_inter_percentile_range_2_magn_g,feature_inter_percentile_range_10_magn_g,feature_inter_percentile_range_25_magn_g,feature_kurtosis_magn_g,feature_linear_fit_slope_magn_g,feature_linear_fit_slope_sigma_magn_g,feature_linear_fit_reduced_chi2_magn_g,feature_linear_trend_magn_g,feature_linear_trend_sigma_magn_g,feature_linear_trend_noise_magn_g,feature_magnitude_percentage_ratio_40_5_magn_g,feature_magnitude_percentage_ratio_20_5_magn_g,feature_maximum_slope_magn_g,feature_mean_magn_g,feature_median_absolute_deviation_magn_g,feature_percent_amplitude_magn_g,feature_percent_difference_magnitude_percentile_5_magn_g,feature_percent_difference_magnitude_percentile_10_magn_g,feature_median_buffer_range_percentage_10_magn_g,feature_median_buffer_range_percentage_20_magn_g,feature_period_0_magn_g,feature_period_s_to_n_0_magn_g,feature_period_1_magn_g,feature_period_s_to_n_1_magn_g,feature_period_2_magn_g,feature_period_s_to_n_2_magn_g,feature_period_3_magn_g,feature_period_s_to_n_3_magn_g,feature_period_4_magn_g,feature_period_s_to_n_4_magn_g,feature_periodogram_amplitude_magn_g,feature_periodogram_beyond_2_std_magn_g,feature_periodogram_beyond_3_std_magn_g,feature_periodogram_standard_deviation_magn_g,feature_chi2_magn_g,feature_skew_magn_g,feature_standard_deviation_magn_g,feature_stetson_k_magn_g,feature_weighted_mean_magn_g,feature_anderson_darling_normal_flux_g,feature_cusum_flux_g,feature_eta_e_flux_g,feature_excess_variance_flux_g,feature_kurtosis_flux_g,feature_mean_variance_flux_g,feature_chi2_flux_g,feature_skew_flux_g,feature_stetson_k_flux_g,gmomentXX,gmomentXY,gmomentYY,gmomentR1,gmomentRH,gPSFFlux,gApFlux,gKronFlux,gKronRad,gExtNSigma,rmomentXX,rmomentXY,rmomentYY,rmomentR1,rmomentRH,rPSFFlux,rApFlux,rKronFlux,rKronRad,rExtNSigma,imomentXX,imomentXY,imomentYY,imomentR1,imomentRH,iPSFFlux,iApFlux,iKronFlux,iKronRad,iExtNSigma,zmomentXX,zmomentXY,zmomentYY,zmomentR1,zmomentRH,zPSFFlux,zApFlux,zKronFlux,zKronRad,zExtNSigma,ymomentXX,ymomentXY,ymomentYY,ymomentR1,ymomentRH,yPSFFlux,yApFlux,yKronFlux,yKronRad,yExtNSigma,i-z,gApMag_gKronMag,rApMag_rKronMag,iApMag_iKronMag,zApMag_zKronMag,yApMag_yKronMag,7DCD,dist/DLR,ILRT,SLSN-I,SLSN-II,SN,SN II,SN II-pec,SN IIP,SN IIb,SN IIn,SN Ia,SN Ia-91T-like,SN Ia-91bg-like,SN Ia-CSM,SN Ia-Ca-rich,SN Ia-pec,SN Iax[02cx-like],SN Ib,SN Ib-Ca-rich,SN Ib/c,SN Ibn,SN Ic,SN Ic-BL,SN Icn,TDE
ZTF19aczlldp,5,58856.14966440015,0.5391998291015625,0.30083271895608815,0.25,0.0,0.3739859569952225,0.647227579558386,1.078399658203125,1.078399658203125,0.5678997039794922,3.8902472580377214,-0.039818003364261646,0.004646883563774535,32.81581203283794,-0.05139433484867576,0.02402056461471794,0.3507030237878718,0.04258143403601504,0.7159680795359573,0.10745479517953077,17.826650619506836,0.04629993438720703,1.0144996643066406,0.06131102479780847,0.06131102479780847,0.5,0.75,29.713906074574442,1.919286058122555,5.942781214914889,1.0041265275766857,8.626617892618388,0.45279901663921346,15.730891451245293,-0.07497603547907138,12.155688848689545,-0.8731715205470442,0.8144221586397349,0.015625,0.015625,0.31561480182286383,46.35172458528867,1.9678853044958957,0.5193040889460626,0.7939681235946536,17.72886436897005,0.27080392139234916,0.3725990782167279,0.6835655289017345,0.1299229571241072,3.7400886889565292,0.3657391112990747,68.3547933739673,-1.9245372729378216,0.9699471552565887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3712890148162842,-0.0038573900237679,0.2922509908676147,1.655079960823059,1.0455100536346436,4.4785698264604434e-05,7.878970063757151e-05,8.729779801797122e-05,4.137710094451903,12.3858003616333,0.309237003326416,-0.0059575201012194,0.2366849929094314,1.3595800399780271,0.9109140038490297,4.986469866707921e-05,8.390140283154324e-05,8.48144991323352e-05,3.39896011352539,9.945500373840332,0.2339780032634735,-0.0040415301918983,0.1737630069255828,1.3419300317764282,0.9060779809951782,4.1835501178866246e-05,8.253999840235338e-05,9.607239917386325e-05,3.3548200130462646,17.691299438476562,0.2325219959020614,-0.0039321398362517,0.1790540069341659,1.2831499576568604,0.9024749994277954,4.347459980635904e-05,8.516560046700761e-05,9.583440260030328e-05,3.207890033721924,15.975799560546877,0.2023530006408691,7.570449815830216e-05,0.1506579965353012,1.0650700330734253,0.8543149828910828,4.672450086218305e-05,8.583559974795207e-05,9.083450277103113e-05,2.66267991065979,14.568099975585938,0.0339984893798828,0.1112995147705113,0.0117988586425781,0.1647987365722656,0.1281013488769566,0.0613994598388671,2.4404379355488186,0.1217715404068425,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZTF19aczlldp,6,58859.1068519,0.5391998291015625,0.30083271895608815,0.25,0.0,0.3739859569952225,0.647227579558386,1.078399658203125,1.078399658203125,0.5678997039794922,3.8902472580377214,-0.039818003364261646,0.004646883563774535,32.81581203283794,-0.05139433484867576,0.02402056461471794,0.3507030237878718,0.04258143403601504,0.7159680795359573,0.10745479517953077,17.826650619506836,0.04629993438720703,1.0144996643066406,0.06131102479780847,0.06131102479780847,0.5,0.75,29.713906074574442,1.919286058122555,5.942781214914889,1.0041265275766857,8.626617892618388,0.45279901663921346,15.730891451245293,-0.07497603547907138,12.155688848689545,-0.8731715205470442,0.8144221586397349,0.015625,0.015625,0.31561480182286383,46.35172458528867,1.9678853044958957,0.5193040889460626,0.7939681235946536,17.72886436897005,0.27080392139234916,0.3725990782167279,0.6835655289017345,0.1299229571241072,3.7400886889565292,0.3657391112990747,68.3547933739673,-1.9245372729378216,0.9699471552565887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3712890148162842,-0.0038573900237679,0.2922509908676147,1.655079960823059,1.0455100536346436,4.4785698264604434e-05,7.878970063757151e-05,8.729779801797122e-05,4.137710094451903,12.3858003616333,0.309237003326416,-0.0059575201012194,0.2366849929094314,1.3595800399780271,0.9109140038490297,4.986469866707921e-05,8.390140283154324e-05,8.48144991323352e-05,3.39896011352539,9.945500373840332,0.2339780032634735,-0.0040415301918983,0.1737630069255828,1.3419300317764282,0.9060779809951782,4.1835501178866246e-05,8.253999840235338e-05,9.607239917386325e-05,3.3548200130462646,17.691299438476562,0.2325219959020614,-0.0039321398362517,0.1790540069341659,1.2831499576568604,0.9024749994277954,4.347459980635904e-05,8.516560046700761e-05,9.583440260030328e-05,3.207890033721924,15.975799560546877,0.2023530006408691,7.570449815830216e-05,0.1506579965353012,1.0650700330734253,0.8543149828910828,4.672450086218305e-05,8.583559974795207e-05,9.083450277103113e-05,2.66267991065979,14.568099975585938,0.0339984893798828,0.1112995147705113,0.0117988586425781,0.1647987365722656,0.1281013488769566,0.0613994598388671,2.4404379355488186,0.1217715404068425,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZTF19aczlldp,7,58859.17115740013,0.5391998291015625,0.7169182277129945,0.2,0.0,0.3554232869945142,0.4774051606974954,1.078399658203125,1.078399658203125,0.34497499465942383,4.739813715605441,-0.025705748163855843,0.0035250153317087896,29.118344837264786,-0.038127360001052206,0.018888028413684116,0.34273176134150063,0.04659687438096047,0.5465968743809605,0.10745479517953077,17.793480682373048,0.057399749755859375,0.9857997894287109,0.0612111469089395,0.0612111469089395,0.4,0.8,32.053305000439046,2.6733240753840684,8.741810454665194,1.0592867722388828,6.009994687582321,0.7410414537011869,6.271298804433727,0.6244044940890867,16.96939676493832,0.3654396117036997,0.6622275224323098,0.046875,0.0,0.30921561823223354,35.13345689573155,2.1634792942395262,0.4558056342832685,0.7134743010765696,17.707050518000585,0.6044443564735369,0.3523259763483302,0.5192948558706032,0.09501766184145927,4.406984262062117,0.3136900432662313,59.5757189237187,-2.069394032353743,0.9186171675197974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3712890148162842,-0.0038573900237679,0.2922509908676147,1.655079960823059,1.0455100536346436,4.4785698264604434e-05,7.878970063757151e-05,8.729779801797122e-05,4.137710094451903,12.3858003616333,0.309237003326416,-0.0059575201012194,0.2366849929094314,1.3595800399780271,0.9109140038490297,4.986469866707921e-05,8.390140283154324e-05,8.48144991323352e-05,3.39896011352539,9.945500373840332,0.2339780032634735,-0.0040415301918983,0.1737630069255828,1.3419300317764282,0.9060779809951782,4.1835501178866246e-05,8.253999840235338e-05,9.607239917386325e-05,3.3548200130462646,17.691299438476562,0.2325219959020614,-0.0039321398362517,0.1790540069341659,1.2831499576568604,0.9024749994277954,4.347459980635904e-05,8.516560046700761e-05,9.583440260030328e-05,3.207890033721924,15.975799560546877,0.2023530006408691,7.570449815830216e-05,0.1506579965353012,1.0650700330734253,0.8543149828910828,4.672450086218305e-05,8.583559974795207e-05,9.083450277103113e-05,2.66267991065979,14.568099975585938,0.0339984893798828,0.1112995147705113,0.0117988586425781,0.1647987365722656,0.1281013488769566,0.0613994598388671,2.4404379355488186,0.1217715404068425,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZTF19aczlldp,8,58859.22378470004,0.5391998291015625,1.153588325995631,0.16666666666666666,0.16666666666666666,0.3378157511625788,10.09513237192832,1.078399658203125,0.9806093426134339,0.10050010681152344,5.711447980755112,-0.02329684519006605,0.0032196030166030897,22.543021346718646,-0.034087670113133677,0.015276158178540845,0.3083744821831203,0.01783081401513429,0.3652357893106734,0.6251843429334323,17.765883763631184,0.05025005340576172,0.9807004928588867,0.06119343497929659,0.05564435558825371,0.5,0.8333333333333334,34.69651035034258,2.6312468603799,8.674127587585645,0.7849488524118958,16.327769576631802,0.7077960262656406,6.308456427335014,0.18515559103076923,5.442589858877268,0.15702428186857756,0.9541729513200832,0.0625,0.015625,0.3628402814234476,28.50617446920492,2.371919459036586,0.41325120754786404,0.6547296034990179,17.689835671844627,0.9696404734810558,0.33460295155481834,21.01898306774904,0.07463104109710424,5.340370386367027,0.2788657066808144,52.26394377958688,-2.268459446395952,0.8716638263056664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3712890148162842,-0.0038573900237679,0.2922509908676147,1.655079960823059,1.0455100536346436,4.4785698264604434e-05,7.878970063757151e-05,8.729779801797122e-05,4.137710094451903,12.3858003616333,0.309237003326416,-0.0059575201012194,0.2366849929094314,1.3595800399780271,0.9109140038490297,4.986469866707921e-05,8.390140283154324e-05,8.48144991323352e-05,3.39896011352539,9.945500373840332,0.2339780032634735,-0.0040415301918983,0.1737630069255828,1.3419300317764282,0.9060779809951782,4.1835501178866246e-05,8.253999840235338e-05,9.607239917386325e-05,3.3548200130462646,17.691299438476562,0.2325219959020614,-0.0039321398362517,0.1790540069341659,1.2831499576568604,0.9024749994277954,4.347459980635904e-05,8.516560046700761e-05,9.583440260030328e-05,3.207890033721924,15.975799560546877,0.2023530006408691,7.570449815830216e-05,0.1506579965353012,1.0650700330734253,0.8543149828910828,4.672450086218305e-05,8.583559974795207e-05,9.083450277103113e-05,2.66267991065979,14.568099975585938,0.0339984893798828,0.1112995147705113,0.0117988586425781,0.1647987365722656,0.1281013488769566,0.0613994598388671,2.4404379355488186,0.1217715404068425,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZTF19aczlldp,9,58860.18104169984,0.5391998291015625,1.5903659463458633,0.14285714285714285,0.14285714285714285,0.32160876583251485,7.458167337738973,1.078399658203125,0.8828194786359518,0.07792472839355469,6.68217425338023,-0.02158228938945459,0.0030100458182715836,18.484784631199286,-0.03134885335277153,0.012964910577372642,0.28328418740589284,0.006620009444590945,0.18387429129706445,0.6251843429334323,17.746028900146484,0.033901214599609375,0.9766006469726562,0.061179201979922895,0.050083650142539154,0.5714285714285714,0.8571428571428571,35.12871818753865,2.8370336933691207,4.323534546158603,2.0868151285491527,9.065475661300297,1.2014011677858931,17.564359093769326,1.099038096030504,3.157637589891115,1.0295739787650313,0.8933278775438201,0.0390625,0.0,0.36990648630603923,23.97234432852376,2.5640572633041865,0.38088490345218345,0.6084757635380044,17.678780330496853,1.346033734655822,0.3183995889800241,15.598368774312325,0.06127875881776456,6.2703859931687855,0.25347898821722387,46.31708620983007,-2.4530760261749522,0.8291373993745303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3712890148162842,-0.0038573900237679,0.2922509908676147,1.655079960823059,1.0455100536346436,4.4785698264604434e-05,7.878970063757151e-05,8.729779801797122e-05,4.137710094451903,12.3858003616333,0.309237003326416,-0.0059575201012194,0.2366849929094314,1.3595800399780271,0.9109140038490297,4.986469866707921e-05,8.390140283154324e-05,8.48144991323352e-05,3.39896011352539,9.945500373840332,0.2339780032634735,-0.0040415301918983,0.1737630069255828,1.3419300317764282,0.9060779809951782,4.1835501178866246e-05,8.253999840235338e-05,9.607239917386325e-05,3.3548200130462646,17.691299438476562,0.2325219959020614,-0.0039321398362517,0.1790540069341659,1.2831499576568604,0.9024749994277954,4.347459980635904e-05,8.516560046700761e-05,9.583440260030328e-05,3.207890033721924,15.975799560546877,0.2023530006408691,7.570449815830216e-05,0.1506579965353012,1.0650700330734253,0.8543149828910828,4.672450086218305e-05,8.583559974795207e-05,9.083450277103113e-05,2.66267991065979,14.568099975585938,0.0339984893798828,0.1112995147705113,0.0117988586425781,0.1647987365722656,0.1281013488769566,0.0613994598388671,2.4404379355488186,0.1217715404068425,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZTF19aczlldp,10,58861.1768633998,0.5391998291015625,1.9936955410483324,0.125,0.125,0.3069272386081765,5.877521874465816,1.078399658203125,0.7850296125603791,0.061249732971191406,7.633578376353201,-0.019571771781263306,0.002807123596381191,15.974707322561665,-0.028994585900203276,0.01137902815531761,0.265457921355477,0.0067687568096082675,0.0859143750487326,0.6251843429334323,17.73273777961731,0.022850990295410156,0.9761009216308594,0.06117746758922526,0.04453462435162285,0.625,0.875,35.83440799997853,3.1459697011629055,4.278735283579525,1.6153676596391113,17.917203999989265,1.384945359645095,3.6753238974336955,0.9801393968399265,3.7720429473661614,0.9157531964905394,0.9355206909944869,0.0234375,0.015625,0.3540438205542576,20.63707739777805,2.7381446029930423,0.3546290769688105,0.5684540954812967,17.671736321946536,1.6871317627117253,0.30359850828170687,12.341552306588603,0.05189819816403,7.157321621702929,0.23387324874123902,41.655894858890136,-2.614089477608195,0.7854463144888905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3712890148162842,-0.0038573900237679,0.2922509908676147,1.655079960823059,1.0455100536346436,4.4785698264604434e-05,7.878970063757151e-05,8.729779801797122e-05,4.137710094451903,12.3858003616333,0.309237003326416,-0.0059575201012194,0.2366849929094314,1.3595800399780271,0.9109140038490297,4.986469866707921e-05,8.390140283154324e-05,8.48144991323352e-05,3.39896011352539,9.945500373840332,0.2339780032634735,-0.0040415301918983,0.1737630069255828,1.3419300317764282,0.9060779809951782,4.1835501178866246e-05,8.253999840235338e-05,9.607239917386325e-05,3.3548200130462646,17.691299438476562,0.2325219959020614,-0.0039321398362517,0.1790540069341659,1.2831499576568604,0.9024749994277954,4.347459980635904e-05,8.516560046700761e-05,9.583440260030328e-05,3.207890033721924,15.975799560546877,0.2023530006408691,7.570449815830216e-05,0.1506579965353012,1.0650700330734253,0.8543149828910828,4.672450086218305e-05,8.583559974795207e-05,9.083450277103113e-05,2.66267991065979,14.568099975585938,0.0339984893798828,0.1112995147705113,0.0117988586425781,0.1647987365722656,0.1281013488769566,0.0613994598388671,2.4404379355488186,0.1217715404068425,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZTF19aczlldp,11,58862.14148150012,0.5391998291015625,1.9936955410483324,0.125,0.125,0.3069272386081765,5.877521874465816,1.078399658203125,0.7850296125603791,0.061249732971191406,7.633578376353201,-0.019571771781263306,0.002807123596381191,15.974707322561665,-0.028994585900203276,0.01137902815531761,0.265457921355477,0.0067687568096082675,0.0859143750487326,0.6251843429334323,17.73273777961731,0.022850990295410156,0.9761009216308594,0.06117746758922526,0.04453462435162285,0.625,0.875,35.83440799997853,3.1459697011629055,4.278735283579525,1.6153676596391113,17.917203999989265,1.384945359645095,3.6753238974336955,0.9801393968399265,3.7720429473661614,0.9157531964905394,0.9355206909944869,0.0234375,0.015625,0.3540438205542576,20.63707739777805,2.7381446029930423,0.3546290769688105,0.5684540954812967,17.671736321946536,1.6871317627117253,0.30359850828170687,12.341552306588603,0.05189819816403,7.157321621702929,0.23387324874123902,41.655894858890136,-2.614089477608195,0.7854463144888905,0.22535037994384943,0.1886335512429294,0.25,0.0,0.3622040337729685,1.988218045240885,0.45070075988769887,0.45070075988769887,0.2744007110595703,2.543115205984776,-0.0016271448456296447,0.0030709321429447187,21.108886481354467,-0.0009807262594391823,0.012534205802238027,0.2533426320669592,0.17413002991477947,0.7652987495846144,0.03646265639972673,18.047450065612793,0.06239986419677912,0.3749513626098633,0.024870021439746436,0.024870021439746436,0.0,0.0,38.53616251851673,1.9750153495394003,8.257749111110728,0.527325937944898,6.305917503030011,-0.732837165187421,0.0,0.0,0.0,0.0,0.7857777474477927,0.015625,0.0,0.44193156927206384,14.16617264549592,-1.6278826845850716,0.20716974639285196,0.8724015660301577,18.018348579243774,0.20950255363215659,0.3657988066569391,1.888918044119156,0.03867217840280233,2.9488751273633262,0.20481587958739864,12.196443358430082,1.7271095210976382,0.7808531424502057,0.3712890148162842,-0.0038573900237679,0.2922509908676147,1.655079960823059,1.0455100536346436,4.4785698264604434e-05,7.878970063757151e-05,8.729779801797122e-05,4.137710094451903,12.3858003616333,0.309237003326416,-0.0059575201012194,0.2366849929094314,1.3595800399780271,0.9109140038490297,4.986469866707921e-05,8.390140283154324e-05,8.48144991323352e-05,3.39896011352539,9.945500373840332,0.2339780032634735,-0.0040415301918983,0.1737630069255828,1.3419300317764282,0.9060779809951782,4.1835501178866246e-05,8.253999840235338e-05,9.607239917386325e-05,3.3548200130462646,17.691299438476562,0.2325219959020614,-0.0039321398362517,0.1790540069341659,1.2831499576568604,0.9024749994277954,4.347459980635904e-05,8.516560046700761e-05,9.583440260030328e-05,3.207890033721924,15.975799560546877,0.2023530006408691,7.570449815830216e-05,0.1506579965353012,1.0650700330734253,0.8543149828910828,4.672450086218305e-05,8.583559974795207e-05,9.083450277103113e-05,2.66267991065979,14.568099975585938,0.0339984893798828,0.1112995147705113,0.0117988586425781,0.1647987365722656,0.1281013488769566,0.0613994598388671,2.4404379355488186,0.1217715404068425,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZTF19aczlldp,12,58867.105752300005,0.5391998291015625,2.1292504095319633,0.1111111111111111,0.1111111111111111,0.2921447945368019,6.880352290745447,1.078399658203125,0.7105189018055853,0.07200002670288086,8.299893559196237,-0.015158171459944197,0.0025336907450667356,15.59819771570489,-0.022521278102702175,0.010256758700955285,0.2729177521440632,0.01068267770870387,0.11500323063882884,0.6251843429334323,17.731211344401043,0.032901763916015625,0.9756011962890625,0.06117573329686253,0.04030649908741986,0.5555555555555556,0.8888888888888888,38.76621812523808,3.213052615464564,17.444798156357137,1.7766161968520235,4.3073575694708985,1.1225107125787632,5.451499423861606,1.1046066999187845,5.286302471623375,1.0898960175650567,0.8928225695007593,0.03125,0.015625,0.3485967824228643,18.122427672441567,2.8395859104354026,0.3317567324004245,0.5674392789798944,17.675704849415467,1.6983222817463026,0.2979451026993473,14.429720358872128,0.04533076272379865,7.477560401467564,0.21951602981269788,36.646910760869424,-2.641559450906378,0.7501544937322656,0.22535037994384943,0.1886335512429294,0.25,0.0,0.3622040337729685,1.988218045240885,0.45070075988769887,0.45070075988769887,0.2744007110595703,2.543115205984776,-0.0016271448456296447,0.0030709321429447187,21.108886481354467,-0.0009807262594391823,0.012534205802238027,0.2533426320669592,0.17413002991477947,0.7652987495846144,0.03646265639972673,18.047450065612793,0.06239986419677912,0.3749513626098633,0.024870021439746436,0.024870021439746436,0.0,0.0,38.53616251851673,1.9750153495394003,8.257749111110728,0.527325937944898,6.305917503030011,-0.732837165187421,0.0,0.0,0.0,0.0,0.7857777474477927,0.015625,0.0,0.44193156927206384,14.16617264549592,-1.6278826845850716,0.20716974639285196,0.8724015660301577,18.018348579243774,0.20950255363215659,0.3657988066569391,1.888918044119156,0.03867217840280233,2.9488751273633262,0.20481587958739864,12.196443358430082,1.7271095210976382,0.7808531424502057,0.3712890148162842,-0.0038573900237679,0.2922509908676147,1.655079960823059,1.0455100536346436,4.4785698264604434e-05,7.878970063757151e-05,8.729779801797122e-05,4.137710094451903,12.3858003616333,0.309237003326416,-0.0059575201012194,0.2366849929094314,1.3595800399780271,0.9109140038490297,4.986469866707921e-05,8.390140283154324e-05,8.48144991323352e-05,3.39896011352539,9.945500373840332,0.2339780032634735,-0.0040415301918983,0.1737630069255828,1.3419300317764282,0.9060779809951782,4.1835501178866246e-05,8.253999840235338e-05,9.607239917386325e-05,3.3548200130462646,17.691299438476562,0.2325219959020614,-0.0039321398362517,0.1790540069341659,1.2831499576568604,0.9024749994277954,4.347459980635904e-05,8.516560046700761e-05,9.583440260030328e-05,3.207890033721924,15.975799560546877,0.2023530006408691,7.570449815830216e-05,0.1506579965353012,1.0650700330734253,0.8543149828910828,4.672450086218305e-05,8.583559974795207e-05,9.083450277103113e-05,2.66267991065979,14.568099975585938,0.0339984893798828,0.1112995147705113,0.0117988586425781,0.1647987365722656,0.1281013488769566,0.0613994598388671,2.4404379355488186,0.1217715404068425,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
