ztf_object_id,obs_num,mjd_cutoff,feature_amplitude_magn_g,feature_anderson_darling_normal_magn_g,feature_beyond_1_std_magn_g,feature_beyond_2_std_magn_g,feature_cusum_magn_g,feature_eta_e_magn_g,feature_inter_percentile_range_2_magn_g,feature_inter_percentile_range_10_magn_g,feature_inter_percentile_range_25_magn_g,feature_kurtosis_magn_g,feature_linear_fit_slope_magn_g,feature_linear_fit_slope_sigma_magn_g,feature_linear_fit_reduced_chi2_magn_g,feature_linear_trend_magn_g,feature_linear_trend_sigma_magn_g,feature_linear_trend_noise_magn_g,feature_magnitude_percentage_ratio_40_5_magn_g,feature_magnitude_percentage_ratio_20_5_magn_g,feature_maximum_slope_magn_g,feature_mean_magn_g,feature_median_absolute_deviation_magn_g,feature_percent_amplitude_magn_g,feature_percent_difference_magnitude_percentile_5_magn_g,feature_percent_difference_magnitude_percentile_10_magn_g,feature_median_buffer_range_percentage_10_magn_g,feature_median_buffer_range_percentage_20_magn_g,feature_period_0_magn_g,feature_period_s_to_n_0_magn_g,feature_period_1_magn_g,feature_period_s_to_n_1_magn_g,feature_period_2_magn_g,feature_period_s_to_n_2_magn_g,feature_period_3_magn_g,feature_period_s_to_n_3_magn_g,feature_period_4_magn_g,feature_period_s_to_n_4_magn_g,feature_periodogram_amplitude_magn_g,feature_periodogram_beyond_2_std_magn_g,feature_periodogram_beyond_3_std_magn_g,feature_periodogram_standard_deviation_magn_g,feature_chi2_magn_g,feature_skew_magn_g,feature_standard_deviation_magn_g,feature_stetson_k_magn_g,feature_weighted_mean_magn_g,feature_anderson_darling_normal_flux_g,feature_cusum_flux_g,feature_eta_e_flux_g,feature_excess_variance_flux_g,feature_kurtosis_flux_g,feature_mean_variance_flux_g,feature_chi2_flux_g,feature_skew_flux_g,feature_stetson_k_flux_g,feature_amplitude_magn_r,feature_anderson_darling_normal_magn_r,feature_beyond_1_std_magn_r,feature_beyond_2_std_magn_r,feature_cusum_magn_r,feature_eta_e_magn_r,feature_inter_percentile_range_2_magn_r,feature_inter_percentile_range_10_magn_r,feature_inter_percentile_range_25_magn_r,feature_kurtosis_magn_r,feature_linear_fit_slope_magn_r,feature_linear_fit_slope_sigma_magn_r,feature_linear_fit_reduced_chi2_magn_r,feature_linear_trend_magn_r,feature_linear_trend_sigma_magn_r,feature_linear_trend_noise_magn_r,feature_magnitude_percentage_ratio_40_5_magn_r,feature_magnitude_percentage_ratio_20_5_magn_r,feature_maximum_slope_magn_r,feature_mean_magn_r,feature_median_absolute_deviation_magn_r,feature_percent_amplitude_magn_r,feature_percent_difference_magnitude_percentile_5_magn_r,feature_percent_difference_magnitude_percentile_10_magn_r,feature_median_buffer_range_percentage_10_magn_r,feature_median_buffer_range_percentage_20_magn_r,feature_period_0_magn_r,feature_period_s_to_n_0_magn_r,feature_period_1_magn_r,feature_period_s_to_n_1_magn_r,feature_period_2_magn_r,feature_period_s_to_n_2_magn_r,feature_period_3_magn_r,feature_period_s_to_n_3_magn_r,feature_period_4_magn_r,feature_period_s_to_n_4_magn_r,feature_periodogram_amplitude_magn_r,feature_periodogram_beyond_2_std_magn_r,feature_periodogram_beyond_3_std_magn_r,feature_periodogram_standard_deviation_magn_r,feature_chi2_magn_r,feature_skew_magn_r,feature_standard_deviation_magn_r,feature_stetson_k_magn_r,feature_weighted_mean_magn_r,feature_anderson_darling_normal_flux_r,feature_cusum_flux_r,feature_eta_e_flux_r,feature_excess_variance_flux_r,feature_kurtosis_flux_r,feature_mean_variance_flux_r,feature_chi2_flux_r,feature_skew_flux_r,feature_stetson_k_flux_r,gmomentXX,gmomentXY,gmomentYY,gmomentR1,gmomentRH,gPSFFlux,gApFlux,gKronFlux,gKronRad,gExtNSigma,rmomentXX,rmomentXY,rmomentYY,rmomentR1,rmomentRH,rPSFFlux,rApFlux,rKronFlux,rKronRad,rExtNSigma,imomentXX,imomentXY,imomentYY,imomentR1,imomentRH,iPSFFlux,iApFlux,iKronFlux,iKronRad,iExtNSigma,zmomentXX,zmomentXY,zmomentYY,zmomentR1,zmomentRH,zPSFFlux,zApFlux,zKronFlux,zKronRad,zExtNSigma,ymomentXX,ymomentXY,ymomentYY,ymomentR1,ymomentRH,yPSFFlux,yApFlux,yKronFlux,yKronRad,yExtNSigma,i-z,gApMag_gKronMag,rApMag_rKronMag,iApMag_iKronMag,zApMag_zKronMag,yApMag_yKronMag,7DCD,dist/DLR,ILRT,SLSN-I,SLSN-II,SN,SN II,SN II-pec,SN IIP,SN IIb,SN IIn,SN Ia,SN Ia-91T-like,SN Ia-91bg-like,SN Ia-CSM,SN Ia-Ca-rich,SN Ia-pec,SN Iax[02cx-like],SN Ib,SN Ib-Ca-rich,SN Ib/c,SN Ibn,SN Ic,SN Ic-BL,SN Icn,TDE
ZTF20aavnnzx,5,58963.38442130014,0.5500001907348651,0.2099452680601601,0.25,0.0,0.36525361706288534,171.1867144140762,1.1000003814697301,1.1000003814697301,0.5627994537353516,3.173545978859096,-0.15834672055958823,0.049289116420039504,0.1700942209247153,-0.149416680884374,0.010641802588897763,0.0595588010723673,0.018617105027153164,0.7069814484519854,4.705698018574749,20.289649963378906,0.12244987487792969,0.867899894714359,0.054642927239643944,0.054642927239643944,0.5,0.5,18.660555467009544,2.1267783139734413,4.665138866752386,1.7586675336544124,10.366975259449747,1.2811038135952915,2.7441993333837567,0.8101027312862843,1.608668574742202,0.4172032670082845,0.6859896824587289,0.03125,0.0,0.34292269324985686,3.553684349653397,1.6823919882513003,0.4852450527564181,0.7762720973103695,20.063477086275636,0.15935286565011547,0.3530624122411963,305.67343168785186,0.10174619834750923,2.4471739187052197,0.3627980586862932,6.091142424165294,-1.2959683821958283,0.8000620063558108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4086039960384369,-0.0203683990985155,0.3645859956741333,3.0182600021362305,1.1195800304412842,9.637629773351364e-06,3.370979902683757e-05,0.0001044809978338,7.545650005340576,32.87799835205078,0.366919994354248,-0.0094861602410674,0.3418920040130615,3.2417800426483154,1.1720000505447388,1.4123799701337704e-05,4.4544598495122045e-05,0.0001553049951326,8.104450225830078,29.747800827026367,0.2974669933319092,-0.0190085005015134,0.2834930121898651,3.516200065612793,1.1427099704742432,1.4675900274596644e-05,4.645570152206346e-05,0.0001696490071481,8.790499687194824,33.917701721191406,0.2751280069351196,8.83664979483001e-05,0.2670589983463287,1.7374199628829956,0.9911069869995116,1.5921199519652873e-05,5.1369199354667217e-05,0.0001056170003721,4.343550205230713,25.177000045776367,0.2712369859218597,-0.0001854720030678,0.2396319955587387,1.3835899829864502,0.7966499924659729,2.2000600438332185e-05,6.307040166575462e-05,9.871659858617932e-05,3.458980083465576,12.116499900817873,0.10920143127441406,1.228200912475586,1.3559989929199183,1.4063014984130824,0.7824993133544922,0.4864006042480433,14.060618903564006,0.24101152645602925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZTF20aavnnzx,6,58963.45863430016,0.5525503158569354,0.5108954916119132,0.2,0.0,0.34565305284447684,83.52208632544242,1.1051006317138707,1.1051006317138707,0.45994997024536133,3.7193668831932367,-0.16100427543680354,0.047419714834230436,0.12641805198149456,-0.15236565474070507,0.009426692928560644,0.05610970922542284,0.11080427552378237,0.6108042755237808,4.705698018574749,20.210419845581054,0.2193012237548828,0.8806991577148473,0.05493120977392544,0.05493120977392544,0.4,0.4,17.67980325035751,1.912064358263436,4.9110564584326415,1.747910441562057,2.6787580682359855,1.4460891239917624,11.049877031473441,0.9310591526290694,1.9217177446040767,0.6895569354512802,0.8427712732985176,0.0,0.0,0.45937328375333075,2.976833275884344,1.873090009652253,0.45605276969857517,0.810098054151612,20.013486451468044,0.378509254842103,0.3318537901657651,140.83360004126433,0.08225457054428156,2.4374811358475554,0.3279825529549246,5.558212128188572,-1.496024695689545,0.7416556707145708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4086039960384369,-0.0203683990985155,0.3645859956741333,3.0182600021362305,1.1195800304412842,9.637629773351364e-06,3.370979902683757e-05,0.0001044809978338,7.545650005340576,32.87799835205078,0.366919994354248,-0.0094861602410674,0.3418920040130615,3.2417800426483154,1.1720000505447388,1.4123799701337704e-05,4.4544598495122045e-05,0.0001553049951326,8.104450225830078,29.747800827026367,0.2974669933319092,-0.0190085005015134,0.2834930121898651,3.516200065612793,1.1427099704742432,1.4675900274596644e-05,4.645570152206346e-05,0.0001696490071481,8.790499687194824,33.917701721191406,0.2751280069351196,8.83664979483001e-05,0.2670589983463287,1.7374199628829956,0.9911069869995116,1.5921199519652873e-05,5.1369199354667217e-05,0.0001056170003721,4.343550205230713,25.177000045776367,0.2712369859218597,-0.0001854720030678,0.2396319955587387,1.3835899829864502,0.7966499924659729,2.2000600438332185e-05,6.307040166575462e-05,9.871659858617932e-05,3.458980083465576,12.116499900817873,0.10920143127441406,1.228200912475586,1.3559989929199183,1.4063014984130824,0.7824993133544922,0.4864006042480433,14.060618903564006,0.24101152645602925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZTF20aavnnzx,7,58963.50545139983,0.5740003585815447,0.7677896328171332,0.16666666666666666,0.0,0.3260484618248564,49.75719764060006,1.1480007171630895,1.058200318228959,0.25,4.328803063898352,-0.16242897851941346,0.04701534929724251,0.1081022022340577,-0.1554611349946718,0.009544542920672751,0.059075596163958945,0.19370293174068146,0.4524390694496442,4.705698018574749,20.150449752807617,0.125,0.9903497695922887,0.05737636742808263,0.05288819890396741,0.0,0.5,17.084972159564494,2.137337677174684,5.024991811636617,1.8788000847326058,2.7556406708974994,1.0820054218339612,10.67810759972781,0.9334004512259919,1.611789826374009,0.4424935830293087,0.9635629632152065,0.015625,0.0,0.49349115814545386,2.4736206509513954,2.0254257373923137,0.4335501991273001,0.7963862661051434,19.999871849135783,0.5499604271382669,0.35052429612089375,81.5092312722935,0.0615829540542452,2.7531446597279956,0.3040169194122344,4.687263602267393,-1.622470481124576,0.7360196810218033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4086039960384369,-0.0203683990985155,0.3645859956741333,3.0182600021362305,1.1195800304412842,9.637629773351364e-06,3.370979902683757e-05,0.0001044809978338,7.545650005340576,32.87799835205078,0.366919994354248,-0.0094861602410674,0.3418920040130615,3.2417800426483154,1.1720000505447388,1.4123799701337704e-05,4.4544598495122045e-05,0.0001553049951326,8.104450225830078,29.747800827026367,0.2974669933319092,-0.0190085005015134,0.2834930121898651,3.516200065612793,1.1427099704742432,1.4675900274596644e-05,4.645570152206346e-05,0.0001696490071481,8.790499687194824,33.917701721191406,0.2751280069351196,8.83664979483001e-05,0.2670589983463287,1.7374199628829956,0.9911069869995116,1.5921199519652873e-05,5.1369199354667217e-05,0.0001056170003721,4.343550205230713,25.177000045776367,0.2712369859218597,-0.0001854720030678,0.2396319955587387,1.3835899829864502,0.7966499924659729,2.2000600438332185e-05,6.307040166575462e-05,9.871659858617932e-05,3.458980083465576,12.116499900817873,0.10920143127441406,1.228200912475586,1.3559989929199183,1.4063014984130824,0.7824993133544922,0.4864006042480433,14.060618903564006,0.24101152645602925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZTF20aavnnzx,8,58964.38761569979,0.6932497024536151,0.6934843924791667,0.2857142857142857,0.14285714285714285,0.33365332644240187,34.63232376620842,1.3864994049072301,1.1677792992125013,0.2757754325866699,3.905911041001186,-0.18649367094981847,0.04080450770856705,0.2988294073503547,-0.16316520063343462,0.012413737308476403,0.0817584854754644,0.11329330126586595,0.2901262994479506,4.705698018574749,20.073542731148855,0.2193012237548828,1.1000003814697301,0.06967824023107591,0.05868650665079116,0.42857142857142855,0.42857142857142855,5.185770268370915,2.589767978875291,15.557310805112744,2.5698752892025447,1.0607257367122325,1.6493801724295498,1.2445848644090196,1.4333471612948483,3.111462161022549,1.3290632837995804,1.12137933784127,0.0390625,0.0,0.5398317171957671,3.7304784966560725,1.7778404306180393,0.44501795001143807,0.7214493555071847,19.88596079228253,0.38290051723967244,0.36031882066822124,45.883420078542485,0.07837049093467498,1.8340080775829577,0.32209651374963866,6.170950290484559,-0.8765376469559432,0.7500196988504653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4086039960384369,-0.0203683990985155,0.3645859956741333,3.0182600021362305,1.1195800304412842,9.637629773351364e-06,3.370979902683757e-05,0.0001044809978338,7.545650005340576,32.87799835205078,0.366919994354248,-0.0094861602410674,0.3418920040130615,3.2417800426483154,1.1720000505447388,1.4123799701337704e-05,4.4544598495122045e-05,0.0001553049951326,8.104450225830078,29.747800827026367,0.2974669933319092,-0.0190085005015134,0.2834930121898651,3.516200065612793,1.1427099704742432,1.4675900274596644e-05,4.645570152206346e-05,0.0001696490071481,8.790499687194824,33.917701721191406,0.2751280069351196,8.83664979483001e-05,0.2670589983463287,1.7374199628829956,0.9911069869995116,1.5921199519652873e-05,5.1369199354667217e-05,0.0001056170003721,4.343550205230713,25.177000045776367,0.2712369859218597,-0.0001854720030678,0.2396319955587387,1.3835899829864502,0.7966499924659729,2.2000600438332185e-05,6.307040166575462e-05,9.871659858617932e-05,3.458980083465576,12.116499900817873,0.10920143127441406,1.228200912475586,1.3559989929199183,1.4063014984130824,0.7824993133544922,0.4864006042480433,14.060618903564006,0.24101152645602925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZTF20aavnnzx,9,58964.43356479984,0.6932497024536151,0.6934843924791667,0.2857142857142857,0.14285714285714285,0.33365332644240187,34.63232376620842,1.3864994049072301,1.1677792992125013,0.2757754325866699,3.905911041001186,-0.18649367094981847,0.04080450770856705,0.2988294073503547,-0.16316520063343462,0.012413737308476403,0.0817584854754644,0.11329330126586595,0.2901262994479506,4.705698018574749,20.073542731148855,0.2193012237548828,1.1000003814697301,0.06967824023107591,0.05868650665079116,0.42857142857142855,0.42857142857142855,5.185770268370915,2.589767978875291,15.557310805112744,2.5698752892025447,1.0607257367122325,1.6493801724295498,1.2445848644090196,1.4333471612948483,3.111462161022549,1.3290632837995804,1.12137933784127,0.0390625,0.0,0.5398317171957671,3.7304784966560725,1.7778404306180393,0.44501795001143807,0.7214493555071847,19.88596079228253,0.38290051723967244,0.36031882066822124,45.883420078542485,0.07837049093467498,1.8340080775829577,0.32209651374963866,6.170950290484559,-0.8765376469559432,0.7500196988504653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4086039960384369,-0.0203683990985155,0.3645859956741333,3.0182600021362305,1.1195800304412842,9.637629773351364e-06,3.370979902683757e-05,0.0001044809978338,7.545650005340576,32.87799835205078,0.366919994354248,-0.0094861602410674,0.3418920040130615,3.2417800426483154,1.1720000505447388,1.4123799701337704e-05,4.4544598495122045e-05,0.0001553049951326,8.104450225830078,29.747800827026367,0.2974669933319092,-0.0190085005015134,0.2834930121898651,3.516200065612793,1.1427099704742432,1.4675900274596644e-05,4.645570152206346e-05,0.0001696490071481,8.790499687194824,33.917701721191406,0.2751280069351196,8.83664979483001e-05,0.2670589983463287,1.7374199628829956,0.9911069869995116,1.5921199519652873e-05,5.1369199354667217e-05,0.0001056170003721,4.343550205230713,25.177000045776367,0.2712369859218597,-0.0001854720030678,0.2396319955587387,1.3835899829864502,0.7966499924659729,2.2000600438332185e-05,6.307040166575462e-05,9.871659858617932e-05,3.458980083465576,12.116499900817873,0.10920143127441406,1.228200912475586,1.3559989929199183,1.4063014984130824,0.7824993133544922,0.4864006042480433,14.060618903564006,0.24101152645602925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZTF20aavnnzx,10,58965.41673609987,0.8564996719360369,0.49142693266591564,0.25,0.125,0.33549137463927886,22.338726669287578,1.7129993438720739,1.358519005678776,0.3993501663208008,2.622416454158788,-0.23251094286660176,0.030202749434686905,0.7178485207937749,-0.17787177610869548,0.017081728620304992,0.12300983136339193,0.04889708982537693,0.2947981564501836,4.705698018574749,19.97504997253418,0.2346506118774414,1.1025505065918004,0.08609746090117606,0.06828084166719209,0.375,0.375,17.200043999723025,3.480240345580968,5.733347999907675,2.9761589096083148,1.2285745714087877,1.1181776116650093,0.8528947437879187,1.0053339867214954,1.063920247405548,0.8577334870763638,1.3334545555068573,0.0625,0.0078125,0.5525176814567544,9.081640479936706,1.086245551109947,0.4973489678812649,0.852739396621706,19.672253557411075,0.3573853643755824,0.3310915684735738,19.328651977232386,0.14082117636629288,1.4680091090829137,0.4004907639031913,11.715004234982032,0.4400911917891241,0.6816949847980399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4086039960384369,-0.0203683990985155,0.3645859956741333,3.0182600021362305,1.1195800304412842,9.637629773351364e-06,3.370979902683757e-05,0.0001044809978338,7.545650005340576,32.87799835205078,0.366919994354248,-0.0094861602410674,0.3418920040130615,3.2417800426483154,1.1720000505447388,1.4123799701337704e-05,4.4544598495122045e-05,0.0001553049951326,8.104450225830078,29.747800827026367,0.2974669933319092,-0.0190085005015134,0.2834930121898651,3.516200065612793,1.1427099704742432,1.4675900274596644e-05,4.645570152206346e-05,0.0001696490071481,8.790499687194824,33.917701721191406,0.2751280069351196,8.83664979483001e-05,0.2670589983463287,1.7374199628829956,0.9911069869995116,1.5921199519652873e-05,5.1369199354667217e-05,0.0001056170003721,4.343550205230713,25.177000045776367,0.2712369859218597,-0.0001854720030678,0.2396319955587387,1.3835899829864502,0.7966499924659729,2.2000600438332185e-05,6.307040166575462e-05,9.871659858617932e-05,3.458980083465576,12.116499900817873,0.10920143127441406,1.228200912475586,1.3559989929199183,1.4063014984130824,0.7824993133544922,0.4864006042480433,14.060618903564006,0.24101152645602925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZTF20aavnnzx,11,58965.440844899975,0.8564996719360369,0.49142693266591564,0.25,0.125,0.33549137463927886,22.338726669287578,1.7129993438720739,1.358519005678776,0.3993501663208008,2.622416454158788,-0.23251094286660176,0.030202749434686905,0.7178485207937749,-0.17787177610869548,0.017081728620304992,0.12300983136339193,0.04889708982537693,0.2947981564501836,4.705698018574749,19.97504997253418,0.2346506118774414,1.1025505065918004,0.08609746090117606,0.06828084166719209,0.375,0.375,17.200043999723025,3.480240345580968,5.733347999907675,2.9761589096083148,1.2285745714087877,1.1181776116650093,0.8528947437879187,1.0053339867214954,1.063920247405548,0.8577334870763638,1.3334545555068573,0.0625,0.0078125,0.5525176814567544,9.081640479936706,1.086245551109947,0.4973489678812649,0.852739396621706,19.672253557411075,0.3573853643755824,0.3310915684735738,19.328651977232386,0.14082117636629288,1.4680091090829137,0.4004907639031913,11.715004234982032,0.4400911917891241,0.6816949847980399,0.43484973907470703,0.15076517727428962,0.25,0.0,0.4109252424383941,0.5856335024934223,0.8696994781494141,0.8696994781494141,0.6986989974975586,-3.2404453547281857,-0.24804749474976429,0.04728255840600995,0.5487802710382015,-0.22756460904997944,0.03875777382521926,0.12190911647629638,0.48540773201197085,0.8820278795016198,0.3256304004161839,19.808849811553955,0.2708492279052752,0.5918502807617152,0.04373129021946447,0.04373129021946447,0.0,0.0,6.658545499667525,2.296217141734069,10.653672799468042,2.286303043658718,1.2106446363031866,0.5129926161132067,1.7183343224948453,-0.2516225335535913,0.9184200689196588,-0.2546609187885732,0.7190116996559088,0.109375,0.0,0.43068258169390916,9.539595048614139,-0.48844612831323747,0.4250767082058143,0.8617775661829926,19.621494514222587,0.14812868884922373,0.39614697253584835,0.7498417230366605,0.14393659304193446,-1.7075865197475792,0.39911197687350974,9.836216174779361,0.7742188567293112,0.9313820166433227,0.4086039960384369,-0.0203683990985155,0.3645859956741333,3.0182600021362305,1.1195800304412842,9.637629773351364e-06,3.370979902683757e-05,0.0001044809978338,7.545650005340576,32.87799835205078,0.366919994354248,-0.0094861602410674,0.3418920040130615,3.2417800426483154,1.1720000505447388,1.4123799701337704e-05,4.4544598495122045e-05,0.0001553049951326,8.104450225830078,29.747800827026367,0.2974669933319092,-0.0190085005015134,0.2834930121898651,3.516200065612793,1.1427099704742432,1.4675900274596644e-05,4.645570152206346e-05,0.0001696490071481,8.790499687194824,33.917701721191406,0.2751280069351196,8.83664979483001e-05,0.2670589983463287,1.7374199628829956,0.9911069869995116,1.5921199519652873e-05,5.1369199354667217e-05,0.0001056170003721,4.343550205230713,25.177000045776367,0.2712369859218597,-0.0001854720030678,0.2396319955587387,1.3835899829864502,0.7966499924659729,2.2000600438332185e-05,6.307040166575462e-05,9.871659858617932e-05,3.458980083465576,12.116499900817873,0.10920143127441406,1.228200912475586,1.3559989929199183,1.4063014984130824,0.7824993133544922,0.4864006042480433,14.060618903564006,0.24101152645602925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZTF20aavnnzx,12,58966.38759260019,0.8564996719360369,0.49142693266591564,0.25,0.125,0.33549137463927886,22.338726669287578,1.7129993438720739,1.358519005678776,0.3993501663208008,2.622416454158788,-0.23251094286660176,0.030202749434686905,0.7178485207937749,-0.17787177610869548,0.017081728620304992,0.12300983136339193,0.04889708982537693,0.2947981564501836,4.705698018574749,19.97504997253418,0.2346506118774414,1.1025505065918004,0.08609746090117606,0.06828084166719209,0.375,0.375,17.200043999723025,3.480240345580968,5.733347999907675,2.9761589096083148,1.2285745714087877,1.1181776116650093,0.8528947437879187,1.0053339867214954,1.063920247405548,0.8577334870763638,1.3334545555068573,0.0625,0.0078125,0.5525176814567544,9.081640479936706,1.086245551109947,0.4973489678812649,0.852739396621706,19.672253557411075,0.3573853643755824,0.3310915684735738,19.328651977232386,0.14082117636629288,1.4680091090829137,0.4004907639031913,11.715004234982032,0.4400911917891241,0.6816949847980399,0.4463996887207049,0.3428465537410901,0.4,0.0,0.4156925823267185,0.35496554236407757,0.8927993774414098,0.8927993774414098,0.8649744987487757,-3.0295112200758183,-0.20837878895374246,0.034335709770071936,0.8622439021643996,-0.20907184177825172,0.027441999643449958,0.11247826503940703,0.47922274634467127,0.9792227463446693,0.3256304004161839,19.701559829711915,0.3511009216308594,0.5416984558105504,0.045496437432338804,0.045496437432338804,0.2,0.2,12.354687500046566,2.2448133826667194,7.721679687529104,2.218594681696739,1.1030970982184434,0.9122460776150075,2.807883522737856,-0.015158867224709613,1.5066692073227521,-0.3306728213124497,0.9919521022989345,0.078125,0.0,0.6148171034554635,9.85446366679993,0.21659355222604137,0.43940113440072737,0.9304043689214766,19.49187591948536,0.3229660880214434,0.4020964952283459,0.4329959239106681,0.13324696958322618,-2.985031293576643,0.3815410185150258,12.280029002030734,-0.02516672801746057,0.9121588926126124,0.4086039960384369,-0.0203683990985155,0.3645859956741333,3.0182600021362305,1.1195800304412842,9.637629773351364e-06,3.370979902683757e-05,0.0001044809978338,7.545650005340576,32.87799835205078,0.366919994354248,-0.0094861602410674,0.3418920040130615,3.2417800426483154,1.1720000505447388,1.4123799701337704e-05,4.4544598495122045e-05,0.0001553049951326,8.104450225830078,29.747800827026367,0.2974669933319092,-0.0190085005015134,0.2834930121898651,3.516200065612793,1.1427099704742432,1.4675900274596644e-05,4.645570152206346e-05,0.0001696490071481,8.790499687194824,33.917701721191406,0.2751280069351196,8.83664979483001e-05,0.2670589983463287,1.7374199628829956,0.9911069869995116,1.5921199519652873e-05,5.1369199354667217e-05,0.0001056170003721,4.343550205230713,25.177000045776367,0.2712369859218597,-0.0001854720030678,0.2396319955587387,1.3835899829864502,0.7966499924659729,2.2000600438332185e-05,6.307040166575462e-05,9.871659858617932e-05,3.458980083465576,12.116499900817873,0.10920143127441406,1.228200912475586,1.3559989929199183,1.4063014984130824,0.7824993133544922,0.4864006042480433,14.060618903564006,0.24101152645602925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
