"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"39188","SN 2019hqh","16:30:04.617","+27:03:21.71","SN Ia","0.08","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF19aaziick","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.05","r-ZTF","2019-06-13 06:33:20.000","ZTF_AMPEL_NEW","","2019TNSTR1025....1N","2019TNSCR1067....1F",""
"39187","SN 2019hqg","15:40:24.170","+41:47:01.32","SN Ia","0.07","","","ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; ZTF","ZTF19aaywlmi","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam","APO-3.5m - DIS","1","1","","19.77","r-ZTF","2019-06-13 05:20:17.000","ZTF_AMPEL_NEW","","2019TNSTR1025....1N","2019TNSCR1067....1F",""
"39176","SN 2019hpv","22:38:44.666","+37:36:03.46","SN II","0.034033","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF19aazfvhh","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.87","r-ZTF","2019-06-12 11:15:30.000","ZTF_AMPEL_NEW","","2019TNSTR1021....1N","2019TNSCR1098....1F",""
"39127","SN 2019hnz","11:38:17.450","+16:20:59.39","SN II","0.04","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF19aazpvdy","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.05","g-ZTF","2019-06-15 04:12:25.000","ZTF_AMPEL_NEW","","2019TNSTR1015....1N","2019TNSCR1128....1F",""
"39122","SN 2019hnu","13:32:54.490","+32:06:08.86","SN Ia","0.06","","","ZTF, ATLAS, GaiaAlerts, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS","ZTF","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ZTF19aayslow","ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.6","g-ZTF","2019-06-08 04:48:58.000","ZTF_AMPEL_COMPLETE","","2019TNSTR1011....1N","2019TNSCR1029....1F",""
"39121","SN 2019hnt","10:51:43.920","+44:07:21.32","SN Ia","0.093","","","ZTF, GaiaAlerts","ZTF, GaiaAlerts","ZTF","GaiaAlerts; ZTF","ZTF19aaysiwt","Gaia - Gaia-photometric, P48 - ZTF-Cam","","1","1","","19.62","g-ZTF","2019-06-11 04:57:58.000","ZTF_AMPEL_COMPLETE","","2019TNSTR1011....1N","2020TNSCR1667....1D",""
"39076","SN 2019hma","10:28:58.654","+08:28:46.22","SN Ia","0.047","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF19aayshvd","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.01","g-ZTF","2019-06-11 04:48:37.000","ZTF_AMPEL_NEW","","2019TNSTR1011....1N","2019TNSCR1098....1F",""
"39073","SN 2019hlx","23:32:21.058","-00:33:10.80","SN Ia","0.07","","","ZTF","ZTF","ZTF","ZTF","ZTF19aayrjnf","P48 - ZTF-Cam","P60 - SEDM","1","1","","18.53","g-ZTF","2019-06-10 10:40:27.000","ZTF_AMPEL_NEW","","2019TNSTR1011....1N","2019TNSCR1029....1F",""
"39038","SN 2019hko","17:26:21.132","+19:37:14.16","SN Ia","0.09","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF19aazgpar","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.6","r-ZTF","2019-06-13 06:35:23.000","ZTF_AMPEL_NEW","","2019TNSTR1003....1N","2019TNSCR1029....1F",""
"39037","SN 2019hkn","15:23:22.295","+28:36:45.16","SN Ia","0.0822","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF19aazgdvh","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.45","g-ZTF","2019-06-13 05:09:36.000","ZTF_AMPEL_NEW","","2019TNSTR1003....1N","2019TNSCR1148....1F",""
