"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"43805","SN 2019okb","00:25:44.699","+20:16:39.89","SN Ia","0.064","","","ZTF, Pan-STARRS, ATLAS","ZTF, Pan-STARRS, ATLAS","None, SCAT, ZTF","ATLAS; Pan-STARRS; ZTF","ZTF19abpzuzd","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1","LT - SPRAT, P60 - SEDM, UH88 - SNIFS","1","1","","18.87","r-ZTF","2019-08-20 10:05:30.000","ZTF_AMPEL_COMPLETE","","2019TNSTR1594....1N","2019TNSCR1630....1S, 2019TNSCR2846....1T, 2019TNSCR2850....1F",""
"43799","SN 2019ojv","22:01:39.250","+06:19:03.66","SN Ia","0.05","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF19abqqmui","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","P60 - SEDM","1","1","","19.4","r-ZTF","2019-08-20 08:47:18.000","ZTF_AMPEL_NEW","","2019TNSTR1594....1N","2019TNSCR1756....1F",""
"43686","SN 2019ofm","14:50:54.629","+27:34:57.42","SN Ia-Ca-rich","0.03025","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF19abrdxbh","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","Keck1 - LRIS, P200 - DBSP","1","1","","20.43","g-ZTF","2019-08-20 03:44:40.000","ZTF_AMPEL_NEW","","2019TNSTR1594....1N","2019TNSCR1756....1F, 2020TNSCR2316....1D, 2022TNSCR.404....1D",""
"43684","SN 2019ofk","16:18:30.069","+18:28:30.24","SN IIb","0.03561","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF19abqmsnk","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","19.76","g-ZTF","2019-08-20 03:38:45.000","ZTF_AMPEL_NEW","","2019TNSTR1594....1N","2019TNSCR1766....1F",""
"43673","SN 2019oez","01:05:37.620","-24:24:14.08","SN II","0.039814","ESO 475-10","","ALeRCE, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","ePESSTO+, ZTF","ALeRCE; ATLAS; GaiaAlerts","ZTF19abqrxhy","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT, P60 - SEDM","1","1","","18.6177","g-ZTF","2019-08-22 10:01:40.000","ALeRCE","","2019TNSTR1575....1F","2019TNSCR1595....1B, 2019TNSCR2852....1F",""
"43662","SN 2019oeo","01:42:46.699","-05:20:19.88","SN Ia","0.065","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF19abpztlw","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.07","r-ZTF","2019-08-17 09:32:21.000","ZTF_AMPEL_COMPLETE","","2019TNSTR1585....1N","2019TNSCR1756....1F",""
"43637","SN 2019odp","23:07:19.090","+13:51:21.42","SN Ic-BL","0.014353","","","ZTF, Pan-STARRS, ATLAS, GaiaAlerts","ZTF, Pan-STARRS, ATLAS, GaiaAlerts","ePESSTO+, ZTF","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ZTF19abqwtfu","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","ESO-NTT - EFOSC2-NTT, P60 - SEDM","1","1","","18.72","g-ZTF","2019-08-21 09:19:53.000","ZTF_AMPEL_NEW","","2019TNSTR1585....1N","2019TNSCR1595....1B, 2019TNSCR2847....1F",""
"43636","SN 2019odo","23:10:02.496","+09:28:07.02","SN II","0.04","","","ZTF, Pan-STARRS, ATLAS","ZTF, Pan-STARRS, ATLAS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF19abqwsuf","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","P60 - SEDM","1","1","","19.36","r-ZTF","2019-08-17 09:01:42.000","ZTF_AMPEL_NEW","","2019TNSTR1585....1N","2019TNSCR1632....1F",""
"43634","SN 2019odm","22:31:36.022","-08:33:36.57","SN Ia","0.08","","","ZTF, ATLAS","ZTF, ATLAS","ePESSTO+","ATLAS; ZTF","ZTF19abqgrht","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","18.69","r-ZTF","2019-08-22 07:58:05.000","ZTF_AMPEL_NEW","","2019TNSTR1585....1N","2019TNSCR1595....1B",""
"43629","SN 2019odh","18:50:55.832","+39:23:56.39","SN Ia","0.053654","","","ZTF, Pan-STARRS","ZTF, Pan-STARRS","ZTF","Pan-STARRS; ZTF","ZTF19abqsvgf","P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","20.1","g-ZTF","2019-08-21 04:11:46.000","ZTF_AMPEL_NEW","","2019TNSTR1585....1N","2019TNSCR1633....1F",""
"43627","SN 2019odf","22:48:44.690","+27:34:18.66","SN II","0.032019","","","ZTF, ATLAS, Pan-STARRS, GaiaAlerts","ZTF, ATLAS, Pan-STARRS, GaiaAlerts","ePESSTO+, ZTF","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ZTF19abqrhvy","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","ESO-NTT - EFOSC2-NTT, P60 - SEDM","1","1","","18.95","r-ZTF","2019-08-21 09:17:14.000","ZTF_AMPEL_NEW","","2019TNSTR1585....1N","2019TNSCR1595....1B, 2019TNSCR2847....1F",""
"43626","SN 2019ode","22:42:10.759","-07:19:55.48","SN Ia","0.0788","","","ZTF","ZTF","ZTF","ZTF","ZTF19abqkpoi","P48 - ZTF-Cam","P60 - SEDM","1","1","","19.1","g-ZTF","2019-08-19 11:26:28.000","ZTF_AMPEL_NEW","","2019TNSTR1585....1N","2020TNSCR.601....1D",""
"43625","SN 2019odd","20:45:35.419","-08:03:06.96","SN Ia","0.081","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF19abqimia","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.31","g-ZTF","2019-08-19 05:51:42.000","ZTF_AMPEL_NEW","","2019TNSTR1585....1N","2019TNSCR1756....1F",""
"43604","SN 2019oci","03:43:12.900","+40:09:56.05","SN Ia-91T-like","0.04","","","ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; ZTF","ZTF19abqrrto","ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, P48 - ZTF-Cam","P200 - DBSP","1","1","","19.39","r-ZTF","2019-08-20 10:39:04.000","Stein","","2019TNSTR1569....1S","2019TNSCR1756....1F",""
