"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"37523","SN 2019fes","10:16:05.080","+60:25:17.62","SN II","0.03084","","","ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; ZTF","ZTF19aauvbqv","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.83","r-ZTF","2019-05-14 04:16:08.000","ZTF_AMPEL_NEW","","2019TNSTR.779....1N","2019TNSCR.991....1F",""
"37522","SN 2019fer","11:39:01.650","-18:04:32.17","SN Ia","0.064","","","ZTF, ATLAS","ZTF, ATLAS","None","ATLAS; ZTF","ZTF19aauuzlr","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","SOAR - Goodman","1","1","","19.15","g-ZTF","2019-05-14 04:32:17.000","ZTF_AMPEL_NEW","","2019TNSTR.779....1N","2019TNSCR.824....1C",""
"37496","SN 2019fdr","17:09:06.859","+26:51:20.50","SLSN-II","0.2666","","","ZTF, GaiaAlerts, ATLAS, Pan-STARRS","ZTF, GaiaAlerts, ATLAS, Pan-STARRS","None, TexSNs, ZTF","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ZTF19aatubsj","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","HET - HET-LRS, MDM-2.4 - OSMOS, P200 - DBSP","1","1","","20.42","r-ZTF","2019-05-03 07:25:43.000","ZTF_AMPEL_COMPLETE","","2019TNSTR.771....1N","2019TNSCR1016....1C, 2019TNSCR2824....1V, 2019TNSCR2830....1P",""
"37484","SN 2019fdf","16:37:48.260","+25:47:22.09","SN Ia","0.049","","","ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","None, ZTF","ATLAS; GaiaAlerts; ZTF","ZTF19aaumvig","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM, SOAR - Goodman","1","1","","19.09","r-ZTF","2019-05-13 09:05:38.000","ZTF_AMPEL_NEW","","2019TNSTR.771....1N","2019TNSCR.824....1C, 2019TNSCR2812....1F",""
"37481","SN 2019fdc","16:01:06.643","+49:00:35.08","SN Ia","0.0426","","","ZTF, ATLAS, GaiaAlerts, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS","ZTF","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ZTF19aaujzqh","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.66","g-ZTF","2019-05-13 09:14:49.000","ZTF_AMPEL_NEW","","2019TNSTR.771....1N","2019TNSCR.799....1F",""
"37476","SN 2019fcx","15:51:23.681","+61:04:48.44","SN Ia","0.036665","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF19aaupkrl","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.05","g-ZTF","2019-05-13 06:10:52.000","ZTF_AMPEL_NEW","","2019TNSTR.771....1N","2019TNSCR.875....1F",""
"37475","SN 2019fcw","15:12:07.848","+01:03:37.77","SN Ia","0.087","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","None","ATLAS; Pan-STARRS; ZTF","ZTF19aauplxw","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1","SOAR - Goodman","1","1","","19.21","g-ZTF","2019-05-13 06:01:30.000","ZTF_AMPEL_NEW","","2019TNSTR.771....1N","2019TNSCR.817....1C",""
"37462","SN 2019fcm","13:21:02.641","+20:05:55.65","SN Ia","0.098","","","ZTF, ATLAS","ZTF, ATLAS","None","ATLAS; ZTF","ZTF19aauitks","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","SOAR - Goodman","1","1","","20.28","g-ZTF","2019-05-09 06:03:59.000","ZTF_AMPEL_NEW","","2019TNSTR.771....1N","2019TNSCR.817....1C",""
"37460","SN 2019fck","13:36:13.015","+38:21:18.22","SN Ia","0.02","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF18aaqkcso","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","16.76","g-ZTF","2019-05-13 04:23:32.000","ZTF_AMPEL_NEW","","2019TNSTR.771....1N","2019TNSCR.790....1F",""
"37458","SN 2019fci","13:27:49.221","+27:43:46.24","SN II","0.0433","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF19aauisdr","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.36","r-ZTF","2019-05-09 05:55:03.000","ZTF_AMPEL_NEW","","2019TNSTR.771....1N","2019TNSCR.892....1F",""
