"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"61787","SN 2020mqr","18:02:07.220","+31:51:34.67","SN Ia","0.04106","","","ZTF, GaiaAlerts, Pan-STARRS","ZTF, GaiaAlerts, Pan-STARRS","ZTF","GaiaAlerts; Pan-STARRS; ZTF","ZTF20abffaxl","Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","P60 - SEDM","1","1","","19.37","r-ZTF","2020-06-14 06:17:21.120","ZTF_AMPEL_COMPLETE","","2020TNSTR1812....1N","2020TNSCR1876....1D",""
"61785","SN 2020mqp","17:13:22.083","+01:33:03.05","SN Ia","0.048","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF20abeqsrm","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","P60 - SEDM","1","1","","19.86","r-ZTF","2020-06-09 08:37:32.160","ZTF_AMPEL_NEW","","2020TNSTR1812....1N","2020TNSCR1833....1D",""
"61764","SN 2020mpu","17:07:48.025","+51:45:23.19","SN Ia","0.158","","","SGLF","ZTF","SGLF","ZTF","ZTF20abektyy","P48 - ZTF-Cam","LT - SPRAT","1","1","","20.514","g-ZTF","2020-06-11 06:46:50.000","Perez-Fournon","","2020TNSTR1809....1P","2020TNSCR1890....1P",""
"61761","SN 2020mpr","21:34:36.996","+62:22:20.47","SN Ia","0.044","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF20abegoix","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.82","r-ZTF","2020-06-10 08:26:52.800","ZTF_Bot1","","2020TNSTR1796....1D","2020TNSCR1800....1D",""
"61737","AT 2020mot","00:31:13.560","+85:00:31.90","TDE","0.07","WISEA J003113.52+850031.8","","ALeRCE, ZTF, GaiaAlerts","ZTF, GaiaAlerts","Global SN Project","GaiaAlerts; ZTF","ZTF20abfcszi","Gaia - Gaia-photometric, P48 - ZTF-Cam","FTN - FLOYDS-N","1","1","","19.6739","g-ZTF","2020-06-14 09:27:05.003","ALeRCE","","2020TNSTR1791....1F","2020TNSCR2478....1H",""
"61736","SN 2020mos","00:05:27.473","+32:32:05.82","SN Ia","0.035","SDSS J000527.62+323202.1","0.044","ALeRCE, ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF20abfcshg","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","P60 - SEDM","1","1","","16.872","g-ZTF","2020-06-14 09:22:59.998","ALeRCE","","2020TNSTR1791....1F","2020TNSCR1876....1D",""
"61733","SN 2020mop","13:23:00.129","-01:48:16.99","SN Ia","0.0759","WISEA J132300.91-014815.1","0.0759","ALeRCE, ATLAS, ZTF, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF20abeyqmx","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","19.5426","g-ZTF","2020-06-14 04:44:26.998","ALeRCE","","2020TNSTR1791....1F","2020TNSCR1999....1D",""
"61731","SN 2020mon","11:16:15.526","+36:19:50.03","SN Ia","0.025","SDSS J111615.58+361950.5","0.085","ALeRCE, ATLAS, ZTF","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF20abeywdn","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","LT - SPRAT","1","1","","19.857","g-ZTF","2020-06-14 04:55:13.996","ALeRCE","","2020TNSTR1791....1F","2020TNSCR1986....1P",""
"61723","SN 2020mof","00:05:46.551","+33:45:40.89","SN Ia","0.1","SDSS J000546.32+334541.0","0.082","ALeRCE, ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF20abfcsnk","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.0587","g-ZTF","2020-06-14 09:22:59.998","ALeRCE","","2020TNSTR1791....1F","2020TNSCR1908....1D",""
"61719","SN 2020mob","20:26:52.295","-18:37:02.13","SN IIb","0.023","NGC 6912","0.023244","ALeRCE, Pan-STARRS, ATLAS, ZTF","ZTF, Pan-STARRS, ATLAS","DEHVILS","ATLAS; Pan-STARRS; ZTF","ZTF20abfcrzj","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","SALT - RSS","1","1","","18.5757","g-ZTF","2020-06-14 09:16:14.998","ALeRCE","","2020TNSTR1791....1F","2020TNSCR2050....1J",""
