"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"41557","SN 2019lci","16:31:01.620","+08:28:23.74","SN Ic-BL","0.0292","","","ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; ZTF","ZTF19abfsxpw","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.15","g-ZTF","2019-07-11 07:05:55.000","ZTF_AMPEL_NEW","","2019TNSTR1202....1N","2019TNSCR1215....1D",""
"41544","SN 2019lbv","12:52:41.577","+22:59:50.19","SN II","0.0318","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF19abgbdcp","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","","1","1","","17.68","g-ZTF","2019-07-13 04:24:03.000","ZTF_AMPEL_NEW","","2019TNSTR1202....1N","2020TNSCR1667....1D",""
"41542","SN 2019lbt","13:23:14.264","+21:32:53.18","SN Ia","0.0888","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF19abfjjlk","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.05","g-ZTF","2019-07-10 04:50:57.000","ZTF_AMPEL_NEW","","2019TNSTR1202....1N","2019TNSCR1215....1D",""
"41475","SN 2019kze","22:07:37.661","+22:03:40.13","SN Ia","0.024","","","ZTF, Pan-STARRS, ATLAS","ZTF, Pan-STARRS, ATLAS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF19abdzehg","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","20.86","g-ZTF","2019-07-04 10:43:40.000","ZTF_Bot1","","2019TNSTR1272....1F","2019TNSCR1273....1F",""
"41474","SN 2019kzd","15:08:32.434","+05:50:36.67","SN Ia","0.077","","","ZTF","ZTF","ZTF","ZTF","ZTF19abdmfgf","P48 - ZTF-Cam","P60 - SEDM","1","1","","19.48","g-ZTF","2019-07-04 05:00:57.000","ZTF_Bot1","","2019TNSTR1272....1F","2019TNSCR1307....1D",""
"41473","SN 2019kzc","02:18:31.825","+02:54:21.09","SN Ia","0.078","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF19abfqhis","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.68","g-ZTF","2019-07-10 10:43:40.000","ZTF_Bot1","","2019TNSTR1272....1F","2019TNSCR1273....1F",""
"41472","SN 2019kzb","00:24:14.779","-09:16:05.84","SN Ia","0.107","","","ZTF, Pan-STARRS","ZTF, Pan-STARRS","ZTF","Pan-STARRS; ZTF","ZTF19abdkcib","P48 - ZTF-Cam, PS1 - GPC1","Lick-3m - KAST","1","1","","19.6","g-ZTF","2019-07-03 10:35:02.000","ZTF_Bot1","","2019TNSTR1272....1F","2019TNSCR1402....1D",""
"41471","SN 2019kza","19:39:52.930","+47:56:12.23","SN Ia","0.087","","","ZTF, GaiaAlerts","ZTF, GaiaAlerts","ZTF","GaiaAlerts; ZTF","ZTF18abdcudb","Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","20.04","g-ZTF","2019-07-01 05:39:50.000","ZTF_Bot1","","2019TNSTR1272....1F","2019TNSCR1273....1F",""
"41470","SN 2019kyz","16:42:24.740","+78:54:53.93","SN Ia","0.06","","","ZTF, ATLAS, Pan-STARRS, GaiaAlerts","ZTF, ATLAS, Pan-STARRS, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ZTF19abeloei","ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.71","g-ZTF","2019-07-07 07:00:28.000","ZTF_Bot1","","2019TNSTR1272....1F","2019TNSCR1273....1F",""
"41469","SN 2019kyy","22:09:22.010","+44:58:29.96","SN Ia","0.041","","","ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; ZTF","ZTF19abdyawn","ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","20.3","r-ZTF","2019-07-04 08:42:43.000","ZTF_Bot1","","2019TNSTR1272....1F","2019TNSCR1215....1D",""
