ZTFID,HOST_RA,HOST_DEC
ZTF20acwobku,146.23575082,31.09784868
ZTF20acgiglu,34.54573756,37.09621082
ZTF21abrpdsp,60.93220058,13.2455155
ZTF21aaagypx,168.28295879,5.07287079
ZTF18aafzers,123.02388088,29.4043634
ZTF20acjsazw,163.94757574,14.8656051
ZTF21abkaoxe,249.66779524,32.54562052
ZTF20aczgmai,203.92668209,13.3309457
ZTF20acquetr,165.79592446,41.70523012
