ZTFID,ANN_NUM,IAU_NAME,SPEC_CLS,Z
ZTF20acwobku,0,2020acct,SN IIn,0.035
ZTF20acgiglu,1,2020urc,SN IIb,0.026728
ZTF21abrpdsp,2,2021vhh,SN Ia,0.037404
ZTF21aaagypx,3,2021V,SN IIP,0.02706
ZTF18aafzers,4,2021anm,SN Ia-pec,0.048708
ZTF20acjsazw,5,2020xky,SN Ia,0.06026
ZTF21abkaoxe,6,2021sve,SN Ia,0.0543
ZTF20aczgmai,7,2020aeuv,SN IIn,0.042843
ZTF20acquetr,8,2020zsp,SN Ia,0.030791
