ztf_object_id,obs_num,mjd_cutoff,feature_amplitude_magn_r,feature_anderson_darling_normal_magn_r,feature_beyond_1_std_magn_r,feature_beyond_2_std_magn_r,feature_cusum_magn_r,feature_eta_e_magn_r,feature_inter_percentile_range_2_magn_r,feature_inter_percentile_range_10_magn_r,feature_inter_percentile_range_25_magn_r,feature_kurtosis_magn_r,feature_linear_fit_slope_magn_r,feature_linear_fit_slope_sigma_magn_r,feature_linear_fit_reduced_chi2_magn_r,feature_linear_trend_magn_r,feature_linear_trend_sigma_magn_r,feature_linear_trend_noise_magn_r,feature_magnitude_percentage_ratio_40_5_magn_r,feature_magnitude_percentage_ratio_20_5_magn_r,feature_maximum_slope_magn_r,feature_mean_magn_r,feature_median_absolute_deviation_magn_r,feature_percent_amplitude_magn_r,feature_percent_difference_magnitude_percentile_5_magn_r,feature_percent_difference_magnitude_percentile_10_magn_r,feature_median_buffer_range_percentage_10_magn_r,feature_median_buffer_range_percentage_20_magn_r,feature_period_0_magn_r,feature_period_s_to_n_0_magn_r,feature_period_1_magn_r,feature_period_s_to_n_1_magn_r,feature_period_2_magn_r,feature_period_s_to_n_2_magn_r,feature_period_3_magn_r,feature_period_s_to_n_3_magn_r,feature_period_4_magn_r,feature_period_s_to_n_4_magn_r,feature_periodogram_amplitude_magn_r,feature_periodogram_beyond_2_std_magn_r,feature_periodogram_beyond_3_std_magn_r,feature_periodogram_standard_deviation_magn_r,feature_chi2_magn_r,feature_skew_magn_r,feature_standard_deviation_magn_r,feature_stetson_k_magn_r,feature_weighted_mean_magn_r,feature_anderson_darling_normal_flux_r,feature_cusum_flux_r,feature_eta_e_flux_r,feature_excess_variance_flux_r,feature_kurtosis_flux_r,feature_mean_variance_flux_r,feature_chi2_flux_r,feature_skew_flux_r,feature_stetson_k_flux_r,gmomentXX,gmomentXY,gmomentYY,gmomentR1,gmomentRH,gPSFFlux,gApFlux,gKronFlux,gKronRad,gExtNSigma,rmomentXX,rmomentXY,rmomentYY,rmomentR1,rmomentRH,rPSFFlux,rApFlux,rKronFlux,rKronRad,rExtNSigma,imomentXX,imomentXY,imomentYY,imomentR1,imomentRH,iPSFFlux,iApFlux,iKronFlux,iKronRad,iExtNSigma,zmomentXX,zmomentXY,zmomentYY,zmomentR1,zmomentRH,zPSFFlux,zApFlux,zKronFlux,zKronRad,zExtNSigma,ymomentXX,ymomentXY,ymomentYY,ymomentR1,ymomentRH,yPSFFlux,yApFlux,yKronFlux,yKronRad,yExtNSigma,i-z,gApMag_gKronMag,rApMag_rKronMag,iApMag_iKronMag,zApMag_zKronMag,yApMag_yKronMag,7DCD,dist/DLR,ILRT,SLSN-I,SLSN-II,SN,SNII,SNII-pec,SNIIP,SNIIb,SNIIn,SNIa-norm,SN Ia-91T-like,SNIa-91bg-like,SNIa-CSM,SNIa-Ca-rich,SNIa-pec,SN Iax[02cx-like],SNIb,SNIb-Ca-rich,SNIb/c,SNIbc,SNIbn,SNIc,SNIc-BL,SNIcn,TDE,NA,PHOT
2019wcb,5,58836.467,0.2829999999999995,0.11470702017202085,0.5,0.0,0.3243630618735955,1.349047604762103,0.565999999999999,0.565999999999999,0.29350000000000165,1.5815264667344238,0.06714677600270547,0.02714487470697373,0.20024856581846848,0.06115154063532985,0.018323806437753734,0.11095369232345025,0.029681981452363185,0.7111307631111817,0.13921993499475488,20.29375,0.12850000000000072,0.3194999999999979,0.027915464476831593,0.027915464476831593,0.5,0.5,21.218666666653007,1.9324951445648277,5.304666666663252,1.863807464274346,2.357629629628112,0.41609585833522206,3.214949494947425,0.24247815297783573,1.829195402297673,-0.0514061695171056,0.5854461526641093,0.0,0.0,0.33894319601081335,2.173138443239304,0.46643427222639855,0.23218580921322424,0.7214900787953281,20.27700143420748,0.12355517075687408,0.311703642901086,1.3659907092771053,0.004844238180518901,1.5099123141800135,0.2072652118180399,2.1840132843596467,-0.13482641484567823,0.824742759896025,0.3713209927082062,0.0042761298827826,0.3858979940414428,1.5731099843978882,1.06768000125885,2.02508999791462e-05,4.0100199839798734e-05,4.103620085516013e-05,3.9327800273895264,17.058900833129883,0.2312750071287155,0.0052803000435233,0.2366580069065094,1.506160020828247,0.9713180065155028,2.816760024870746e-05,6.023819878464565e-05,6.872710218885913e-05,3.765399932861328,20.34140014648437,0.2294860035181045,0.006274770013988,0.2318360060453415,1.6463899612426758,1.021239995956421,3.8457601476693526e-05,7.897889736341313e-05,9.077809954760596e-05,4.115990161895752,20.26210021972656,0.1931159943342209,0.003197249956429,0.1949619948863983,1.3464399576187134,0.918379008769989,3.892850145348348e-05,7.966600242070854e-05,9.03036998352036e-05,3.36611008644104,17.872499465942383,0.2285580039024353,0.0139092998579144,0.2428990006446838,1.214419960975647,0.9105380177497864,4.686660031438805e-05,9.372660133522004e-05,8.756209717830643e-05,3.036050081253052,11.618300437927246,0.009401321411136365,0.024999618530273438,0.14310073852539418,0.1512012481689453,0.13609886169432883,-0.07390022277832031,13.762520864700926,0.5466450853347189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2019wcb,6,58837.339,0.3539999999999992,0.19282062606148626,0.4,0.0,0.4017575539879985,0.878926851453858,0.7079999999999984,0.7079999999999984,0.4244999999999983,-1.367277309119383,0.07218020036997186,0.023263116760932408,0.17665870205953602,0.07026372421301319,0.013762351032165712,0.10474621223802091,0.23305084745762644,0.7330508474576264,0.16284403669668185,20.382399999999997,0.25700000000000145,0.45099999999999696,0.03490091688849445,0.03490091688849445,0.4,0.4,22.072499999994758,1.9986603040451696,5.518124999998689,1.8938246105199017,2.452499999999418,0.2846036349653414,1.870550847457183,-0.37553842596544895,3.4488281249991815,-0.3767016282113753,0.8705721384073729,0.0,0.0,0.5388560671478944,2.5392960840876317,0.13967714923663244,0.28235934551560266,0.8378710377859855,20.347251376732007,0.21396216052396985,0.3931941188966199,0.7490352611396849,0.02495009002562422,-1.077990684147255,0.25310648399440233,2.378310855724571,0.17325096914437296,0.8841272830061484,0.3713209927082062,0.0042761298827826,0.3858979940414428,1.5731099843978882,1.06768000125885,2.02508999791462e-05,4.0100199839798734e-05,4.103620085516013e-05,3.9327800273895264,17.058900833129883,0.2312750071287155,0.0052803000435233,0.2366580069065094,1.506160020828247,0.9713180065155028,2.816760024870746e-05,6.023819878464565e-05,6.872710218885913e-05,3.765399932861328,20.34140014648437,0.2294860035181045,0.006274770013988,0.2318360060453415,1.6463899612426758,1.021239995956421,3.8457601476693526e-05,7.897889736341313e-05,9.077809954760596e-05,4.115990161895752,20.26210021972656,0.1931159943342209,0.003197249956429,0.1949619948863983,1.3464399576187134,0.918379008769989,3.892850145348348e-05,7.966600242070854e-05,9.03036998352036e-05,3.36611008644104,17.872499465942383,0.2285580039024353,0.0139092998579144,0.2428990006446838,1.214419960975647,0.9105380177497864,4.686660031438805e-05,9.372660133522004e-05,8.756209717830643e-05,3.036050081253052,11.618300437927246,0.009401321411136365,0.024999618530273438,0.14310073852539418,0.1512012481689453,0.13609886169432883,-0.07390022277832031,13.762520864700926,0.5466450853347189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2019wcb,7,58846.344,0.5299999999999994,0.20178262762996646,0.3333333333333333,0.0,0.4001480635264927,1.0223075870694627,1.0599999999999987,1.0011998600959764,0.47199999999999775,-0.48707156195372203,0.06151767977577875,0.014452211075645625,0.21802459017213655,0.05854415670719591,0.0073938129665472715,0.10497634903205125,0.3068868097269309,0.6116981659295395,0.16284403669668185,20.500166666666665,0.23599999999999888,0.6484999999999985,0.051857831266358394,0.04898118246109324,0.0,0.0,42.80159999998868,2.3793705467202013,11.263578947365442,0.9895630139336942,5.095428571427225,0.7327766338491185,7.133599999998115,0.14353078143483874,3.9631111111100634,-0.6808080324523481,1.1278701527463617,0.0625,0.0,0.6454715548984563,3.7981952856883594,0.48372777756960267,0.38339974786985187,0.8541771519832211,20.43688807876251,0.20572943701357238,0.40984073299849794,1.1148651059228272,0.06689911896396239,-0.945465416988557,0.3283496502355849,3.7745623100918486,0.050702034581555463,0.8069944433875402,0.3713209927082062,0.0042761298827826,0.3858979940414428,1.5731099843978882,1.06768000125885,2.02508999791462e-05,4.0100199839798734e-05,4.103620085516013e-05,3.9327800273895264,17.058900833129883,0.2312750071287155,0.0052803000435233,0.2366580069065094,1.506160020828247,0.9713180065155028,2.816760024870746e-05,6.023819878464565e-05,6.872710218885913e-05,3.765399932861328,20.34140014648437,0.2294860035181045,0.006274770013988,0.2318360060453415,1.6463899612426758,1.021239995956421,3.8457601476693526e-05,7.897889736341313e-05,9.077809954760596e-05,4.115990161895752,20.26210021972656,0.1931159943342209,0.003197249956429,0.1949619948863983,1.3464399576187134,0.918379008769989,3.892850145348348e-05,7.966600242070854e-05,9.03036998352036e-05,3.36611008644104,17.872499465942383,0.2285580039024353,0.0139092998579144,0.2428990006446838,1.214419960975647,0.9105380177497864,4.686660031438805e-05,9.372660133522004e-05,8.756209717830643e-05,3.036050081253052,11.618300437927246,0.009401321411136365,0.024999618530273438,0.14310073852539418,0.1512012481689453,0.13609886169432883,-0.07390022277832031,13.762520864700926,0.5466450853347189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2019wcb,8,58849.341,0.5790000000000006,0.2554919673603009,0.42857142857142855,0.0,0.3993483670256283,0.6361505726251226,1.1580000000000013,1.0911999747753178,0.7307499999999969,-1.447956842437717,0.05686406559458671,0.0110322655012409,0.22411503092699997,0.05435198435603022,0.00531084562630635,0.10189333278251671,0.2726252636967121,0.7404145045601629,0.16284403669668185,20.598285714285712,0.3299999999999983,0.5920000000000023,0.05622723962126736,0.052983732691202615,0.14285714285714285,0.14285714285714285,48.605666666662735,3.08761997557671,2.454831649831451,1.725509768308466,2.825910852712949,1.253045783101974,12.151416666665684,1.1767840183305476,2.1698958333331575,0.5560830415929862,1.4375526241876935,0.0625,0.0234375,0.6942253369095119,4.614635503992948,0.20556676887986647,0.43576091085430224,0.854238609949212,20.51360586773393,0.26952714026132374,0.41270763765192986,0.7707432226931433,0.10038951184114822,-1.257008835415177,0.377972971055504,4.31248654418394,0.25659163562448256,0.8479339820654942,0.3713209927082062,0.0042761298827826,0.3858979940414428,1.5731099843978882,1.06768000125885,2.02508999791462e-05,4.0100199839798734e-05,4.103620085516013e-05,3.9327800273895264,17.058900833129883,0.2312750071287155,0.0052803000435233,0.2366580069065094,1.506160020828247,0.9713180065155028,2.816760024870746e-05,6.023819878464565e-05,6.872710218885913e-05,3.765399932861328,20.34140014648437,0.2294860035181045,0.006274770013988,0.2318360060453415,1.6463899612426758,1.021239995956421,3.8457601476693526e-05,7.897889736341313e-05,9.077809954760596e-05,4.115990161895752,20.26210021972656,0.1931159943342209,0.003197249956429,0.1949619948863983,1.3464399576187134,0.918379008769989,3.892850145348348e-05,7.966600242070854e-05,9.03036998352036e-05,3.36611008644104,17.872499465942383,0.2285580039024353,0.0139092998579144,0.2428990006446838,1.214419960975647,0.9105380177497864,4.686660031438805e-05,9.372660133522004e-05,8.756209717830643e-05,3.036050081253052,11.618300437927246,0.009401321411136365,0.024999618530273438,0.14310073852539418,0.1512012481689453,0.13609886169432883,-0.07390022277832031,13.762520864700926,0.5466450853347189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2019wcb,9,58849.5,0.7195,0.24227628334081946,0.25,0.0,0.4073367272324385,15.89176177828775,1.439,1.2838999435901641,0.8624999999999972,-1.3227158074503085,0.06026061623321745,0.009565057662176708,0.25038675228529284,0.05887069975318568,0.005215378363435982,0.11619114411843222,0.23648370563196786,0.632453098572154,1.767295597488151,20.707,0.41199999999999903,0.8020000000000032,0.06963127842833641,0.06212619488968181,0.25,0.25,34.26938775509871,3.299482462691454,12.62556390977321,1.1419533776825244,2.4478134110784793,1.1332566342384989,2.822184873949306,0.9927726637269905,4.613186813186365,0.7091653723158587,1.6760109400343248,0.0703125,0.0390625,0.7641913639006588,5.884758912889988,0.1941387621368149,0.5072584576496904,0.829799911196597,20.59766540243603,0.284236466111247,0.4046695226676642,5.954802403232577,0.14715378929576012,-1.1988173912590927,0.43787025655028183,5.442677197201548,0.3329820581251098,0.8760353664430146,0.3713209927082062,0.0042761298827826,0.3858979940414428,1.5731099843978882,1.06768000125885,2.02508999791462e-05,4.0100199839798734e-05,4.103620085516013e-05,3.9327800273895264,17.058900833129883,0.2312750071287155,0.0052803000435233,0.2366580069065094,1.506160020828247,0.9713180065155028,2.816760024870746e-05,6.023819878464565e-05,6.872710218885913e-05,3.765399932861328,20.34140014648437,0.2294860035181045,0.006274770013988,0.2318360060453415,1.6463899612426758,1.021239995956421,3.8457601476693526e-05,7.897889736341313e-05,9.077809954760596e-05,4.115990161895752,20.26210021972656,0.1931159943342209,0.003197249956429,0.1949619948863983,1.3464399576187134,0.918379008769989,3.892850145348348e-05,7.966600242070854e-05,9.03036998352036e-05,3.36611008644104,17.872499465942383,0.2285580039024353,0.0139092998579144,0.2428990006446838,1.214419960975647,0.9105380177497864,4.686660031438805e-05,9.372660133522004e-05,8.756209717830643e-05,3.036050081253052,11.618300437927246,0.009401321411136365,0.024999618530273438,0.14310073852539418,0.1512012481689453,0.13609886169432883,-0.07390022277832031,13.762520864700926,0.5466450853347189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2019wcb,10,58852.429,0.7195,0.31134430584621653,0.2222222222222222,0.0,0.4163168889583872,14.672739605088177,1.439,1.2321998307704938,0.8514999999999979,-1.383361514745673,0.052159113232369374,0.007965929464598849,0.5490766900036501,0.051773649986407426,0.006287914859458276,0.1613995018528616,0.3089645679333365,0.6211257952629816,1.767295597488151,20.752222222222223,0.45000000000000284,0.7310000000000016,0.0693928726431017,0.05942035158270212,0.1111111111111111,0.2222222222222222,33.63609374999214,3.3235594838438876,2.862646276595076,1.5777145932783312,2.491562499999418,0.8044528455430326,13.454437499996857,0.7333346519379127,3.6861472602731116,0.5601691576163218,1.9604731830466584,0.0625,0.0390625,0.9083879859477716,5.839611668408888,-0.08653203971009615,0.4935105818971305,0.8528368512239467,20.655615220934454,0.43181728522885937,0.41109020158143167,5.431094068547395,0.15513925709534715,-1.0087133371625692,0.44722129797281107,4.893809919540417,0.5688696268009916,0.861486023289043,0.3713209927082062,0.0042761298827826,0.3858979940414428,1.5731099843978882,1.06768000125885,2.02508999791462e-05,4.0100199839798734e-05,4.103620085516013e-05,3.9327800273895264,17.058900833129883,0.2312750071287155,0.0052803000435233,0.2366580069065094,1.506160020828247,0.9713180065155028,2.816760024870746e-05,6.023819878464565e-05,6.872710218885913e-05,3.765399932861328,20.34140014648437,0.2294860035181045,0.006274770013988,0.2318360060453415,1.6463899612426758,1.021239995956421,3.8457601476693526e-05,7.897889736341313e-05,9.077809954760596e-05,4.115990161895752,20.26210021972656,0.1931159943342209,0.003197249956429,0.1949619948863983,1.3464399576187134,0.918379008769989,3.892850145348348e-05,7.966600242070854e-05,9.03036998352036e-05,3.36611008644104,17.872499465942383,0.2285580039024353,0.0139092998579144,0.2428990006446838,1.214419960975647,0.9105380177497864,4.686660031438805e-05,9.372660133522004e-05,8.756209717830643e-05,3.036050081253052,11.618300437927246,0.009401321411136365,0.024999618530273438,0.14310073852539418,0.1512012481689453,0.13609886169432883,-0.07390022277832031,13.762520864700926,0.5466450853347189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
