ztf_object_id,obs_num,mjd_cutoff,feature_amplitude_magn_g,feature_anderson_darling_normal_magn_g,feature_beyond_1_std_magn_g,feature_beyond_2_std_magn_g,feature_cusum_magn_g,feature_eta_e_magn_g,feature_inter_percentile_range_2_magn_g,feature_inter_percentile_range_10_magn_g,feature_inter_percentile_range_25_magn_g,feature_kurtosis_magn_g,feature_linear_fit_slope_magn_g,feature_linear_fit_slope_sigma_magn_g,feature_linear_fit_reduced_chi2_magn_g,feature_linear_trend_magn_g,feature_linear_trend_sigma_magn_g,feature_linear_trend_noise_magn_g,feature_magnitude_percentage_ratio_40_5_magn_g,feature_magnitude_percentage_ratio_20_5_magn_g,feature_maximum_slope_magn_g,feature_mean_magn_g,feature_median_absolute_deviation_magn_g,feature_percent_amplitude_magn_g,feature_percent_difference_magnitude_percentile_5_magn_g,feature_percent_difference_magnitude_percentile_10_magn_g,feature_median_buffer_range_percentage_10_magn_g,feature_median_buffer_range_percentage_20_magn_g,feature_period_0_magn_g,feature_period_s_to_n_0_magn_g,feature_period_1_magn_g,feature_period_s_to_n_1_magn_g,feature_period_2_magn_g,feature_period_s_to_n_2_magn_g,feature_period_3_magn_g,feature_period_s_to_n_3_magn_g,feature_period_4_magn_g,feature_period_s_to_n_4_magn_g,feature_periodogram_amplitude_magn_g,feature_periodogram_beyond_2_std_magn_g,feature_periodogram_beyond_3_std_magn_g,feature_periodogram_standard_deviation_magn_g,feature_chi2_magn_g,feature_skew_magn_g,feature_standard_deviation_magn_g,feature_stetson_k_magn_g,feature_weighted_mean_magn_g,feature_anderson_darling_normal_flux_g,feature_cusum_flux_g,feature_eta_e_flux_g,feature_excess_variance_flux_g,feature_kurtosis_flux_g,feature_mean_variance_flux_g,feature_chi2_flux_g,feature_skew_flux_g,feature_stetson_k_flux_g,feature_amplitude_magn_r,feature_anderson_darling_normal_magn_r,feature_beyond_1_std_magn_r,feature_beyond_2_std_magn_r,feature_cusum_magn_r,feature_eta_e_magn_r,feature_inter_percentile_range_2_magn_r,feature_inter_percentile_range_10_magn_r,feature_inter_percentile_range_25_magn_r,feature_kurtosis_magn_r,feature_linear_fit_slope_magn_r,feature_linear_fit_slope_sigma_magn_r,feature_linear_fit_reduced_chi2_magn_r,feature_linear_trend_magn_r,feature_linear_trend_sigma_magn_r,feature_linear_trend_noise_magn_r,feature_magnitude_percentage_ratio_40_5_magn_r,feature_magnitude_percentage_ratio_20_5_magn_r,feature_maximum_slope_magn_r,feature_mean_magn_r,feature_median_absolute_deviation_magn_r,feature_percent_amplitude_magn_r,feature_percent_difference_magnitude_percentile_5_magn_r,feature_percent_difference_magnitude_percentile_10_magn_r,feature_median_buffer_range_percentage_10_magn_r,feature_median_buffer_range_percentage_20_magn_r,feature_period_0_magn_r,feature_period_s_to_n_0_magn_r,feature_period_1_magn_r,feature_period_s_to_n_1_magn_r,feature_period_2_magn_r,feature_period_s_to_n_2_magn_r,feature_period_3_magn_r,feature_period_s_to_n_3_magn_r,feature_period_4_magn_r,feature_period_s_to_n_4_magn_r,feature_periodogram_amplitude_magn_r,feature_periodogram_beyond_2_std_magn_r,feature_periodogram_beyond_3_std_magn_r,feature_periodogram_standard_deviation_magn_r,feature_chi2_magn_r,feature_skew_magn_r,feature_standard_deviation_magn_r,feature_stetson_k_magn_r,feature_weighted_mean_magn_r,feature_anderson_darling_normal_flux_r,feature_cusum_flux_r,feature_eta_e_flux_r,feature_excess_variance_flux_r,feature_kurtosis_flux_r,feature_mean_variance_flux_r,feature_chi2_flux_r,feature_skew_flux_r,feature_stetson_k_flux_r,gmomentXX,gmomentXY,gmomentYY,gmomentR1,gmomentRH,gPSFFlux,gApFlux,gKronFlux,gKronRad,gExtNSigma,rmomentXX,rmomentXY,rmomentYY,rmomentR1,rmomentRH,rPSFFlux,rApFlux,rKronFlux,rKronRad,rExtNSigma,imomentXX,imomentXY,imomentYY,imomentR1,imomentRH,iPSFFlux,iApFlux,iKronFlux,iKronRad,iExtNSigma,zmomentXX,zmomentXY,zmomentYY,zmomentR1,zmomentRH,zPSFFlux,zApFlux,zKronFlux,zKronRad,zExtNSigma,ymomentXX,ymomentXY,ymomentYY,ymomentR1,ymomentRH,yPSFFlux,yApFlux,yKronFlux,yKronRad,yExtNSigma,i-z,gApMag_gKronMag,rApMag_rKronMag,iApMag_iKronMag,zApMag_zKronMag,yApMag_yKronMag,7DCD,dist/DLR,ILRT,SLSN-I,SLSN-II,SN,SNII,SNII-pec,SNIIP,SNIIb,SNIIn,SNIa-norm,SN Ia-91T-like,SNIa-91bg-like,SNIa-CSM,SNIa-Ca-rich,SNIa-pec,SN Iax[02cx-like],SNIb,SNIb-Ca-rich,SNIb/c,SNIbc,SNIbn,SNIc,SNIc-BL,SNIcn,TDE,NA,PHOT
2020wnz,4,59141.399,0.2419999999999991,0.1111147815522835,0.25,0.0,0.39958158713652414,2.173353653341735,0.4839999999999982,0.4839999999999982,0.3550000000000004,-2.0861364778046525,-0.0961507413547538,0.02536455896060803,1.564429645192372,-0.09238746721811354,0.03899417089725147,0.1394228387323282,0.373553752406574,0.8400826451699591,0.3252595155715457,19.9155,0.1410000000000018,0.3149999999999977,0.024258219727345542,0.024258219727345542,0.0,0.0,8.301666666666279,1.9851109070772783,2.1423655913977493,1.183795505700804,1.9533333333332419,1.1596554552131748,1.1651461988303549,0.06389664933771767,3.4954385964910646,-0.4648115715652146,0.6761819117402091,0.0,0.0,0.425862462140958,5.832885545209199,-0.6102140974057016,0.22210733141133948,0.8696439873697843,19.855721809974558,0.1184494428596359,0.391257318894142,1.874544115104753,0.03358574422835055,-1.2880114780601932,0.2095166597408011,5.652250385850006,0.7967743847937188,0.8796125681898248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3861109912395477,0.0256137996912002,0.3866339921951294,2.517040014266968,1.2335100173950195,3.835450115730055e-05,9.758320084074512e-05,0.0001438390027033,6.292610168457031,21.792299270629883,0.2453760057687759,0.0127649996429681,0.2356320023536682,2.3947501182556152,1.0984899997711182,6.191650027176365e-05,0.0001419540058122,0.000244628987275,5.986879825592041,34.29209899902344,0.2789900004863739,0.0143526000902056,0.2721520066261291,2.654949903488159,1.1286699771881104,8.953070209827274e-05,0.000219174005906,0.0003500079910736,6.637380123138428,28.306299209594727,0.2084520012140274,0.0096378903836011,0.2014809995889663,2.2323899269104004,1.0446200370788574,0.0001039700000546,0.0002180570008931,0.0003922269970644,5.58096981048584,43.679298400878906,0.2652620077133178,0.0212152991443872,0.2587040066719055,1.8915799856185915,1.0687999725341797,0.0001363869960187,0.0003106929943896,0.0004183879937045,4.728960037231445,25.83830070495605,-0.0055999755859375,0.42129898071289773,0.5909004211425781,0.5081996917724609,0.6373996734619141,0.3231010437011719,108.74275119830378,0.08482462039547868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2020wnz,5,59143.397,0.2419999999999991,0.25567908369875403,0.4,0.0,0.40920033338253425,1.8105599384595026,0.4839999999999982,0.4839999999999982,0.41799999999999926,-2.8002386584616117,-0.06609215576871956,0.015797431588255372,1.8077355264854005,-0.07179353704553985,0.023769472717462766,0.12734863368874294,0.40909090909091145,0.9090909090909151,0.3252595155715457,19.8662,0.20199999999999818,0.28200000000000003,0.02439639094712426,0.02439639094712426,0.2,0.2,10.904687499999,2.1972383597567453,1.896467391304174,1.0864972346789832,3.2310185185182223,0.023531141930933353,1.4786016949151186,-0.8028032519572497,0.0,0.0,0.9224814293051307,0.046875,0.0,0.570072928417115,5.731696490244612,0.17856703864733312,0.22170069914188337,0.9101197877939899,19.78074768030308,0.25167961164999664,0.4024337432951587,1.5574959015501177,0.03163109743051376,-2.8205749178262183,0.20019456995679605,6.431827867776957,-0.06097101828728738,0.8943534854681168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3861109912395477,0.0256137996912002,0.3866339921951294,2.517040014266968,1.2335100173950195,3.835450115730055e-05,9.758320084074512e-05,0.0001438390027033,6.292610168457031,21.792299270629883,0.2453760057687759,0.0127649996429681,0.2356320023536682,2.3947501182556152,1.0984899997711182,6.191650027176365e-05,0.0001419540058122,0.000244628987275,5.986879825592041,34.29209899902344,0.2789900004863739,0.0143526000902056,0.2721520066261291,2.654949903488159,1.1286699771881104,8.953070209827274e-05,0.000219174005906,0.0003500079910736,6.637380123138428,28.306299209594727,0.2084520012140274,0.0096378903836011,0.2014809995889663,2.2323899269104004,1.0446200370788574,0.0001039700000546,0.0002180570008931,0.0003922269970644,5.58096981048584,43.679298400878906,0.2652620077133178,0.0212152991443872,0.2587040066719055,1.8915799856185915,1.0687999725341797,0.0001363869960187,0.0003106929943896,0.0004183879937045,4.728960037231445,25.83830070495605,-0.0055999755859375,0.42129898071289773,0.5909004211425781,0.5081996917724609,0.6373996734619141,0.3231010437011719,108.74275119830378,0.08482462039547868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2020wnz,6,59145.376,0.2419999999999991,0.25567908369875403,0.4,0.0,0.40920033338253425,1.8105599384595026,0.4839999999999982,0.4839999999999982,0.41799999999999926,-2.8002386584616117,-0.06609215576871956,0.015797431588255372,1.8077355264854005,-0.07179353704553985,0.023769472717462766,0.12734863368874294,0.40909090909091145,0.9090909090909151,0.3252595155715457,19.8662,0.20199999999999818,0.28200000000000003,0.02439639094712426,0.02439639094712426,0.2,0.2,10.904687499999,2.1972383597567453,1.896467391304174,1.0864972346789832,3.2310185185182223,0.023531141930933353,1.4786016949151186,-0.8028032519572497,0.0,0.0,0.9224814293051307,0.046875,0.0,0.570072928417115,5.731696490244612,0.17856703864733312,0.22170069914188337,0.9101197877939899,19.78074768030308,0.25167961164999664,0.4024337432951587,1.5574959015501177,0.03163109743051376,-2.8205749178262183,0.20019456995679605,6.431827867776957,-0.06097101828728738,0.8943534854681168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3861109912395477,0.0256137996912002,0.3866339921951294,2.517040014266968,1.2335100173950195,3.835450115730055e-05,9.758320084074512e-05,0.0001438390027033,6.292610168457031,21.792299270629883,0.2453760057687759,0.0127649996429681,0.2356320023536682,2.3947501182556152,1.0984899997711182,6.191650027176365e-05,0.0001419540058122,0.000244628987275,5.986879825592041,34.29209899902344,0.2789900004863739,0.0143526000902056,0.2721520066261291,2.654949903488159,1.1286699771881104,8.953070209827274e-05,0.000219174005906,0.0003500079910736,6.637380123138428,28.306299209594727,0.2084520012140274,0.0096378903836011,0.2014809995889663,2.2323899269104004,1.0446200370788574,0.0001039700000546,0.0002180570008931,0.0003922269970644,5.58096981048584,43.679298400878906,0.2652620077133178,0.0212152991443872,0.2587040066719055,1.8915799856185915,1.0687999725341797,0.0001363869960187,0.0003106929943896,0.0004183879937045,4.728960037231445,25.83830070495605,-0.0055999755859375,0.42129898071289773,0.5909004211425781,0.5081996917724609,0.6373996734619141,0.3231010437011719,108.74275119830378,0.08482462039547868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2020wnz,7,59145.398,0.28249999999999886,0.324555800599357,0.5,0.0,0.41191451536748913,1.3998648585819338,0.5649999999999977,0.5512999767065025,0.4280000000000008,-1.9856112384111375,-0.05819866112401773,0.010765519443370463,1.472340103885247,-0.06416423494782637,0.015462991393488472,0.11421352482509477,0.34654872438549117,0.8302654987942875,0.3252595155715457,19.8145,0.1574999999999971,0.3670000000000009,0.02860180216664968,0.027908270563253144,0.0,0.0,13.470000000004802,2.5917521154891383,2.072307692308431,0.2909130295057318,2.6940000000009605,-0.15562063842934382,5.671578947370444,-0.2716812891504484,3.848571428572801,-0.41667944828989495,1.0615662373030834,0.09375,0.0,0.6106488130652515,7.022892112763533,0.4279673469915132,0.23528344608152907,0.8382234279648011,19.697047692235294,0.29101627560178267,0.4174102119253059,1.1598030033814832,0.036438660130018605,-2.0296113200199217,0.2082672036710679,8.568769372398446,-0.2733154509428867,0.8820248083903901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3861109912395477,0.0256137996912002,0.3866339921951294,2.517040014266968,1.2335100173950195,3.835450115730055e-05,9.758320084074512e-05,0.0001438390027033,6.292610168457031,21.792299270629883,0.2453760057687759,0.0127649996429681,0.2356320023536682,2.3947501182556152,1.0984899997711182,6.191650027176365e-05,0.0001419540058122,0.000244628987275,5.986879825592041,34.29209899902344,0.2789900004863739,0.0143526000902056,0.2721520066261291,2.654949903488159,1.1286699771881104,8.953070209827274e-05,0.000219174005906,0.0003500079910736,6.637380123138428,28.306299209594727,0.2084520012140274,0.0096378903836011,0.2014809995889663,2.2323899269104004,1.0446200370788574,0.0001039700000546,0.0002180570008931,0.0003922269970644,5.58096981048584,43.679298400878906,0.2652620077133178,0.0212152991443872,0.2587040066719055,1.8915799856185915,1.0687999725341797,0.0001363869960187,0.0003106929943896,0.0004183879937045,4.728960037231445,25.83830070495605,-0.0055999755859375,0.42129898071289773,0.5909004211425781,0.5081996917724609,0.6373996734619141,0.3231010437011719,108.74275119830378,0.08482462039547868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2020wnz,8,59149.376,0.28249999999999886,0.324555800599357,0.5,0.0,0.41191451536748913,1.3998648585819338,0.5649999999999977,0.5512999767065025,0.4280000000000008,-1.9856112384111375,-0.05819866112401773,0.010765519443370463,1.472340103885247,-0.06416423494782637,0.015462991393488472,0.11421352482509477,0.34654872438549117,0.8302654987942875,0.3252595155715457,19.8145,0.1574999999999971,0.3670000000000009,0.02860180216664968,0.027908270563253144,0.0,0.0,13.470000000004802,2.5917521154891383,2.072307692308431,0.2909130295057318,2.6940000000009605,-0.15562063842934382,5.671578947370444,-0.2716812891504484,3.848571428572801,-0.41667944828989495,1.0615662373030834,0.09375,0.0,0.6106488130652515,7.022892112763533,0.4279673469915132,0.23528344608152907,0.8382234279648011,19.697047692235294,0.29101627560178267,0.4174102119253059,1.1598030033814832,0.036438660130018605,-2.0296113200199217,0.2082672036710679,8.568769372398446,-0.2733154509428867,0.8820248083903901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3861109912395477,0.0256137996912002,0.3866339921951294,2.517040014266968,1.2335100173950195,3.835450115730055e-05,9.758320084074512e-05,0.0001438390027033,6.292610168457031,21.792299270629883,0.2453760057687759,0.0127649996429681,0.2356320023536682,2.3947501182556152,1.0984899997711182,6.191650027176365e-05,0.0001419540058122,0.000244628987275,5.986879825592041,34.29209899902344,0.2789900004863739,0.0143526000902056,0.2721520066261291,2.654949903488159,1.1286699771881104,8.953070209827274e-05,0.000219174005906,0.0003500079910736,6.637380123138428,28.306299209594727,0.2084520012140274,0.0096378903836011,0.2014809995889663,2.2323899269104004,1.0446200370788574,0.0001039700000546,0.0002180570008931,0.0003922269970644,5.58096981048584,43.679298400878906,0.2652620077133178,0.0212152991443872,0.2587040066719055,1.8915799856185915,1.0687999725341797,0.0001363869960187,0.0003106929943896,0.0004183879937045,4.728960037231445,25.83830070495605,-0.0055999755859375,0.42129898071289773,0.5909004211425781,0.5081996917724609,0.6373996734619141,0.3231010437011719,108.74275119830378,0.08482462039547868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2020wnz,9,59149.441,0.28249999999999886,0.5152713898162506,0.42857142857142855,0.0,0.4155359287753918,1.9180906693328217,0.5649999999999977,0.5375999849438635,0.36524999999999963,-1.3224360122270848,-0.043864157959398194,0.00919632887190792,2.4898267964828995,-0.03888980760593103,0.013977340224171377,0.15260469457153633,0.21929212207287938,0.7817699054701169,0.3252595155715457,19.792714285714286,0.11299999999999955,0.4519999999999982,0.028725405460368992,0.027332349633629748,0.2857142857142857,0.42857142857142855,18.991875000001528,3.356766945728925,1.973181818181977,1.368398126796727,9.495937500000764,1.0857940211460222,2.8666981132077773,0.34923763033014943,1.3687837837838939,0.19892418934548056,1.2439904872020546,0.0625,0.03125,0.565931779913302,5.866602697582581,0.7319588780856485,0.22238308859991573,0.7895054800654279,19.69469413682373,0.4506537002354656,0.4199477016365129,1.605006618184505,0.029404219905560875,-1.457530175779711,0.19276047277433478,7.230572706938395,-0.5840685821616639,0.8489682569496316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3861109912395477,0.0256137996912002,0.3866339921951294,2.517040014266968,1.2335100173950195,3.835450115730055e-05,9.758320084074512e-05,0.0001438390027033,6.292610168457031,21.792299270629883,0.2453760057687759,0.0127649996429681,0.2356320023536682,2.3947501182556152,1.0984899997711182,6.191650027176365e-05,0.0001419540058122,0.000244628987275,5.986879825592041,34.29209899902344,0.2789900004863739,0.0143526000902056,0.2721520066261291,2.654949903488159,1.1286699771881104,8.953070209827274e-05,0.000219174005906,0.0003500079910736,6.637380123138428,28.306299209594727,0.2084520012140274,0.0096378903836011,0.2014809995889663,2.2323899269104004,1.0446200370788574,0.0001039700000546,0.0002180570008931,0.0003922269970644,5.58096981048584,43.679298400878906,0.2652620077133178,0.0212152991443872,0.2587040066719055,1.8915799856185915,1.0687999725341797,0.0001363869960187,0.0003106929943896,0.0004183879937045,4.728960037231445,25.83830070495605,-0.0055999755859375,0.42129898071289773,0.5909004211425781,0.5081996917724609,0.6373996734619141,0.3231010437011719,108.74275119830378,0.08482462039547868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2020wnz,10,59150.397,0.28249999999999886,0.7357041939030348,0.375,0.0,0.4112950663597286,1.5609467016567116,0.5649999999999977,0.52389998835325,0.30249999999999844,-0.6916632151137936,-0.03815498566527546,0.00853247760426609,2.536433299936814,-0.030442624115165927,0.011411267206587793,0.1534977779838441,0.1001770462609981,0.7130973822247666,0.3252595155715457,19.777875,0.07500000000000107,0.4494999999999969,0.02872175482296712,0.02663243719865033,0.375,0.5,19.969999999999086,3.565978833706074,9.3976470588231,1.5999553997343432,2.0748051948050996,1.2651045999550625,1.94829268292674,1.1050341461791597,4.9924999999997715,0.022960536125745626,1.3758341313392406,0.0546875,0.03125,0.6066263587734883,5.030717282965519,0.9570213627498271,0.21012135099236595,0.7443311104431507,19.694021486130428,0.6393442562741006,0.4146995948785836,1.3141728921886013,0.022247559178439177,-0.8809073754060872,0.17951491745201698,6.22370722674413,-0.8064353736687383,0.8127888722012974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3861109912395477,0.0256137996912002,0.3866339921951294,2.517040014266968,1.2335100173950195,3.835450115730055e-05,9.758320084074512e-05,0.0001438390027033,6.292610168457031,21.792299270629883,0.2453760057687759,0.0127649996429681,0.2356320023536682,2.3947501182556152,1.0984899997711182,6.191650027176365e-05,0.0001419540058122,0.000244628987275,5.986879825592041,34.29209899902344,0.2789900004863739,0.0143526000902056,0.2721520066261291,2.654949903488159,1.1286699771881104,8.953070209827274e-05,0.000219174005906,0.0003500079910736,6.637380123138428,28.306299209594727,0.2084520012140274,0.0096378903836011,0.2014809995889663,2.2323899269104004,1.0446200370788574,0.0001039700000546,0.0002180570008931,0.0003922269970644,5.58096981048584,43.679298400878906,0.2652620077133178,0.0212152991443872,0.2587040066719055,1.8915799856185915,1.0687999725341797,0.0001363869960187,0.0003106929943896,0.0004183879937045,4.728960037231445,25.83830070495605,-0.0055999755859375,0.42129898071289773,0.5909004211425781,0.5081996917724609,0.6373996734619141,0.3231010437011719,108.74275119830378,0.08482462039547868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2020wnz,11,59152.405,0.28249999999999886,0.7357041939030348,0.375,0.0,0.4112950663597286,1.5609467016567116,0.5649999999999977,0.52389998835325,0.30249999999999844,-0.6916632151137936,-0.03815498566527546,0.00853247760426609,2.536433299936814,-0.030442624115165927,0.011411267206587793,0.1534977779838441,0.1001770462609981,0.7130973822247666,0.3252595155715457,19.777875,0.07500000000000107,0.4494999999999969,0.02872175482296712,0.02663243719865033,0.375,0.5,19.969999999999086,3.565978833706074,9.3976470588231,1.5999553997343432,2.0748051948050996,1.2651045999550625,1.94829268292674,1.1050341461791597,4.9924999999997715,0.022960536125745626,1.3758341313392406,0.0546875,0.03125,0.6066263587734883,5.030717282965519,0.9570213627498271,0.21012135099236595,0.7443311104431507,19.694021486130428,0.6393442562741006,0.4146995948785836,1.3141728921886013,0.022247559178439177,-0.8809073754060872,0.17951491745201698,6.22370722674413,-0.8064353736687383,0.8127888722012974,0.3955000000000002,0.1576196383886586,0.25,0.0,0.37544757737248713,1.330478930319423,0.7910000000000004,0.7910000000000004,0.5600000000000023,0.059652218387668654,-0.03708681362863742,0.017644976599277006,4.556883484295046,-0.036641036645586,0.028038381201035304,0.33541532811454333,0.33274339258143526,0.82477878838514,0.10861670518314759,19.7665,0.16799999999999926,0.6195000000000022,0.040245236459843826,0.040245236459843826,0.0,0.0,21.211999999999534,2.391463797273857,5.582105263157772,1.2661228104033586,3.7878571428570598,0.2713677280016961,7.5757142857141195,-0.36816044041332496,0.0,0.0,0.6738074624273211,0.0625,0.0,0.3461338203859733,4.510491191577312,1.11774267601647,0.37288827638673105,0.7893169844368709,19.542902063371432,0.1480809998137218,0.3938745558261071,1.6595977843883452,0.07181644970502407,-1.4927418510539443,0.307486572405011,7.684559348022476,-0.8149074965625561,0.8362097965064097,0.3861109912395477,0.0256137996912002,0.3866339921951294,2.517040014266968,1.2335100173950195,3.835450115730055e-05,9.758320084074512e-05,0.0001438390027033,6.292610168457031,21.792299270629883,0.2453760057687759,0.0127649996429681,0.2356320023536682,2.3947501182556152,1.0984899997711182,6.191650027176365e-05,0.0001419540058122,0.000244628987275,5.986879825592041,34.29209899902344,0.2789900004863739,0.0143526000902056,0.2721520066261291,2.654949903488159,1.1286699771881104,8.953070209827274e-05,0.000219174005906,0.0003500079910736,6.637380123138428,28.306299209594727,0.2084520012140274,0.0096378903836011,0.2014809995889663,2.2323899269104004,1.0446200370788574,0.0001039700000546,0.0002180570008931,0.0003922269970644,5.58096981048584,43.679298400878906,0.2652620077133178,0.0212152991443872,0.2587040066719055,1.8915799856185915,1.0687999725341797,0.0001363869960187,0.0003106929943896,0.0004183879937045,4.728960037231445,25.83830070495605,-0.0055999755859375,0.42129898071289773,0.5909004211425781,0.5081996917724609,0.6373996734619141,0.3231010437011719,108.74275119830378,0.08482462039547868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2020wnz,12,59155.43,0.28249999999999886,0.7357041939030348,0.375,0.0,0.4112950663597286,1.5609467016567116,0.5649999999999977,0.52389998835325,0.30249999999999844,-0.6916632151137936,-0.03815498566527546,0.00853247760426609,2.536433299936814,-0.030442624115165927,0.011411267206587793,0.1534977779838441,0.1001770462609981,0.7130973822247666,0.3252595155715457,19.777875,0.07500000000000107,0.4494999999999969,0.02872175482296712,0.02663243719865033,0.375,0.5,19.969999999999086,3.565978833706074,9.3976470588231,1.5999553997343432,2.0748051948050996,1.2651045999550625,1.94829268292674,1.1050341461791597,4.9924999999997715,0.022960536125745626,1.3758341313392406,0.0546875,0.03125,0.6066263587734883,5.030717282965519,0.9570213627498271,0.21012135099236595,0.7443311104431507,19.694021486130428,0.6393442562741006,0.4146995948785836,1.3141728921886013,0.022247559178439177,-0.8809073754060872,0.17951491745201698,6.22370722674413,-0.8064353736687383,0.8127888722012974,0.3955000000000002,0.47040429818744817,0.2,0.0,0.32595415191600124,1.450782575322157,0.7910000000000004,0.7910000000000004,0.4444999999999979,1.485332514940751,-0.019037718801497006,0.011892309592206555,3.67699429542438,-0.03359641906988466,0.018816005944489133,0.2762568499519156,0.2079646017699118,0.707964601769914,0.10861670518314759,19.714000000000002,0.021000000000000796,0.7699999999999996,0.04055578342904021,0.04055578342904021,0.6,0.6,5.635119047619377,1.7927376152172436,26.29722222222376,1.1870564800098486,7.634677419355285,0.7201431883531968,47.33500000000277,0.709264067919358,3.944583333333564,0.4012278830336459,0.7641294359525829,0.015625,0.0,0.3440276054465037,3.3984201797839715,1.4784487935621973,0.3436066064556969,0.7246697787745822,19.538554315810725,0.438835000355849,0.3117555161478783,1.8811699540928046,0.05238026370558687,0.21330938384793718,0.27219642901765967,5.8969020266635575,-1.235357066882828,0.794274894448715,0.3861109912395477,0.0256137996912002,0.3866339921951294,2.517040014266968,1.2335100173950195,3.835450115730055e-05,9.758320084074512e-05,0.0001438390027033,6.292610168457031,21.792299270629883,0.2453760057687759,0.0127649996429681,0.2356320023536682,2.3947501182556152,1.0984899997711182,6.191650027176365e-05,0.0001419540058122,0.000244628987275,5.986879825592041,34.29209899902344,0.2789900004863739,0.0143526000902056,0.2721520066261291,2.654949903488159,1.1286699771881104,8.953070209827274e-05,0.000219174005906,0.0003500079910736,6.637380123138428,28.306299209594727,0.2084520012140274,0.0096378903836011,0.2014809995889663,2.2323899269104004,1.0446200370788574,0.0001039700000546,0.0002180570008931,0.0003922269970644,5.58096981048584,43.679298400878906,0.2652620077133178,0.0212152991443872,0.2587040066719055,1.8915799856185915,1.0687999725341797,0.0001363869960187,0.0003106929943896,0.0004183879937045,4.728960037231445,25.83830070495605,-0.0055999755859375,0.42129898071289773,0.5909004211425781,0.5081996917724609,0.6373996734619141,0.3231010437011719,108.74275119830378,0.08482462039547868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
