ztf_object_id,obs_num,mjd_cutoff,feature_amplitude_magn_r,feature_anderson_darling_normal_magn_r,feature_beyond_1_std_magn_r,feature_beyond_2_std_magn_r,feature_cusum_magn_r,feature_eta_e_magn_r,feature_inter_percentile_range_2_magn_r,feature_inter_percentile_range_10_magn_r,feature_inter_percentile_range_25_magn_r,feature_kurtosis_magn_r,feature_linear_fit_slope_magn_r,feature_linear_fit_slope_sigma_magn_r,feature_linear_fit_reduced_chi2_magn_r,feature_linear_trend_magn_r,feature_linear_trend_sigma_magn_r,feature_linear_trend_noise_magn_r,feature_magnitude_percentage_ratio_40_5_magn_r,feature_magnitude_percentage_ratio_20_5_magn_r,feature_maximum_slope_magn_r,feature_mean_magn_r,feature_median_absolute_deviation_magn_r,feature_percent_amplitude_magn_r,feature_percent_difference_magnitude_percentile_5_magn_r,feature_percent_difference_magnitude_percentile_10_magn_r,feature_median_buffer_range_percentage_10_magn_r,feature_median_buffer_range_percentage_20_magn_r,feature_period_0_magn_r,feature_period_s_to_n_0_magn_r,feature_period_1_magn_r,feature_period_s_to_n_1_magn_r,feature_period_2_magn_r,feature_period_s_to_n_2_magn_r,feature_period_3_magn_r,feature_period_s_to_n_3_magn_r,feature_period_4_magn_r,feature_period_s_to_n_4_magn_r,feature_periodogram_amplitude_magn_r,feature_periodogram_beyond_2_std_magn_r,feature_periodogram_beyond_3_std_magn_r,feature_periodogram_standard_deviation_magn_r,feature_chi2_magn_r,feature_skew_magn_r,feature_standard_deviation_magn_r,feature_stetson_k_magn_r,feature_weighted_mean_magn_r,feature_anderson_darling_normal_flux_r,feature_cusum_flux_r,feature_eta_e_flux_r,feature_excess_variance_flux_r,feature_kurtosis_flux_r,feature_mean_variance_flux_r,feature_chi2_flux_r,feature_skew_flux_r,feature_stetson_k_flux_r,feature_amplitude_magn_g,feature_anderson_darling_normal_magn_g,feature_beyond_1_std_magn_g,feature_beyond_2_std_magn_g,feature_cusum_magn_g,feature_eta_e_magn_g,feature_inter_percentile_range_2_magn_g,feature_inter_percentile_range_10_magn_g,feature_inter_percentile_range_25_magn_g,feature_kurtosis_magn_g,feature_linear_fit_slope_magn_g,feature_linear_fit_slope_sigma_magn_g,feature_linear_fit_reduced_chi2_magn_g,feature_linear_trend_magn_g,feature_linear_trend_sigma_magn_g,feature_linear_trend_noise_magn_g,feature_magnitude_percentage_ratio_40_5_magn_g,feature_magnitude_percentage_ratio_20_5_magn_g,feature_maximum_slope_magn_g,feature_mean_magn_g,feature_median_absolute_deviation_magn_g,feature_percent_amplitude_magn_g,feature_percent_difference_magnitude_percentile_5_magn_g,feature_percent_difference_magnitude_percentile_10_magn_g,feature_median_buffer_range_percentage_10_magn_g,feature_median_buffer_range_percentage_20_magn_g,feature_period_0_magn_g,feature_period_s_to_n_0_magn_g,feature_period_1_magn_g,feature_period_s_to_n_1_magn_g,feature_period_2_magn_g,feature_period_s_to_n_2_magn_g,feature_period_3_magn_g,feature_period_s_to_n_3_magn_g,feature_period_4_magn_g,feature_period_s_to_n_4_magn_g,feature_periodogram_amplitude_magn_g,feature_periodogram_beyond_2_std_magn_g,feature_periodogram_beyond_3_std_magn_g,feature_periodogram_standard_deviation_magn_g,feature_chi2_magn_g,feature_skew_magn_g,feature_standard_deviation_magn_g,feature_stetson_k_magn_g,feature_weighted_mean_magn_g,feature_anderson_darling_normal_flux_g,feature_cusum_flux_g,feature_eta_e_flux_g,feature_excess_variance_flux_g,feature_kurtosis_flux_g,feature_mean_variance_flux_g,feature_chi2_flux_g,feature_skew_flux_g,feature_stetson_k_flux_g,gmomentXX,gmomentXY,gmomentYY,gmomentR1,gmomentRH,gPSFFlux,gApFlux,gKronFlux,gKronRad,gExtNSigma,rmomentXX,rmomentXY,rmomentYY,rmomentR1,rmomentRH,rPSFFlux,rApFlux,rKronFlux,rKronRad,rExtNSigma,imomentXX,imomentXY,imomentYY,imomentR1,imomentRH,iPSFFlux,iApFlux,iKronFlux,iKronRad,iExtNSigma,zmomentXX,zmomentXY,zmomentYY,zmomentR1,zmomentRH,zPSFFlux,zApFlux,zKronFlux,zKronRad,zExtNSigma,ymomentXX,ymomentXY,ymomentYY,ymomentR1,ymomentRH,yPSFFlux,yApFlux,yKronFlux,yKronRad,yExtNSigma,i-z,gApMag_gKronMag,rApMag_rKronMag,iApMag_iKronMag,zApMag_zKronMag,yApMag_yKronMag,7DCD,dist/DLR,ILRT,SLSN-I,SLSN-II,SN,SNII,SNII-pec,SNIIP,SNIIb,SNIIn,SNIa-norm,SN Ia-91T-like,SNIa-91bg-like,SNIa-CSM,SNIa-Ca-rich,SNIa-pec,SN Iax[02cx-like],SNIb,SNIb-Ca-rich,SNIb/c,SNIbc,SNIbn,SNIc,SNIc-BL,SNIcn,TDE,NA,PHOT
2021btn,3,59256.456,0.21249999999999858,0.08929956507589612,0.5,0.0,0.35431575495056955,0.6136519313287176,0.42499999999999716,0.42499999999999716,0.2539999999999978,0.8833779645158231,-0.06274226054645628,0.008323739867391603,0.4712775015884623,-0.05998815210693636,0.004843185147002288,0.02489986134145667,0.156235308086178,0.7585882425308208,0.07525423728820907,18.736,0.10150000000000148,0.26349999999999696,0.02265277296591409,0.02265277296591409,0.0,0.5,18.538666666659992,2.2783186643126876,4.413968253966664,1.1496851495280813,2.9901075268806436,0.6193460014323111,2.0598518518511097,0.05036269447180754,1.5981609195396544,-0.49126105585929286,0.7136424531664783,0.078125,0.0,0.40302874371499436,19.253404216176154,-0.7696268579067264,0.17921867462218605,0.931280407358076,18.65495451436407,0.10475902436890033,0.34796133557989234,0.6027266688158996,0.02709292495942849,1.307258507656961,0.1697013098583029,19.672726458753488,1.0165261179594085,0.8704352029329863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36796900629997253,0.00894657988101244,0.33157700300216675,3.273829936981201,1.212730050086975,5.2596798923332244e-05,0.00016265400336124003,0.0003675119951367378,8.1845703125,31.658700942993164,0.3079870045185089,0.004783929791301489,0.27748000621795654,3.330579996109009,1.1576800346374512,9.211189899360761e-05,0.0002681849873624742,0.0006459049764089286,8.32643985748291,46.257598876953125,0.29846298694610596,0.007783439941704273,0.2692059874534607,3.226710081100464,1.1503000259399414,0.00014207199274096638,0.0003782399871852249,0.0008844619733281434,8.06676959991455,36.30590057373047,0.319582998752594,0.009903090074658394,0.2791700065135956,3.2034199237823486,1.159850001335144,0.00018104900664184242,0.0005164499743841588,0.001041069976054132,8.008540153503418,25.10219955444336,0.22540999948978424,0.0060380301438272,0.2048330008983612,2.9391000270843506,1.0716700553894043,0.00018230000569019467,0.00047980499221011996,0.0011525599984452128,7.347740173339844,28.62980079650879,0.33820152282714844,0.8850002288818359,0.9542999267578125,0.9223003387451172,0.7610988616943359,0.9514999389648438,59.593616426756554,1.026733787884737,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021btn,4,59263.476,0.2519999999999989,0.18004018948183786,0.4,0.0,0.4074064739144768,0.7688454114551138,0.5039999999999978,0.5039999999999978,0.3547499999999957,-2.051909044959263,-0.03649699239228159,0.004562139323649379,5.051083124176295,-0.036309397543212045,0.00755279349194787,0.08227448061540456,0.30257936507935906,0.8025793650793661,0.07525423728820907,18.6726,0.2029999999999994,0.3009999999999984,0.026923076923076807,0.026923076923076807,0.2,0.2,29.10833333333661,2.3703514181433283,9.192105263158929,1.4378902053292135,5.457812500000614,0.09288500115825797,3.8811111111115477,-0.03801265617632703,3.0640350877196427,-0.1884697746951182,0.9528742813951262,0.0625,0.0,0.5172442325580149,19.788205216186043,-0.1618718284627349,0.21020775437647313,0.9790033786566338,18.61927703931405,0.197646864158917,0.4128595248638175,0.7036069502228882,0.035961777701266,-2.119784067187081,0.19426347066867197,20.52215023385603,0.33640344798675725,0.9473409766737114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36796900629997253,0.00894657988101244,0.33157700300216675,3.273829936981201,1.212730050086975,5.2596798923332244e-05,0.00016265400336124003,0.0003675119951367378,8.1845703125,31.658700942993164,0.3079870045185089,0.004783929791301489,0.27748000621795654,3.330579996109009,1.1576800346374512,9.211189899360761e-05,0.0002681849873624742,0.0006459049764089286,8.32643985748291,46.257598876953125,0.29846298694610596,0.007783439941704273,0.2692059874534607,3.226710081100464,1.1503000259399414,0.00014207199274096638,0.0003782399871852249,0.0008844619733281434,8.06676959991455,36.30590057373047,0.319582998752594,0.009903090074658394,0.2791700065135956,3.2034199237823486,1.159850001335144,0.00018104900664184242,0.0005164499743841588,0.001041069976054132,8.008540153503418,25.10219955444336,0.22540999948978424,0.0060380301438272,0.2048330008983612,2.9391000270843506,1.0716700553894043,0.00018230000569019467,0.00047980499221011996,0.0011525599984452128,7.347740173339844,28.62980079650879,0.33820152282714844,0.8850002288818359,0.9542999267578125,0.9223003387451172,0.7610988616943359,0.9514999389648438,59.593616426756554,1.026733787884737,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021btn,5,59267.415,0.2519999999999989,0.3428223039681412,0.16666666666666666,0.0,0.4309780025987179,0.6239201948746601,0.5039999999999978,0.49169995415210366,0.3810000000000002,-2.0965707734855545,-0.025655047630799354,0.003076835205934046,6.378337263933961,-0.027758673725221266,0.0060771480005742656,0.09598661587522689,0.4720238187010345,0.829166711795896,0.07525423728820907,18.63083333333333,0.18850000000000122,0.3139999999999965,0.027083669192326174,0.026422696230431704,0.0,0.0,35.822000000000116,2.470698133805706,10.746600000000035,0.9383067478608336,5.242243902439042,0.1313016241809755,3.9802222222222348,-0.2852571838622404,7.411448275862092,-0.4088511439119381,1.159955422565951,0.078125,0.0,0.6634301047106309,19.00754753153999,0.2996330907930447,0.214048047565649,0.9801944470218868,18.592382138999895,0.3524095717144966,0.4352978363126492,0.5601887948383966,0.035063844723326576,-2.3531405587008796,0.19199468417700238,20.179189062031572,-0.1691322659050314,0.9732605721195113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36796900629997253,0.00894657988101244,0.33157700300216675,3.273829936981201,1.212730050086975,5.2596798923332244e-05,0.00016265400336124003,0.0003675119951367378,8.1845703125,31.658700942993164,0.3079870045185089,0.004783929791301489,0.27748000621795654,3.330579996109009,1.1576800346374512,9.211189899360761e-05,0.0002681849873624742,0.0006459049764089286,8.32643985748291,46.257598876953125,0.29846298694610596,0.007783439941704273,0.2692059874534607,3.226710081100464,1.1503000259399414,0.00014207199274096638,0.0003782399871852249,0.0008844619733281434,8.06676959991455,36.30590057373047,0.319582998752594,0.009903090074658394,0.2791700065135956,3.2034199237823486,1.159850001335144,0.00018104900664184242,0.0005164499743841588,0.001041069976054132,8.008540153503418,25.10219955444336,0.22540999948978424,0.0060380301438272,0.2048330008983612,2.9391000270843506,1.0716700553894043,0.00018230000569019467,0.00047980499221011996,0.0011525599984452128,7.347740173339844,28.62980079650879,0.33820152282714844,0.8850002288818359,0.9542999267578125,0.9223003387451172,0.7610988616943359,0.9514999389648438,59.593616426756554,1.026733787884737,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021btn,6,59270.496,0.2864999999999984,0.41341383091709516,0.2857142857142857,0.0,0.4329111551968634,0.4820827362708677,0.5729999999999968,0.5351999664902678,0.3625000000000007,-1.656704582280196,-0.022281087098154986,0.00228023345372468,5.636178531585443,-0.025061959353022717,0.004523432377199061,0.0911657451909342,0.36404898279000564,0.7031413441553205,0.07525423728820907,18.590714285714284,0.1479999999999997,0.42499999999999716,0.03097632176451491,0.02893285579469498,0.14285714285714285,0.14285714285714285,40.81777777777461,3.3157847914336025,2.206366366366195,1.0033275685878105,12.245333333332383,0.7949891267879737,1.9911111111109565,0.7175653506867639,2.4738047138045216,0.48196640685059006,1.3254367465252732,0.0703125,0.0390625,0.5953053527015734,20.610211671103098,0.5051920944073144,0.22236734943610248,0.9487099266397307,18.558315312782987,0.3906200443357074,0.43428725144224184,0.42992389086014693,0.0366262198799999,-1.884126567229274,0.19591092100784804,21.99411471809469,-0.3605602437230335,0.9707906105276306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36796900629997253,0.00894657988101244,0.33157700300216675,3.273829936981201,1.212730050086975,5.2596798923332244e-05,0.00016265400336124003,0.0003675119951367378,8.1845703125,31.658700942993164,0.3079870045185089,0.004783929791301489,0.27748000621795654,3.330579996109009,1.1576800346374512,9.211189899360761e-05,0.0002681849873624742,0.0006459049764089286,8.32643985748291,46.257598876953125,0.29846298694610596,0.007783439941704273,0.2692059874534607,3.226710081100464,1.1503000259399414,0.00014207199274096638,0.0003782399871852249,0.0008844619733281434,8.06676959991455,36.30590057373047,0.319582998752594,0.009903090074658394,0.2791700065135956,3.2034199237823486,1.159850001335144,0.00018104900664184242,0.0005164499743841588,0.001041069976054132,8.008540153503418,25.10219955444336,0.22540999948978424,0.0060380301438272,0.2048330008983612,2.9391000270843506,1.0716700553894043,0.00018230000569019467,0.00047980499221011996,0.0011525599984452128,7.347740173339844,28.62980079650879,0.33820152282714844,0.8850002288818359,0.9542999267578125,0.9223003387451172,0.7610988616943359,0.9514999389648438,59.593616426756554,1.026733787884737,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021btn,7,59273.465,0.2864999999999984,0.624650199951547,0.375,0.0,0.43009307169479566,0.4285579066802453,0.5729999999999968,0.5213999764919279,0.3509999999999991,-1.212003943651586,-0.0201981899163949,0.0020624530873191533,5.461367756846837,-0.02126895141026845,0.004117944024748842,0.10016487205570643,0.25043637382214495,0.6823734860561752,0.07525423728820907,18.567125,0.08399999999999963,0.4629999999999974,0.031040086673889317,0.028244852464351457,0.0,0.375,39.11999999999296,3.3582048988075845,13.691999999997538,0.9073616035316969,2.4894545454540977,0.7804598421837001,2.226341463414234,0.6010099857921903,8.833548387095185,0.2278706240285669,1.5315760513292633,0.078125,0.0390625,0.7101139037594685,18.38237549985201,0.7590591220561417,0.21641391393082093,0.9287652800200769,18.55036049753054,0.5793577254789294,0.4313240756872548,0.3883748847573851,0.032852374539690386,-1.5028046258123746,0.18699927718598872,19.85304306011222,-0.6303782951078523,0.9603905773402033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36796900629997253,0.00894657988101244,0.33157700300216675,3.273829936981201,1.212730050086975,5.2596798923332244e-05,0.00016265400336124003,0.0003675119951367378,8.1845703125,31.658700942993164,0.3079870045185089,0.004783929791301489,0.27748000621795654,3.330579996109009,1.1576800346374512,9.211189899360761e-05,0.0002681849873624742,0.0006459049764089286,8.32643985748291,46.257598876953125,0.29846298694610596,0.007783439941704273,0.2692059874534607,3.226710081100464,1.1503000259399414,0.00014207199274096638,0.0003782399871852249,0.0008844619733281434,8.06676959991455,36.30590057373047,0.319582998752594,0.009903090074658394,0.2791700065135956,3.2034199237823486,1.159850001335144,0.00018104900664184242,0.0005164499743841588,0.001041069976054132,8.008540153503418,25.10219955444336,0.22540999948978424,0.0060380301438272,0.2048330008983612,2.9391000270843506,1.0716700553894043,0.00018230000569019467,0.00047980499221011996,0.0011525599984452128,7.347740173339844,28.62980079650879,0.33820152282714844,0.8850002288818359,0.9542999267578125,0.9223003387451172,0.7610988616943359,0.9514999389648438,59.593616426756554,1.026733787884737,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021btn,8,59278.475,0.3304999999999989,0.5638819838031367,0.3333333333333333,0.0,0.4150817461449991,0.40793332904513085,0.6609999999999978,0.5777999281883233,0.35174999999999557,-0.8340998484574857,-0.01754477625782431,0.0013766217324971378,5.107607440194708,-0.01995890969583117,0.003222365120705026,0.09513810997788905,0.10756430683626483,0.6240544932332245,0.07525423728820907,18.53322222222222,0.07600000000000051,0.5009999999999977,0.03588101183367701,0.03136466877582908,0.3333333333333333,0.3333333333333333,65.18474999999489,3.6861267301568557,17.153881578946024,0.8608300395777633,3.834397058823229,0.5934683444171632,11.23874999999912,0.38880981847092283,8.148093749999362,0.32848703955087044,1.6678947656921428,0.0703125,0.0390625,0.7257274236631823,24.77291498790512,0.7476982709621078,0.2265506443258198,0.8197719187763916,18.49364036340462,0.46509473475784546,0.4106127812900396,0.366209178415266,0.0362398276258761,-1.0382585649439133,0.19531527991097658,26.599038175549303,-0.5313999704626856,0.8927915185996715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36796900629997253,0.00894657988101244,0.33157700300216675,3.273829936981201,1.212730050086975,5.2596798923332244e-05,0.00016265400336124003,0.0003675119951367378,8.1845703125,31.658700942993164,0.3079870045185089,0.004783929791301489,0.27748000621795654,3.330579996109009,1.1576800346374512,9.211189899360761e-05,0.0002681849873624742,0.0006459049764089286,8.32643985748291,46.257598876953125,0.29846298694610596,0.007783439941704273,0.2692059874534607,3.226710081100464,1.1503000259399414,0.00014207199274096638,0.0003782399871852249,0.0008844619733281434,8.06676959991455,36.30590057373047,0.319582998752594,0.009903090074658394,0.2791700065135956,3.2034199237823486,1.159850001335144,0.00018104900664184242,0.0005164499743841588,0.001041069976054132,8.008540153503418,25.10219955444336,0.22540999948978424,0.0060380301438272,0.2048330008983612,2.9391000270843506,1.0716700553894043,0.00018230000569019467,0.00047980499221011996,0.0011525599984452128,7.347740173339844,28.62980079650879,0.33820152282714844,0.8850002288818359,0.9542999267578125,0.9223003387451172,0.7610988616943359,0.9514999389648438,59.593616426756554,1.026733787884737,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021btn,9,59282.505,0.3304999999999989,0.7264342264816757,0.3,0.0,0.4071152212824814,0.39974943837438776,0.6609999999999978,0.5604999999999976,0.36999999999999744,-0.5026059407753185,-0.013413422223270273,0.0010406718082012767,7.096342990396701,-0.016973661604492516,0.003035870568204993,0.10624551454531905,0.07488653555219674,0.6278366111951597,0.07525423728820907,18.5142,0.07750000000000057,0.5024999999999977,0.03588393366086685,0.030428055698813686,0.3,0.3,61.11296296295661,3.6556942788116285,19.298830409354718,1.0598118601128352,3.819560185184788,0.651444913216898,12.22259259259132,0.6339908492468224,4.417804551539032,0.11222361904906471,1.8502126916140338,0.078125,0.0390625,0.822502783822996,24.76690005829864,0.9224638054545569,0.22190278151578938,0.8157062041306709,18.462622594275302,0.5908637453939403,0.40456724659919463,0.36686461637665874,0.03381437137375801,-0.8002601764497603,0.1885688573534455,28.163110743618574,-0.7216818810864969,0.8594443352848297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36796900629997253,0.00894657988101244,0.33157700300216675,3.273829936981201,1.212730050086975,5.2596798923332244e-05,0.00016265400336124003,0.0003675119951367378,8.1845703125,31.658700942993164,0.3079870045185089,0.004783929791301489,0.27748000621795654,3.330579996109009,1.1576800346374512,9.211189899360761e-05,0.0002681849873624742,0.0006459049764089286,8.32643985748291,46.257598876953125,0.29846298694610596,0.007783439941704273,0.2692059874534607,3.226710081100464,1.1503000259399414,0.00014207199274096638,0.0003782399871852249,0.0008844619733281434,8.06676959991455,36.30590057373047,0.319582998752594,0.009903090074658394,0.2791700065135956,3.2034199237823486,1.159850001335144,0.00018104900664184242,0.0005164499743841588,0.001041069976054132,8.008540153503418,25.10219955444336,0.22540999948978424,0.0060380301438272,0.2048330008983612,2.9391000270843506,1.0716700553894043,0.00018230000569019467,0.00047980499221011996,0.0011525599984452128,7.347740173339844,28.62980079650879,0.33820152282714844,0.8850002288818359,0.9542999267578125,0.9223003387451172,0.7610988616943359,0.9514999389648438,59.593616426756554,1.026733787884737,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021btn,10,59291.46,0.3304999999999989,0.8423166137895344,0.36363636363636365,0.0,0.39620819646574645,0.5238721007029205,0.6609999999999978,0.5403999522924394,0.30150000000000077,-0.08770061225072023,-0.008092021060235464,0.0007946825808438552,13.276908630213207,-0.011948461841356848,0.003258329283766938,0.14115769294218888,0.05346035656953972,0.6098779169599815,0.07525423728820907,18.50809090909091,0.07600000000000051,0.5009999999999977,0.03533546716676901,0.029334488779309487,0.36363636363636365,0.36363636363636365,65.93085714285449,3.696135713812825,18.46063999999926,0.8378131222624043,12.145157894736354,0.6839419609005063,21.976952380951495,0.49857475046217326,8.54659259259225,-0.02980612713636821,2.0305044638230343,0.0625,0.0390625,0.8915067705498244,22.317972981909957,1.0397218896423135,0.21148827605588605,0.7840131160591994,18.45995506700486,0.6670726657443401,0.39489834364821763,0.4849793151858137,0.030291556943623295,-0.43119194258911975,0.17867663778658094,25.86512043197091,-0.8195012909712263,0.8333252314999967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36796900629997253,0.00894657988101244,0.33157700300216675,3.273829936981201,1.212730050086975,5.2596798923332244e-05,0.00016265400336124003,0.0003675119951367378,8.1845703125,31.658700942993164,0.3079870045185089,0.004783929791301489,0.27748000621795654,3.330579996109009,1.1576800346374512,9.211189899360761e-05,0.0002681849873624742,0.0006459049764089286,8.32643985748291,46.257598876953125,0.29846298694610596,0.007783439941704273,0.2692059874534607,3.226710081100464,1.1503000259399414,0.00014207199274096638,0.0003782399871852249,0.0008844619733281434,8.06676959991455,36.30590057373047,0.319582998752594,0.009903090074658394,0.2791700065135956,3.2034199237823486,1.159850001335144,0.00018104900664184242,0.0005164499743841588,0.001041069976054132,8.008540153503418,25.10219955444336,0.22540999948978424,0.0060380301438272,0.2048330008983612,2.9391000270843506,1.0716700553894043,0.00018230000569019467,0.00047980499221011996,0.0011525599984452128,7.347740173339844,28.62980079650879,0.33820152282714844,0.8850002288818359,0.9542999267578125,0.9223003387451172,0.7610988616943359,0.9514999389648438,59.593616426756554,1.026733787884737,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021btn,11,59295.481,0.3304999999999989,0.6309927919290592,0.25,0.0,0.4050883658236652,0.5730054863525711,0.6609999999999978,0.5202999045848848,0.2899999999999956,-0.20128552585304904,-0.005029185904747021,0.000705306891940825,18.94666501845379,-0.007543759970794586,0.0034344342483487457,0.17560902760877206,0.09798723466023239,0.5913559981378802,0.07525423728820907,18.51675,0.08799999999999919,0.4884999999999984,0.03476633227331578,0.02822424826194824,0.3333333333333333,0.4166666666666667,62.69590909090767,3.9913827834456685,11.942077922077651,0.6739697569480404,22.798512396693695,0.6094437742246505,20.062690909090456,0.606225273281602,8.647711598745886,0.0756658771218663,2.269762245801557,0.0625,0.03125,0.9411277204408297,21.84641650950145,0.8975000420090122,0.20386498428661445,0.8207170392895601,18.473979659408933,0.4773323767954373,0.4041427943033186,0.5369232673679005,0.028894412703207212,-0.5814489687599838,0.17461283936180566,24.337604695709707,-0.6462347725000609,0.8578336317412882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36796900629997253,0.00894657988101244,0.33157700300216675,3.273829936981201,1.212730050086975,5.2596798923332244e-05,0.00016265400336124003,0.0003675119951367378,8.1845703125,31.658700942993164,0.3079870045185089,0.004783929791301489,0.27748000621795654,3.330579996109009,1.1576800346374512,9.211189899360761e-05,0.0002681849873624742,0.0006459049764089286,8.32643985748291,46.257598876953125,0.29846298694610596,0.007783439941704273,0.2692059874534607,3.226710081100464,1.1503000259399414,0.00014207199274096638,0.0003782399871852249,0.0008844619733281434,8.06676959991455,36.30590057373047,0.319582998752594,0.009903090074658394,0.2791700065135956,3.2034199237823486,1.159850001335144,0.00018104900664184242,0.0005164499743841588,0.001041069976054132,8.008540153503418,25.10219955444336,0.22540999948978424,0.0060380301438272,0.2048330008983612,2.9391000270843506,1.0716700553894043,0.00018230000569019467,0.00047980499221011996,0.0011525599984452128,7.347740173339844,28.62980079650879,0.33820152282714844,0.8850002288818359,0.9542999267578125,0.9223003387451172,0.7610988616943359,0.9514999389648438,59.593616426756554,1.026733787884737,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021btn,12,59297.42,0.3304999999999989,0.5615076486996979,0.23076923076923078,0.0,0.4227213347431004,0.5853982522282236,0.6609999999999978,0.5001999713182457,0.33149999999999835,-0.7339886503875106,-0.00342185964105816,0.0006676969025761225,21.772450303321627,-0.00432623490239815,0.003437991002188743,0.19854805074657428,0.17611164855077313,0.5811207660957884,0.07525423728820907,18.53253846153846,0.1039999999999992,0.4759999999999991,0.034197968690771435,0.027115518583956506,0.23076923076923078,0.38461538461538464,57.676666666663586,5.4704092267575986,11.797499999999369,1.5641782904801604,2.1719246861923525,1.3817896215965164,23.594999999998738,1.1245202080820536,2.2867400881056046,0.7075889023556192,2.48795641090339,0.03515625,0.03125,0.7856750187805257,22.146770252200113,0.6422040398917933,0.20331773794753466,0.8460254835424769,18.485574536764688,0.45351689620603075,0.4225448148573646,0.5351832506777907,0.02983818027774547,-1.0028550083078271,0.17736526818053922,23.9931393792678,-0.4083611718304504,0.8830277508317426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36796900629997253,0.00894657988101244,0.33157700300216675,3.273829936981201,1.212730050086975,5.2596798923332244e-05,0.00016265400336124003,0.0003675119951367378,8.1845703125,31.658700942993164,0.3079870045185089,0.004783929791301489,0.27748000621795654,3.330579996109009,1.1576800346374512,9.211189899360761e-05,0.0002681849873624742,0.0006459049764089286,8.32643985748291,46.257598876953125,0.29846298694610596,0.007783439941704273,0.2692059874534607,3.226710081100464,1.1503000259399414,0.00014207199274096638,0.0003782399871852249,0.0008844619733281434,8.06676959991455,36.30590057373047,0.319582998752594,0.009903090074658394,0.2791700065135956,3.2034199237823486,1.159850001335144,0.00018104900664184242,0.0005164499743841588,0.001041069976054132,8.008540153503418,25.10219955444336,0.22540999948978424,0.0060380301438272,0.2048330008983612,2.9391000270843506,1.0716700553894043,0.00018230000569019467,0.00047980499221011996,0.0011525599984452128,7.347740173339844,28.62980079650879,0.33820152282714844,0.8850002288818359,0.9542999267578125,0.9223003387451172,0.7610988616943359,0.9514999389648438,59.593616426756554,1.026733787884737,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
