ztf_object_id,obs_num,mjd_cutoff,feature_amplitude_magn_g,feature_anderson_darling_normal_magn_g,feature_beyond_1_std_magn_g,feature_beyond_2_std_magn_g,feature_cusum_magn_g,feature_eta_e_magn_g,feature_inter_percentile_range_2_magn_g,feature_inter_percentile_range_10_magn_g,feature_inter_percentile_range_25_magn_g,feature_kurtosis_magn_g,feature_linear_fit_slope_magn_g,feature_linear_fit_slope_sigma_magn_g,feature_linear_fit_reduced_chi2_magn_g,feature_linear_trend_magn_g,feature_linear_trend_sigma_magn_g,feature_linear_trend_noise_magn_g,feature_magnitude_percentage_ratio_40_5_magn_g,feature_magnitude_percentage_ratio_20_5_magn_g,feature_maximum_slope_magn_g,feature_mean_magn_g,feature_median_absolute_deviation_magn_g,feature_percent_amplitude_magn_g,feature_percent_difference_magnitude_percentile_5_magn_g,feature_percent_difference_magnitude_percentile_10_magn_g,feature_median_buffer_range_percentage_10_magn_g,feature_median_buffer_range_percentage_20_magn_g,feature_period_0_magn_g,feature_period_s_to_n_0_magn_g,feature_period_1_magn_g,feature_period_s_to_n_1_magn_g,feature_period_2_magn_g,feature_period_s_to_n_2_magn_g,feature_period_3_magn_g,feature_period_s_to_n_3_magn_g,feature_period_4_magn_g,feature_period_s_to_n_4_magn_g,feature_periodogram_amplitude_magn_g,feature_periodogram_beyond_2_std_magn_g,feature_periodogram_beyond_3_std_magn_g,feature_periodogram_standard_deviation_magn_g,feature_chi2_magn_g,feature_skew_magn_g,feature_standard_deviation_magn_g,feature_stetson_k_magn_g,feature_weighted_mean_magn_g,feature_anderson_darling_normal_flux_g,feature_cusum_flux_g,feature_eta_e_flux_g,feature_excess_variance_flux_g,feature_kurtosis_flux_g,feature_mean_variance_flux_g,feature_chi2_flux_g,feature_skew_flux_g,feature_stetson_k_flux_g,gmomentXX,gmomentXY,gmomentYY,gmomentR1,gmomentRH,gPSFFlux,gApFlux,gKronFlux,gKronRad,gExtNSigma,rmomentXX,rmomentXY,rmomentYY,rmomentR1,rmomentRH,rPSFFlux,rApFlux,rKronFlux,rKronRad,rExtNSigma,imomentXX,imomentXY,imomentYY,imomentR1,imomentRH,iPSFFlux,iApFlux,iKronFlux,iKronRad,iExtNSigma,zmomentXX,zmomentXY,zmomentYY,zmomentR1,zmomentRH,zPSFFlux,zApFlux,zKronFlux,zKronRad,zExtNSigma,ymomentXX,ymomentXY,ymomentYY,ymomentR1,ymomentRH,yPSFFlux,yApFlux,yKronFlux,yKronRad,yExtNSigma,i-z,gApMag_gKronMag,rApMag_rKronMag,iApMag_iKronMag,zApMag_zKronMag,yApMag_yKronMag,7DCD,dist/DLR,ILRT,SLSN-I,SLSN-II,SN,SNII,SNII-pec,SNIIP,SNIIb,SNIIn,SNIa-norm,SN Ia-91T-like,SNIa-91bg-like,SNIa-CSM,SNIa-Ca-rich,SNIa-pec,SN Iax[02cx-like],SNIb,SNIb-Ca-rich,SNIb/c,SNIbc,SNIbn,SNIc,SNIc-BL,SNIcn,TDE,NA,PHOT
2021aaqi,5,59497.355,0.26950000000000074,0.08501867868861387,0.5,0.0,0.40375527936494726,2.3767653181068686,0.5390000000000015,0.5390000000000015,0.3890000000000029,-2.5893657649535697,-0.05614815510374758,0.01756397451951925,2.8456838158238913,-0.04125766100520422,0.022307514954427305,0.17918717138599868,0.35473101501783244,0.8330241270321856,0.17464424320804472,20.389,0.1869999999999994,0.2845000000000013,0.026426102517588874,0.026426102517588874,0.0,0.0,16.425000000005337,1.97140992434455,4.238709677420732,1.3702239997463141,3.650000000001186,1.0707277185456219,6.915789473686457,0.2469097484957052,2.265517241380046,-0.204703198688498,0.7230795804725068,0.0,0.0,0.42125304153471266,5.303589105458662,-0.12527024514041282,0.24086372357275676,0.8263509120924591,20.278547317593574,0.08866694806575945,0.40073569785842195,1.847637447294065,0.033627034110266,-2.2722648310389175,0.22191442014072466,5.814719957840823,0.35106494763884916,0.8535210211703161,0.2978920042514801,0.0089015597477555,0.3013339936733246,1.9775999784469604,1.06850004196167,3.051229941775091e-05,5.611790038528852e-05,7.109659782145172e-05,4.943990230560303,18.06909942626953,0.20762899518013,-0.0010857200250029,0.2076880037784576,2.292340040206909,1.0157400369644165,6.250030128285289e-05,0.0001213599971379,0.0001797599979909,5.7308502197265625,15.649299621582031,0.2003979980945587,0.0018780400278046,0.2007859945297241,2.324310064315796,1.0058200359344482,9.011640213429928e-05,0.0001670659985393,0.0002497849927749,5.810770034790039,9.225020408630373,0.1954710036516189,0.001140319975093,0.1941159963607788,2.221260070800781,0.9923200011253356,0.0001007879982353,0.0001974619954125,0.0003140000044368,5.553160190582275,28.563499450683597,0.2687270045280456,0.0011125999735668,0.2494550049304962,1.98239004611969,1.0156500339508057,0.0001553949987282,0.0002720690099522,0.0003798789985012,4.95596981048584,16.439899444580078,0.18149948120117188,0.2568016052246094,0.42650032043456676,0.43670082092285156,0.50360107421875,0.3624000549316406,34.4027054719868,0.014081211621467483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021aaqi,6,59500.45,0.26950000000000074,0.18149034054647634,0.4,0.0,0.4011711474987547,2.4752329197366385,0.5390000000000015,0.5390000000000015,0.31400000000000006,-0.9225854574243071,-0.025057243952252704,0.013799037678908681,4.625912967947047,-0.01576479280528293,0.019874705368938074,0.22348784177705858,0.22170686456400424,0.7217068645640108,0.17464424320804472,20.407999999999998,0.16699999999999804,0.37200000000000344,0.02631322007420433,0.02631322007420433,0.2,0.4,17.986111111107068,2.410876018042861,4.150641025640092,1.2118862627449645,6.744791666665151,-0.03243348026714065,0.0,0.0,0.0,0.0,0.9193988891646256,0.046875,0.0,0.5064037761626269,4.2937797296304465,-0.5241287546287788,0.21287672489025222,0.8401915160857948,20.297682115715382,0.21144289787038364,0.4012171855286664,1.9522636967508844,0.023243373929243832,-0.5604319131974274,0.20143481820516984,4.49861166842796,0.7686025612857565,0.8246486722254311,0.2978920042514801,0.0089015597477555,0.3013339936733246,1.9775999784469604,1.06850004196167,3.051229941775091e-05,5.611790038528852e-05,7.109659782145172e-05,4.943990230560303,18.06909942626953,0.20762899518013,-0.0010857200250029,0.2076880037784576,2.292340040206909,1.0157400369644165,6.250030128285289e-05,0.0001213599971379,0.0001797599979909,5.7308502197265625,15.649299621582031,0.2003979980945587,0.0018780400278046,0.2007859945297241,2.324310064315796,1.0058200359344482,9.011640213429928e-05,0.0001670659985393,0.0002497849927749,5.810770034790039,9.225020408630373,0.1954710036516189,0.001140319975093,0.1941159963607788,2.221260070800781,0.9923200011253356,0.0001007879982353,0.0001974619954125,0.0003140000044368,5.553160190582275,28.563499450683597,0.2687270045280456,0.0011125999735668,0.2494550049304962,1.98239004611969,1.0156500339508057,0.0001553949987282,0.0002720690099522,0.0003798789985012,4.95596981048584,16.439899444580078,0.18149948120117188,0.2568016052246094,0.42650032043456676,0.43670082092285156,0.50360107421875,0.3624000549316406,34.4027054719868,0.014081211621467483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021aaqi,7,59524.38,0.26950000000000074,0.18149034054647634,0.4,0.0,0.4011711474987547,2.4752329197366385,0.5390000000000015,0.5390000000000015,0.31400000000000006,-0.9225854574243071,-0.025057243952252704,0.013799037678908681,4.625912967947047,-0.01576479280528293,0.019874705368938074,0.22348784177705858,0.22170686456400424,0.7217068645640108,0.17464424320804472,20.407999999999998,0.16699999999999804,0.37200000000000344,0.02631322007420433,0.02631322007420433,0.2,0.4,17.986111111107068,2.410876018042861,4.150641025640092,1.2118862627449645,6.744791666665151,-0.03243348026714065,0.0,0.0,0.0,0.0,0.9193988891646256,0.046875,0.0,0.5064037761626269,4.2937797296304465,-0.5241287546287788,0.21287672489025222,0.8401915160857948,20.297682115715382,0.21144289787038364,0.4012171855286664,1.9522636967508844,0.023243373929243832,-0.5604319131974274,0.20143481820516984,4.49861166842796,0.7686025612857565,0.8246486722254311,0.2978920042514801,0.0089015597477555,0.3013339936733246,1.9775999784469604,1.06850004196167,3.051229941775091e-05,5.611790038528852e-05,7.109659782145172e-05,4.943990230560303,18.06909942626953,0.20762899518013,-0.0010857200250029,0.2076880037784576,2.292340040206909,1.0157400369644165,6.250030128285289e-05,0.0001213599971379,0.0001797599979909,5.7308502197265625,15.649299621582031,0.2003979980945587,0.0018780400278046,0.2007859945297241,2.324310064315796,1.0058200359344482,9.011640213429928e-05,0.0001670659985393,0.0002497849927749,5.810770034790039,9.225020408630373,0.1954710036516189,0.001140319975093,0.1941159963607788,2.221260070800781,0.9923200011253356,0.0001007879982353,0.0001974619954125,0.0003140000044368,5.553160190582275,28.563499450683597,0.2687270045280456,0.0011125999735668,0.2494550049304962,1.98239004611969,1.0156500339508057,0.0001553949987282,0.0002720690099522,0.0003798789985012,4.95596981048584,16.439899444580078,0.18149948120117188,0.2568016052246094,0.42650032043456676,0.43670082092285156,0.50360107421875,0.3624000549316406,34.4027054719868,0.014081211621467483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
