# CREATED_DATE: 2023-03-21T23:03:01.407Z
# MODIFIED_DATE: 2023-07-29T15:22:56.381Z
# STATUS: Watch
# OBS_GROUP: Unknown
# NON_DETECT_BAND: ACAM1 - cyan
# BEST_SPEC_CLASS: None
# PHOTO_CLASS: None
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: SDSSJ115126.99+192246.9; (11:51:27.00, +19:22:46.88)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2023dui
# RA: 177.86252757806534
# DEC: 19.380244706641538
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2023-03-21T00:00:00Z
# REDSHIFT: None
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2023-02-23T12:28:06Z
# NON_DETECT_LIMIT: 19.51
# MW_EBV: 0.038
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 13CYSEarv/60024/1115127021192248900_60024.494_125702681_76_target.jpeg
# POSTAGE_STAMP_REF: 13CYSEarv/60024/1115127021192248900_60024.494_125702681_76_ref.jpeg
# POSTAGE_STAMP_DIFF: 13CYSEarv/60024/1115127021192248900_60024.494_125702681_76_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 13CYSEarv/60024/1115127021192248900_60024.494_125702681_76_target.fits
# POSTAGE_STAMP_REF_FITS: 13CYSEarv/60024/1115127021192248900_60024.494_125702681_76_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 13CYSEarv/60024/1115127021192248900_60024.494_125702681_76_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: None
# POINT_SOURCE_PROBABILITY: 0.0
# ALT_STATUS: GOOD
# SLUG: 2023dui
# REAL_BOGUS_SCORE: 0.998977
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [29, 46]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59965.425  r-ZTF  314.982  171.300  21.254  0.591  None  P48  ZTF-Cam  None
OBS:      59968.425  g-ZTF  114.789  140.527  22.350  1.329  None  P48  ZTF-Cam  None
OBS:      59968.465  r-ZTF  337.023  159.729  21.181  0.515  None  P48  ZTF-Cam  None
OBS:      59970.390  g-ZTF  -189.697  181.656  nan  -1.040  None  P48  ZTF-Cam  None
OBS:      59972.443  g-ZTF  171.978  138.625  21.911  0.875  None  P48  ZTF-Cam  None
OBS:      59972.479  r-ZTF  816.169  145.337  20.221  0.193  None  P48  ZTF-Cam  None
OBS:      59979.350  g-ZTF  481.172  406.540  20.794  0.918  None  P48  ZTF-Cam  None
OBS:      59979.432  r-ZTF  783.935  316.323  20.264  0.438  None  P48  ZTF-Cam  None
OBS:      59985.394  r-ZTF  1736.267  284.965  19.401  0.178  None  P48  ZTF-Cam  None
OBS:      59985.436  g-ZTF  814.163  274.616  20.223  0.366  None  P48  ZTF-Cam  None
OBS:      59992.361  r-ZTF  2617.917  1251.953  18.955  0.519  None  P48  ZTF-Cam  None
OBS:      59996.347  g-ZTF  353.288  503.291  21.130  1.547  None  P48  ZTF-Cam  None
OBS:      59996.366  r-ZTF  1755.773  1493.101  19.389  0.924  None  P48  ZTF-Cam  None
OBS:      60016.325  g-ZTF  1657.583  606.331  19.451  0.397  None  P48  ZTF-Cam  None
OBS:      60016.350  r-ZTF  2441.268  1469.251  19.031  0.654  None  P48  ZTF-Cam  None
OBS:      60020.221  g-ZTF  283.624  135.342  21.368  0.518  None  P48  ZTF-Cam  None
OBS:      60020.338  r-ZTF  1066.984  137.929  19.930  0.140  None  P48  ZTF-Cam  None
OBS:      60049.280  r-ZTF  579.802  140.166  20.592  0.262  None  P48  ZTF-Cam  None
OBS:      60055.256  r-ZTF  748.732  143.114  20.314  0.208  None  P48  ZTF-Cam  None
OBS:      60024.494  i  1458.814  161.234  19.590  0.120  None  Pan-STARRS1  GPC1  None
OBS:      60019.509  g  459.824  120.567  20.843  0.262  None  Pan-STARRS1  GPC1  None
