ZTFID,HOST_RA,HOST_DEC
ZTF23abcvqkd,20.16223154,32.2378459
ZTF18abxoqkd,11.91101967,-5.73891134
ZTF21acjtxgr,55.21651305,14.39300896
ZTF21aavaueb,116.78359815,52.81065291
ZTF21accgsbf,340.03131387,-5.00337454
ZTF21aazvrjy,160.88020869,29.51894494
ZTF21acjvgxg,115.59150446,36.7153836
ZTF21abnabtv,203.17907171,32.44286173
ZTF21aayyxum,160.38328097,52.65055326
