ZTFID,ANN_NUM,IAU_NAME,SPEC_CLS,Z
ZTF23abcvqkd,0,2023sfl,SN Ia-91T-like,0.03
ZTF18abxoqkd,1,2021adga,SN Ia,0.052
ZTF21acjtxgr,2,2021adad,SN Ia-91T-like,0.044
ZTF21aavaueb,3,2021jto,---,-99.0
ZTF21aazvrjy,4,2021lsv,SN Ia,0.0559
ZTF21accgsbf,5,2021yyy,SN IIn,0.093
ZTF21acjvgxg,6,2021adgw,SN Ia,0.087
ZTF21abzithf,7,2021yhz,SN Ia,0.096
ZTF21aasgffc,8,2021ikn,SN Ia,0.07
