ZTFID,ANN_NUM,IAU_NAME,SPEC_CLS,Z
ZTF21acmnpqa,0,2021adpx,SN Ia,0.047
ZTF21abkrteb,1,2021tfx,SN Ia,0.07295
ZTF21aazhgbq,2,2021lki,---,-99.0
ZTF20acoqlav,3,2020yvj,SN Ia,0.09
ZTF21abaiicy,4,No TNS,---,-99.0
ZTF20acrheie,5,2020aarw,SN Ia,0.049431
ZTF18acevdkl,6,2018iba,---,-99.0
ZTF20acvjzbc,7,2020abvc,---,-99.0
ZTF18adaysnz,8,2018ldt,---,-99.0
