ZTFID,HOST_RA,HOST_DEC
ZTF21acmnpqa,169.19566816,69.41714352
ZTF21abkrteb,215.58175484,47.93523076
ZTF21aazhgbq,147.9418856,6.00608733
ZTF20acoqlav,1.79504788,39.17394479
ZTF21abaiicy,153.74306789,-3.53848356
ZTF20acrheie,81.31311125,-8.62606402
ZTF18acevdkl,355.9113081,28.90124825
ZTF20acvjzbc,76.15792495,2.23101497
ZTF18adaysnz,134.99523785,51.74571739
