ZTFID,HOST_RA,HOST_DEC
ZTF20aasikkh,177.86250804,19.37966251
ZTF20acyxwop,170.61909365,50.12188406
ZTF21aajvtsq,208.01053734,41.04892663
ZTF21abhtkiy,329.7000256,-17.3187944
ZTF20acyxrez,154.08351313,-1.51545063
ZTF21aaqyqux,162.79088051,48.38142421
ZTF21aagtexi,188.74296208,45.44919184
ZTF18aczeral,219.6631616,43.80439744
ZTF21aapjqdl,206.29357196,-10.60033456
