ZTFID,ANN_NUM,IAU_NAME,SPEC_CLS,Z
ZTF20aasikkh,0,2020dyc,SN Ia,0.07
ZTF20acyxwop,1,2020aesi,---,-99.0
ZTF21aajvtsq,2,2021coj,SN Ia,0.107023
ZTF21abhtkiy,3,2021qxe,SN Ia,0.076
ZTF20acyxrez,4,2020adkc,SN Ia,0.0917
ZTF21aaqyqux,5,2021hqc,---,-99.0
ZTF21aagtexi,6,2021bqo,SN Ia,0.08
ZTF18aczeral,7,2018kmw,---,-99.0
ZTF21aapjqdl,8,2021fwr,SN Ia,0.08
