ZTFID,ANN_NUM,IAU_NAME,SPEC_CLS,Z
ZTF21aapvvtb,0,2021gje,TDE,0.358
ZTF21aagsbcb,1,2021cmq,---,-99.0
ZTF21aazenvp,2,2021ovg,---,-99.0
ZTF21aafktkn,3,No TNS,---,-99.0
ZTF21aaroezv,4,2021hzr,---,-99.0
ZTF18aaqcfax,5,2021Z,---,-99.0
ZTF21aasdcgt,6,No TNS,---,-99.0
ZTF21abownod,7,2021ugf,---,-99.0
ZTF18abmnoau,8,No TNS,---,-99.0
