name ra dec hostra_ghost hostdec_ghost hostra_sherlock hostdec_sherlock transient_sep_ghost sep_L2arcsec_ghost transient_sep_sherlock sep_L2arcsec_sherlock sep_host_ghost_v_sherlock sep_L2arcsec_host_ghost_v_sherlock
2021mga 192.91717403150724 2.339763988565854 192.9172057 2.3399115 192.9172437 2.3398479 0.5431639 True 0.3926424 True 0.2667076 True
2021mgc 331.8740093198884 3.0969368133107804 331.8733307 3.0974900 331.8733564 3.0974976 3.1490771 False 3.0960582 False 0.0963592 True
2021mgd 194.6804013965962 3.6035525091039555 194.6804743 3.6034213 194.6804909 3.6034262 0.5402810 True 0.5569174 True 0.0621693 True
2021mge 170.8839477065842 12.436811773265235 170.8846697 12.4372707 170.8846593 12.4372459 3.0284985 False 2.9495581 False 0.0966748 True
2021mgl 3.775002022100216 20.580975657947867 3.7760195 20.5812391 3.7759958 20.5812471 3.5576573 False 3.4887715 False 0.0849326 True
2021mim 235.08902967441745 7.281499175149837 235.0931541 7.2832209 235.0931250 7.2832286 15.9792395 False 15.8943119 False 0.1076942 True
2021mmd 5.082591666666666 28.263772222222222 5.0825939 28.2637765 -99.0000000 -99.0000000 0.0168910 True -99.0000000 False -99.0000000 False
2021mms 186.09151176916512 5.393417762885805 186.0917838 5.3932414 186.0917799 5.3932690 1.1635391 True 1.1000720 True 0.1003279 True
2021mpm 189.79674597495315 2.841118919490181 189.7971869 2.8407027 189.7957303 2.8413071 2.1813405 False 3.7144031 False 5.6713191 False
2021mqa 189.00826249999997 1.224427777777778 189.0080924 1.2241915 -99.0000000 -99.0000000 1.0479477 True -99.0000000 False -99.0000000 False
2021mqf 160.26088333175608 -3.937255249427933 160.2608683 -3.9373930 160.2608557 -3.9373937 0.4989036 True 0.5081943 True 0.0454036 True
2021mqr 240.30812235633604 35.79227115809588 240.3089118 35.7923941 240.3089406 35.7923604 2.3474723 False 2.4108019 False 0.1477311 True
2021msx 245.35662433406037 12.915305603601823 245.3570030 12.9155290 245.3570087 12.9155246 1.5531083 True 1.5622001 True 0.0256401 True
2021mwb 242.2379773920668 35.42109693726786 242.2380707 35.4210586 242.2380768 35.4210488 0.3064802 True 0.3393767 True 0.0398917 True
2021mwc 185.5928449974383 10.79306707613979 185.5930023 10.7929718 185.5929298 10.7929913 0.6533955 True 0.4054912 True 0.2656286 True
2021mwk 224.03606666666664 38.01071388888889 224.0349480 38.0129578 -99.0000000 -99.0000000 8.6789749 False -99.0000000 False -99.0000000 False
2021mxg 247.2706666666666 36.253369444444445 247.2719363 36.2512848 -99.0000000 -99.0000000 8.3609143 False -99.0000000 False -99.0000000 False
2021mxv 244.182252973994 15.217232113236147 244.1822544 15.2172431 244.1822615 15.2172335 0.0398928 True 0.0301461 True 0.0424549 True
2021mxw 226.32469539604872 9.741178538259256 226.3239563 9.7414647 226.3240281 9.7414641 2.8175146 False 2.5813329 False 0.2547439 True
2021mzk 327.80316793350516 7.41403850983841 327.8031053 7.4140034 327.8031458 7.4139969 0.2567324 True 0.1693725 True 0.1463318 True
2021naw 195.77870473484361 -1.2630084900098608 195.7794502 -1.2621687 195.7794605 -1.2621613 4.0423327 False 4.0867845 False 0.0455426 True
2021naz 211.4123396897508 35.61675096890721 211.4115904 35.6165319 -99.0000000 -99.0000000 2.3303554 False -99.0000000 False -99.0000000 False
2021ndc 204.33897083333332 28.53501388888889 204.3404487 28.5359659 -99.0000000 -99.0000000 5.7958602 False -99.0000000 False -99.0000000 False
2021ndk 229.35131623757945 -2.651554585445544 229.3510895 -2.6515086 -99.0000000 -99.0000000 0.8321159 True -99.0000000 False -99.0000000 False
2021nfl 219.6293829437552 -7.90362869894092 219.6295034 -7.9037109 -99.0000000 -99.0000000 0.5215475 True -99.0000000 False -99.0000000 False
2021nhq 188.42259583333333 23.25510277777778 188.4225527 23.2551208 -99.0000000 -99.0000000 0.1569346 True -99.0000000 False -99.0000000 False
2021nip 244.21006666666665 12.64293611111111 244.2099182 12.6429360 244.2099110 12.6430110 0.5215910 True 0.6095646 True 0.2714472 True
2021nlj 187.86261533683586 4.2265296094592575 187.8626239 4.2264845 187.8626031 4.2265313 0.1651458 True 0.0443239 True 0.1842383 True
2021nma 172.8907508668766 8.92867924651913 172.8915722 8.9270974 172.8909898 8.9287326 6.4001500 False 0.8710606 True 6.2404310 False
2021nmb 190.6613083333333 -0.9870083333333333 190.6617599 -0.9865074 -99.0000000 -99.0000000 2.4278905 False -99.0000000 False -99.0000000 False
2021nmk 191.81432269835662 -0.6282314812733678 191.8145151 -0.6279875 191.8144608 -0.6280352 1.1185626 True 0.8640152 True 0.2601202 True
2021nog 232.9112375 12.562955555555556 232.9112605 12.5631696 -99.0000000 -99.0000000 0.7747719 True -99.0000000 False -99.0000000 False
2021nra 216.61524674158736 33.823909281811886 216.6155324 33.8235236 216.6155140 33.8235189 1.6300676 True 1.6167489 True 0.0574020 True
2021nrn 185.59323333333333 15.663441666666667 185.5930433 15.6634976 -99.0000000 -99.0000000 0.6885855 True -99.0000000 False -99.0000000 False
2021nse 197.8095871016094 -1.0471879594494677 197.8095127 -1.0471774 197.8094336 -1.0472102 0.2704755 True 0.5583381 True 0.3082339 True
2021nsf 223.72334547078654 42.98848027356571 223.7218713 42.9885406 223.7198330 42.9907570 3.8880927 False 12.3584111 False 9.6165131 False
2021nsg 321.97084992810306 13.88283035410961 321.9705131 13.8824820 321.9705327 13.8824822 1.7197786 True 1.6735485 True 0.0681648 True
2021nsh 333.8641533820654 5.544724531577244 333.8651268 5.5451173 333.8651120 5.5451210 3.7636750 False 3.7196131 False 0.0546952 True
2021nsi 315.94484850744726 -0.9600980827451224 315.9447533 -0.9599695 315.9523300 -0.9763400 0.5758254 True 64.3742639 False 64.9380308 False
2021nsk 244.2890928721746 21.013722013581766 244.2895526 21.0141960 244.2895221 21.0141755 2.3020142 False 2.1785330 False 0.1264912 True
2021nsl 330.81484725189915 6.1760316382385705 330.8143623 6.1761662 330.8143671 6.1761394 1.8020897 True 1.7615916 True 0.0982952 True
2021nsm 248.49647203283664 33.094830542762296 248.4962289 33.0946238 248.4986128 33.0964894 1.0446307 True 8.7946519 False 9.8382781 False
2021nue 324.0417480011864 10.63278421024104 324.0438383 10.6322683 324.0437620 10.6322760 7.6255056 False 7.3570305 False 0.2713595 True
2021nug 192.7873742005129 3.479709866531139 -99.0000000 -99.0000000 192.7874167 3.4797200 -99.0000000 False 0.1568963 True -99.0000000 False
2021nuh 194.22177072789745 5.569799938670943 194.2218447 5.5692839 194.2218267 5.5692795 1.8766525 True 1.8842876 True 0.0663660 True
