ZTFID,ANN_NUM,IAU_NAME,SPEC_CLS,Z
ZTF18aaiwewk,0,2022cox,SN Ia,0.087
ZTF21aalxurs,1,2021die,SN Ia,0.079359
ZTF21aamjsrb,2,2021crj,---,-99.0
ZTF21aaqwoim,3,2021hbj,---,-99.0
ZTF21aaizvrv,4,2021ckh,---,-99.0
ZTF21aallfyn,5,2021ccy,SN Ia,0.07
ZTF21abtephz,6,2021wun,SN II,0.0228049997
ZTF21abukrln,7,2021wue,SN Ia,0.08
ZTF21aaymysx,8,2021ler,---,-99.0
