ZTFID,HOST_RA,HOST_DEC
ZTF18aaiwewk,196.64349293,54.96276033
ZTF21aalxurs,200.50756207,54.6901877
ZTF21aamjsrb,161.46646941,18.0941558
ZTF21aaqwoim,199.99080055,60.8764943
ZTF21aaizvrv,123.78701516,64.54769052
ZTF21aallfyn,67.43963542,-5.99678523
ZTF21abtephz,236.6331318,25.42933077
ZTF21abukrln,18.95002673,1.50538558
ZTF21aaymysx,133.51819729,63.35649228
