ztf_object_id,has_tns,tns_cls,spec_z,report_group
ZTF18abftjfd,No_TNS,None,-99.0,None
ZTF20abxyauq,Yes_TNS,None,-99.0,ATLAS
ZTF19aadgdxs,No_TNS,None,-99.0,None
ZTF18aaotqte,No_TNS,None,-99.0,None
ZTF20acuuctu,No_TNS,None,-99.0,None
ZTF18abbasxr,No_TNS,None,-99.0,None
ZTF18aboryas,No_TNS,None,-99.0,None
ZTF21aaoaycl,Yes_TNS,None,-99.0,ALeRCE
ZTF18adbdnot,No_TNS,None,-99.0,None
ZTF18abfacdu,No_TNS,None,-99.0,None
ZTF18aamwhcr,No_TNS,None,-99.0,None
ZTF18abomqgm,No_TNS,None,-99.0,None
ZTF20abmklml,No_TNS,None,-99.0,None
ZTF20abmmhti,No_TNS,None,-99.0,None
ZTF20abiviss,No_TNS,None,-99.0,None
ZTF20acfxpec,Yes_TNS,None,-99.0,ALeRCE
ZTF19aaoepyr,No_TNS,None,-99.0,None
ZTF19abifiwn,No_TNS,None,-99.0,None
ZTF18abtdyuj,No_TNS,None,-99.0,None
ZTF20aabqqtf,No_TNS,None,-99.0,None
ZTF18acajwri,Yes_TNS,None,-99.0,ATLAS
ZTF19aaesfep,No_TNS,None,-99.0,None
ZTF21aaljjvt,Yes_TNS,SN Ia,0.08,SGLF
ZTF19abkvdnc,No_TNS,None,-99.0,None
ZTF18aboaqfu,No_TNS,None,-99.0,None
ZTF21aaanpyy,Yes_TNS,None,-99.0,ALeRCE
ZTF18aaotdme,No_TNS,None,-99.0,None
ZTF19acmorqb,No_TNS,None,-99.0,None
ZTF19aalcbgz,No_TNS,None,-99.0,None
ZTF18aauqynp,No_TNS,None,-99.0,None
ZTF19abeplgt,No_TNS,None,-99.0,None
ZTF18abkrwin,No_TNS,None,-99.0,None
ZTF18abkygep,No_TNS,None,-99.0,None
ZTF18abspnfw,Yes_TNS,None,-99.0,GaiaAlerts
ZTF17aabayoe,No_TNS,None,-99.0,None
ZTF18acafbxi,No_TNS,None,-99.0,None
ZTF18abcvjwg,No_TNS,None,-99.0,None
ZTF18aceahwc,No_TNS,None,-99.0,None
ZTF18accgnsk,No_TNS,None,-99.0,None
ZTF18acgnnvy,No_TNS,None,-99.0,None
ZTF19aamhbtf,No_TNS,None,-99.0,None
ZTF18abxqfxt,No_TNS,None,-99.0,None
ZTF18aakjskg,No_TNS,None,-99.0,None
