ztf_object_id,ann=0_tns_cls,ann=1_tns_cls,ann=2_tns_cls,ann=3_tns_cls,ann=4_tns_cls,ann=5_tns_cls,ann=6_tns_cls,ann=7_tns_cls,ann=8_tns_cls,ann=9_tns_cls
ZTF18aajzqbq,None,None,None,None,None,None,None,None,None,None
ZTF18aakbuks,None,Nova,None,None,SN II,SN Ia,SN Ia,None,None,SN Ib
ZTF18aakpbhx,None,None,None,None,None,None,None,None,None,None
ZTF18aakxlbf,None,None,SN II,None,None,None,SN Ic,None,None,None
ZTF18aalnqqj,None,None,None,None,None,None,None,SN Ia,SN Ia-pec,None
ZTF18aalpkwb,None,SN Ia,None,None,None,None,None,SN Ia,None,None
ZTF18aamhavw,None,None,None,SN II,None,None,None,None,None,None
ZTF18aamjezd,None,None,None,None,None,None,SN Ia,None,SN Ia,None
ZTF18aamnepi,None,None,SN Ia,SN II,SN Ia,None,SN Ia,None,None,None
ZTF18aampiwv,None,None,None,None,None,None,None,None,None,None
ZTF18aamxjoa,None,None,SN Ia,None,None,None,None,None,None,None
ZTF18aamzgzi,SN Ia,None,None,SN Ia,None,None,SN Ia,None,SN Ia,None
ZTF18aanbmyj,None,None,None,None,SN II,None,None,None,None,None
ZTF18aannfoc,None,None,None,AGN,None,SN Ia,None,None,None,None
ZTF18aansqom,SN Ia,None,SN Ia,SN II,None,SN IIb,None,None,None,SN Ia
ZTF18aansqov,SN Ia,None,None,None,None,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia
ZTF18aanxnrz,None,None,None,None,None,None,None,None,None,None
ZTF18aaobdmp,None,None,None,None,None,None,None,SN Ia,None,None
ZTF18aaouezy,None,None,None,None,None,None,None,None,None,SN Ic
ZTF18aaoxrup,SN Ia,None,None,SN Ia,SN Ia,SN Ia,SN Ia,None,SN Ia,SN Ia
ZTF18aaqctvg,None,None,None,None,None,SN Ia,SN Ia,None,None,None
ZTF18aaqcuba,None,SN II,None,None,None,SN II,None,SN II,None,None
ZTF18aaqdemd,None,None,None,None,None,None,None,None,None,None
ZTF18aaqdozs,None,None,None,SN Ia,None,None,None,None,SN IIn,SN Ia
ZTF18aaqeygf,None,None,None,None,None,None,None,SN II,SN Ia,None
ZTF18aaqfwpl,None,None,SN Ia,None,None,None,None,None,SN Ia,None
ZTF18aaqgnlu,None,SN Ia,SN Ic,None,AGN,SN II,SN Ia,None,None,None
ZTF18aaqkyak,None,SN II,None,SN Ia,None,None,None,None,None,None
ZTF18aaqqukd,None,None,None,None,None,None,None,None,SN Ia,None
ZTF18aaqrmuk,None,SN Ia,SN Ia,None,None,None,SN Ia,SN Ia,SN Ia,None
ZTF18aarciez,None,None,None,None,None,None,None,None,SN Iax[02cx-like],None
ZTF18aardsim,None,None,None,None,SN Ia,None,None,SN Ia,None,SN Ia
ZTF18aarindm,SN Ia-91T-like,None,SN Ia,SN Ia,None,SN Ia,None,None,None,None
ZTF18aarnbcc,None,SN Ia,None,SN Ia,SN Ib,None,SN Ia,None,None,None
ZTF18aarodqs,None,None,None,SN II,SN II,SN II,SN II,SN Ia,None,None
ZTF18aarszsc,None,None,None,None,None,SN Ia,SN II,SN Ia-91T-like,None,None
ZTF18aarynbc,None,None,SN II,SN II,None,None,None,None,None,None
ZTF18aasdwcj,SN Ia,None,SN Ia,None,SN Ia,None,None,SN Ia,SN Ib,None
ZTF18aasebwk,None,None,None,SN Ia,SN Ia,SN Ia,None,None,None,SN Ia
ZTF18aasouko,None,None,None,None,None,None,None,None,None,None
ZTF18aassvid,None,None,None,None,None,None,None,SN Ia,None,AGN
ZTF18aasvknh,None,SN II,None,SN Ia,None,SN II,SN I,SN Ia,SN Ia,None
ZTF18aasxguy,None,None,None,None,SN Ia,None,None,None,None,SN Ib
ZTF18aasxqmn,None,None,SN Ia,None,None,SN Ia,None,None,SN Ia,SN Ia
ZTF18aatgdph,SN Ia,SN Ia,SN Ia,None,SN Ia,None,SN Ia,None,None,SN IIb
ZTF18aatrkga,SN Ia,None,None,SN Ia-91bg-like,None,None,None,None,SN Ia,None
ZTF18aaudhst,None,None,None,None,None,None,None,None,None,None
ZTF18aauhpyb,None,None,None,None,None,None,SN II,SN II,SN II,None
ZTF18aauiigh,None,None,None,None,None,None,None,None,None,None
ZTF18aauinub,None,None,None,None,None,None,None,None,None,None
ZTF18aautopz,None,SN Ia,None,SN Ia,None,None,None,None,None,None
ZTF18aauvmnq,SN Ia,None,SN Ia,None,None,None,None,None,SN Ia,None
ZTF18aauzldt,None,None,None,None,None,None,SN Ic-BL,SN Ia,None,SN Ia
ZTF18aavskyg,None,None,SN Ia,SN Ia,SN Ia,None,None,SN Ia,None,SN Ia
ZTF18aavsoed,None,SN Ia,SLSN-II,None,None,SN Ic,None,None,None,None
ZTF18aawfofp,SN Ia,SN Ia,None,None,SN Ic,None,SN II,SN Ia,SN Ia,None
ZTF18aawjhmu,None,None,None,None,None,None,SN II,None,None,SN Ia
ZTF18aawkebe,None,None,None,None,None,None,None,None,None,SN Ic-BL
ZTF18aawohdr,None,SN Ia,None,SN Ia,None,SN Ia,None,SN Ia,SN Ia,None
ZTF18aawpqgd,None,SN II-pec,None,None,None,None,SN Ia,SN IIP,None,None
ZTF18aawpuhh,None,SN Ia,None,SN Ia,SN Ia,None,None,SN Ia,SN Ia,None
ZTF18aawpuqx,None,SN IIP,SN Ia,SN Ia,SN Ia,None,SN Ia-pec,SN IIn,None,None
ZTF18aawpvxf,None,None,None,None,SN II,None,None,None,None,None
ZTF18aawqich,None,SN I,None,None,SN Ia,None,None,None,SN Ia,None
ZTF18aawqkva,None,SN Ia,None,None,None,None,SN Ia,None,None,None
ZTF18aawsfbk,None,SN Ia,None,SN Ia,None,SN Ia,SN Ia,None,None,None
ZTF18aawxxvy,None,SN Ia,None,None,None,None,None,None,None,None
ZTF18aawxzjq,None,None,None,None,None,None,None,None,None,None
ZTF18aaxlyst,None,None,SN Ia,SN Ic-BL,SN Ia,None,SN Ia,None,None,None
ZTF18aaxsiek,None,None,None,None,None,None,None,None,None,None
ZTF18aaxtmeg,None,None,SN II,None,SN Ia-91T-like,None,None,None,None,None
ZTF18aaxvddj,None,None,None,None,None,None,None,None,None,None
ZTF18aaxzgzl,None,None,None,SN IIn,None,SN Ia,None,None,None,None
ZTF18aaxzpyh,None,None,None,None,None,None,None,None,None,SN II
ZTF18aayajbe,None,SN Ia,SN Ia,None,None,None,SN Ia,None,None,None
ZTF18aaygaoa,None,None,None,None,None,None,None,None,SN Ic,None
ZTF18aayjflv,None,None,None,None,None,None,None,None,None,SN Ia
ZTF18aayldkr,None,None,SN Ic,None,None,None,SN IIn,None,None,None
ZTF18aayyqia,SN Ia,None,SN IIn,None,SN Ia,None,SN Ia,None,None,None
ZTF18aazijke,SN Ia,None,None,SN Ia,SN II,None,None,None,SN Ia,None
ZTF18aazikhi,None,SN Ia,None,None,None,None,None,SN II,None,SN Ia
ZTF18aazjked,None,None,None,None,SN Ia,None,None,None,None,SN Ia
ZTF18aazwtfj,None,SN Ia,None,None,None,SN Ia,None,None,SN Ia-91bg-like,None
ZTF18abaeqpf,SN II,SN II,None,SN Ia,None,None,SN Ia,SN Ia-91T-like,SN II,None
ZTF18abafeps,None,None,SN Ia,None,None,None,None,SN Ia,None,None
ZTF18abataex,None,None,None,None,SN Ia,None,None,None,None,None
ZTF18abbpatw,None,SN Ia,None,None,None,None,None,SN IIn,None,None
ZTF18abbpwdn,None,None,SN Ia,None,None,None,None,None,None,None
ZTF18abbqizl,None,None,None,None,None,None,None,None,None,None
ZTF18abbvpla,None,None,None,None,None,None,None,None,None,SN Ia
ZTF18abceigh,None,SN II,None,None,None,None,None,None,SN Ia,None
ZTF18abceimg,None,None,None,None,None,SN Ia,None,None,None,None
ZTF18abcigqi,None,None,None,None,None,None,SN II,None,SN II,SN IIn
ZTF18abcmrqo,None,None,None,None,None,None,None,None,None,SN II
ZTF18abcmzmu,None,None,None,SN II,None,None,None,None,None,None
ZTF18abcvpor,None,None,None,None,None,None,None,None,None,SN II
ZTF18abdbvyf,None,AGN,SN II,None,None,None,None,None,None,None
ZTF18abdhozj,None,None,None,None,None,None,None,None,None,None
ZTF18abdimsq,None,None,None,None,None,SN Ia,None,None,SN Ic,None
ZTF18abdmejr,None,None,None,None,SN Ia,None,None,SN Ia,None,None
ZTF18abdnafw,None,None,SN II,None,None,None,None,None,None,SN II
ZTF18abdqwzs,SN,None,None,None,SN Ic,SN Ia,SN Ia,None,None,None
ZTF18abesouf,None,None,None,None,None,None,None,None,None,None
ZTF18abfcyrs,None,None,SN Ia,None,None,None,None,None,None,None
ZTF18abffkml,None,None,None,None,None,None,None,None,None,None
ZTF18abfgrnw,None,None,None,SN IIn,SN Ia,None,None,None,SN Ia,SN Ia
ZTF18abfyvlc,None,None,None,None,SN Ia,None,None,None,None,None
ZTF18abgkmik,None,SN Ia,SN Ia,None,None,None,None,SN Ia,None,None
ZTF18abgmmso,None,None,None,SN Ia,None,None,None,SN Ia,SN Ia,None
