ztf_object_id,ann=0_tns_cls,ann=1_tns_cls,ann=2_tns_cls,ann=3_tns_cls,ann=4_tns_cls,ann=5_tns_cls,ann=6_tns_cls,ann=7_tns_cls,ann=8_tns_cls,ann=9_tns_cls
ZTF20abdvwde,None,None,None,None,None,None,None,SN Ia,None,None
ZTF20abeocko,None,SN II,None,None,None,SN Ia,None,None,None,SN Ia
ZTF20abeokzz,SN Ia,None,None,None,None,None,None,SN Ia,None,None
ZTF20abeolgh,None,SN Ia,None,SN II,None,None,SN II,None,None,None
ZTF20abeywdn,SN II,SN Ic,None,SN II,None,None,None,SN II,None,SN IIn
ZTF20abfdrfo,None,None,None,None,None,None,None,None,None,None
ZTF20abfehpe,None,None,SN Ia,None,None,SN Ia,SN Ia,SN II,SN Ia,None
ZTF20abfrrpw,None,None,None,None,None,None,None,None,None,TDE
ZTF20abgdovm,None,SN IIn,SN Ia,SN Ic,None,None,None,None,None,None
ZTF20abghfmu,None,None,SN Ia,None,None,None,None,None,None,SN Ia
ZTF20abgtxfo,None,None,SN IIn,None,None,None,None,None,None,None
ZTF20abgvabi,None,None,None,None,None,None,None,SN Ia,None,None
ZTF20abivilh,None,None,SN Ia,SN II,SN IIn,SN Ia,None,None,None,None
ZTF20abjkqxq,SN II,None,SN Ia,None,None,None,None,SN II,None,None
ZTF20abjmsmt,None,None,None,None,None,None,None,None,SN Ia,None
ZTF20abjonjs,None,SN Ia,None,None,SN Ia,SN Ia,None,SN II,None,None
ZTF20abjwdnj,SN II,None,None,None,None,None,None,SN Ia,None,SN II
ZTF20abjwgln,None,None,None,None,SN Ia,None,None,None,None,None
ZTF20abjyoty,None,SN Ia,None,None,SN Ia,None,None,None,SN Ia,None
ZTF20abkkgev,None,None,SN II,None,None,None,None,SN Ia,SN II,None
ZTF20abkqmeq,None,None,SN II,SN II,None,None,None,SN Ia,None,None
ZTF20abllbfo,SN II,None,None,None,None,None,None,None,None,SN Ia
ZTF20ablwbji,None,None,None,None,None,None,None,None,None,SN Ia
ZTF20ablygyy,None,SN Ia,SN IIb,None,None,None,SN II,SN Ia,None,None
ZTF20abmcxaf,None,None,None,SN Ia-pec,None,None,SN Ia,None,None,SN Ic
ZTF20abmdjoy,SN Ia-CSM,None,None,SN Ia,None,None,None,None,None,None
ZTF20abmkwxg,None,None,None,None,SN II,SN Ia,None,SN Ia,None,None
ZTF20abmlxrx,SN Ia,None,None,None,None,None,SN II,SN Ia,None,None
ZTF20abmthvt,None,None,None,None,SN Ia,None,None,SN IIb,None,SN Ia
ZTF20abnbilr,None,None,SN Ia-91bg-like,None,SN IIP,None,None,None,None,None
ZTF20abnghbm,None,SN Ia,None,None,None,None,None,None,None,None
ZTF20abnnfss,None,SN Ia,SN Ia,None,None,None,None,None,None,None
ZTF20abnorit,None,None,SN II,None,None,None,None,None,SN Ia,SN Ia
ZTF20abocwmm,None,None,None,None,None,None,None,SN Ic,None,None
ZTF20abocxdx,None,None,None,None,SN II,None,None,None,None,SN IIb
ZTF20aboknte,SN IIn,None,None,None,None,None,None,None,None,None
ZTF20abowque,SN Ia,None,SN Ia,None,SN Ia,SN Ia-pec,None,None,None,SN II
ZTF20abpmqnr,None,SN Ia,None,None,None,SN Ia,SN Ia,SN Ia,SN IIb,SN Ib
ZTF20abptxls,None,SN Ia,None,None,SN IIb,None,None,SN Ia,SN Ia,None
ZTF20abpuxlo,SN Ia,None,None,None,None,SN II,SN Ia,SN Ia,None,None
ZTF20abpvidq,SN II,SN Ia-91T-like,None,SN IIn,None,SN Ia,None,None,SN Ia,None
ZTF20abqaqgv,SN Ia,None,SN II,None,None,SN Ia-CSM,None,SN Ia,None,SN Ia
ZTF20abqferm,None,None,None,None,None,None,None,None,None,SN Ia
ZTF20abqfgee,SN Ia-CSM,SN Ia,SN Ia,SN Ia,SN Ia-91T-like,None,None,None,None,SN II
ZTF20abqgrht,SN II,None,None,None,None,None,SN IIb,None,None,None
ZTF20abqkbfx,SN Ia,SN II,None,None,None,SN Ia,None,None,None,None
ZTF20abqlmwn,None,None,None,SN Ia,None,SN IIn,None,None,None,None
ZTF20abqvsik,SN Ia,None,SN II,SN II,SN Ia,SN II,SN Ia,SN Ia,SN Ia,SN II
ZTF20abrxhqk,None,None,SN Ia,None,None,None,SN Ia,None,None,None
ZTF20absvtnc,SN IIn,None,None,None,SN Ia,None,SN Ic,None,SN II,None
ZTF20abtifaj,None,None,None,None,None,None,None,None,None,None
ZTF20abtjjhb,SN II,None,SN IIn,SN Ia,None,None,None,None,None,SN Ia
ZTF20abuovvw,SN II,None,None,None,SN Ia,None,None,SN II,SN Ia,SN Ia
ZTF20abupxie,None,SN Ia,SN Ia,None,None,SN IIb,SN Ia,SN Ia,None,SN II
ZTF20abuqali,SN Ia,None,None,None,SN Ia,None,None,None,None,None
ZTF20abusrwm,SN Ia,None,None,None,SN II,None,SN Ia-91bg-like,SN Ia,SN Ia,SLSN-II
ZTF20abvdtgl,SN Ib,None,None,None,SN Ia,None,None,None,SN Ia,None
ZTF20abvowvw,SN II,None,None,None,None,None,None,SN II,SN Ia,SN IIn
ZTF20abvquuo,None,SN Ia,None,SN Ia,None,None,SN Ia,None,SN Ia,None
ZTF20abvtybi,SN Ia,None,None,SN Ia,None,None,None,None,None,None
ZTF20abvxxck,SN Ia,None,None,None,Nova,None,None,None,None,None
ZTF20abvyauy,SN Ia,SN Ia,SN Ia,None,SN Ia-CSM,SN Ia,SN Ia-91T-like,None,None,SN IIP
ZTF20abvycvf,SN IIP,None,None,None,None,None,None,None,None,SN Ia
ZTF20abvykmy,SN IIP,None,SN Ia,None,None,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia
ZTF20abvyqia,None,None,None,SN IIP,None,SN Ia-pec,None,None,SN Ic,SN Ia
ZTF20abwftit,None,None,None,None,None,None,SN Ia,None,None,None
ZTF20abwfxqf,None,None,None,None,None,None,None,None,None,None
ZTF20abwifwx,SN Ia,None,None,None,SN Ia,None,None,SN II,None,None
ZTF20abwikit,SN Iax[02cx-like],SN Ia,SN Ia,None,None,None,SN Ia-91bg-like,SN Ia,SN II,None
ZTF20abwktfx,SN Ic,None,SN Ia,None,None,SN Ia-91T-like,SN Ia,None,None,None
ZTF20abwrcmq,SN IIb,SN Ia,None,None,None,SN Ia,SN II,None,SN II,None
ZTF20abwxywy,SN II,None,None,None,None,SN II,None,SN Ia,None,SN IIb
ZTF20abwzqzo,SN Ia,None,SN Ia-pec,None,SN Ia,None,None,None,SN Ia,None
ZTF20abxawtg,None,SN II,SN Ia,None,SN Ia,None,None,SN Ia,None,None
ZTF20abxgwjr,None,SN Ia,None,None,SN Ia,None,None,SN Ia,SN Ia,SN Ia-CSM
ZTF20abxphtb,None,None,None,SN Ia,None,None,None,None,None,None
ZTF20abxtimo,SN Ia,None,None,SN Ia,SN Ia,None,None,None,SN Ia-pec,None
ZTF20abxvcrk,SN II,None,None,SN Ia,None,SN Ia,SN Ia,None,SN II,None
ZTF20abxyajd,None,None,SN II,SN Ia,None,None,SN II,SN Ia,SN Ia,SN Ia
ZTF20abxyaje,None,None,None,None,SN Ia,None,None,None,None,None
ZTF20abxyauq,None,None,None,None,SN Ia,None,None,SN Ia,SN Ia,SN Ia
ZTF20abxybag,None,None,SN Ia,None,SN Ia,None,None,None,None,SN Ia
ZTF20abxyddt,SN II,SN II,None,None,SN Ia,None,SN II,SN Ia,None,SN II
ZTF20abxyfwy,None,None,None,SN Ia,None,None,None,None,SN Ia,None
ZTF20abxyifx,SN Ia,None,None,None,SN Ic,SN Ia,None,SN Ia,None,SN Ib
ZTF20abxyims,SN Ia,None,None,None,None,None,SN Ia,None,None,None
ZTF20abxzrqw,SN Ia,None,None,None,None,None,None,None,None,SN Ia-CSM
ZTF20abydkrl,SN Ia,None,SN Ia,None,None,SN Ia,SN IIP,None,SN Ia,SN Ia
ZTF20abygigy,SN II,None,None,None,None,None,None,SN Ic,None,SN Ia
ZTF20abylbuf,SN Ia,SN Ia,None,None,None,None,SN II,None,SN Ia,None
ZTF20abyosmd,None,None,None,None,None,None,None,AGN,None,SN Ia
ZTF20abyvtds,SN II,None,SN Ia,None,None,SN Ia,None,SN Ia,SN IIn,None
ZTF20abywghu,None,None,None,None,SN II,None,SN Ia-91T-like,None,SN Ia,None
ZTF20abywoaa,SN II,None,None,None,None,SN Ia,None,SN Ia,None,None
ZTF20abywpje,SN Ia,None,None,None,None,None,None,None,None,None
ZTF20abywydb,SN IIn,None,None,SN Ia,None,SN Ia,SN Ia,None,None,None
ZTF20abywzvj,SN Ia,None,None,SN Ia,None,None,None,None,None,None
ZTF20abyxjvm,SN II,None,SN Ib,SN Ia,None,None,None,SN II,SN II,SN Ia-91T-like
ZTF20abyyfmw,SN II,None,SN Ia,SN Ia-CSM,SN Ia-91T-like,SN Ia,SN II,None,None,None
ZTF20abyzomt,SN II,None,SN Ia,None,SN Ia,None,None,None,None,None
ZTF20abyzoof,None,None,SN Ia,None,None,None,None,None,SN Ia,SN Ib
ZTF20abyzprl,SN Ia,None,None,None,SN Ia,SN Ia,None,None,SN Ia,SN Ia
ZTF20abzaacf,SN Ia,None,None,None,None,None,None,None,None,None
ZTF20abzaknn,None,None,None,SN Ia,SN II,None,SN Ia,None,None,None
ZTF20abzbfct,SN II,None,None,SN II,None,SN Ia-91T-like,None,None,SN Ia,SN II
ZTF20abzbyum,None,SN Ia,None,None,None,None,SN Ia,None,None,None
ZTF20abzcefc,None,SN Ia,None,SN Ia,None,None,None,None,None,SN I
ZTF20abzcmeh,None,SN Ia,None,None,SN Ia,SN II,SN Ia,None,None,None
ZTF20abzesvm,None,None,SN Ia,None,None,SN Ia,None,None,None,None
ZTF20abzhkfs,SN IIn,None,None,None,None,SN Ia,SN IIn,None,None,SN Ia
ZTF20abzhmic,SN Ic,None,None,None,None,None,None,None,None,None
ZTF20abzhvnj,None,SN Ia,None,None,None,None,SN Ia,None,SN Ia,None
ZTF20abzjcdg,None,None,None,None,None,None,None,None,None,None
ZTF20abznlzl,None,None,None,None,SN II,None,None,None,None,None
ZTF20abzpysa,None,None,None,None,None,None,None,SN Ia,None,None
ZTF20abzqgmm,SN II,SN II,None,None,SN Ia,None,None,SN Ia,None,None
ZTF20abzqldq,None,None,None,None,None,None,SN Ia,SN Ia,None,SN Ic
ZTF20abzqlts,SN Ia,None,SN Ia,None,SN Ia,None,None,None,None,None
ZTF20abzuhfn,None,SN II,None,None,None,None,None,None,None,None
ZTF20abzvxyk,None,SN Ia,None,None,None,SN Ia,None,None,None,None
ZTF20acaazkt,SN Ia,SN Ia,None,SN Ia,None,SN Ia,None,SN Ia-pec,None,None
ZTF20acabakj,None,None,None,SN II,AGN,None,None,SN II,SN Ia,None
ZTF20acajvrj,SN Ia,None,None,None,SN Ia,None,None,None,None,None
ZTF20acasmjl,SN II,None,None,None,None,SN Ia,None,None,SN Ia,SN Ia
ZTF20acauthg,None,None,None,None,None,None,None,SN Ia,None,SN Ia
ZTF20acbcfhk,None,None,SN Ia,SN IIn,None,None,SN Ia,None,None,None
ZTF20acbeokd,SN Ia,None,None,SN Ia,SN Ia,SN Ia,None,None,None,None
ZTF20acbepdx,None,None,None,None,None,SN II,SN II,None,None,None
ZTF20acberbd,SN II,SN Ia,None,None,None,None,SN II,None,None,None
ZTF20acbfeii,None,None,None,None,None,None,SN Ia,None,None,SN Ia
ZTF20acbiwri,None,None,SN II,SN Ia,None,None,SN Ia-91T-like,None,None,None
ZTF20acbiyuu,SN Ia,None,None,None,None,None,None,None,None,SN II
ZTF20acbmtcj,None,None,SN Ia,None,None,None,None,None,None,None
ZTF20acbnoqi,SN Ia,SN Ia,None,None,None,SN Ia,None,SN Ia,SN Ia,None
ZTF20acbodqi,None,None,None,None,None,None,SN II,None,None,None
ZTF20acbovrt,SN Ia-91T-like,None,None,None,SN Ia,SN Ib,None,SN Ia-CSM,None,None
ZTF20acbrlih,SN II,None,None,SN Ia,None,SN Ia,None,None,None,None
ZTF20acbttnt,SN Ia,None,SN Ia,None,None,SN Ia,SN Ia,None,None,None
ZTF20accdijx,SN Ic,SN Ia,SN Ia,None,None,None,None,SN Ia,None,None
ZTF20accmtgt,SN Ia,SN IIn,None,None,None,None,None,None,None,None
ZTF20accoccp,None,SN Ia-91bg-like,SN Ia,None,None,SN Ia,None,None,None,None
ZTF20accodxy,SN II,None,SN Ia,None,SN Ia,SN Ia,SN Ia,None,None,None
ZTF20accpvba,SN II,None,None,SN Ia,SN IIn,None,None,SN Ia,None,SN Ia
ZTF20accrkpa,None,None,None,None,None,SN Ib,None,None,None,None
ZTF20accrldu,None,None,None,None,None,None,SN Ia,SN Ia,None,None
ZTF20accxaoj,None,None,None,None,None,None,None,SN Ia,None,None
ZTF20accxshs,None,None,None,None,None,None,None,None,SN IIn,SN IIn
ZTF20acdkfjn,None,None,None,None,None,None,None,None,SN II,None
ZTF20acdreek,None,None,None,None,None,SN Ia,None,SN,SN Ia,None
ZTF20acdtscy,None,SN Ia,None,SN Iax[02cx-like],None,None,None,SN II,None,SN Ia
ZTF20acdugzc,None,None,None,None,None,SN Ia,None,None,None,None
ZTF20acduxvp,None,SN Ia,None,None,None,None,None,None,None,None
ZTF20acejapm,None,None,None,None,None,None,None,None,None,None
ZTF20acejcco,None,SN Ia,None,None,None,None,None,None,None,None
ZTF20acejhyt,None,None,None,None,None,None,None,None,SN Ia,None
ZTF20aceoadf,SN IIn,None,None,SN Ia,None,None,None,None,SN Ia,None
ZTF20aceogrp,None,None,SN Ia,None,SN II,None,SN Ia,None,SN Ia,None
ZTF20aceokvr,None,None,None,SN Ia,None,None,None,None,None,None
ZTF20aceowmd,SN Ia,None,None,SN Ic,None,None,None,None,SN Ia,None
ZTF20acezxxw,SN Ia,None,None,None,None,SN Ia,None,None,SLSN-II,None
ZTF20acfaonm,SN II,None,None,None,None,SN II,SN Ia,SN Ia-91T-like,None,None
ZTF20acfasbq,SN Ia,None,None,SN Ia,None,SN IIn,None,SN Ia,SN Ia,None
ZTF20acfkyll,SN Ia,None,SN Ia,SN Ia,SN Ia,None,None,SN Ia,SN Ia,None
ZTF20acflmyv,Nova,None,SN Ia,None,None,None,None,SN Ia,None,SN Ia
ZTF20acfnuee,SN II,None,None,None,None,SN Ia,None,SN Ia,None,None
ZTF20acfucwr,SN Ia,None,None,None,SN Ia,None,None,None,SN II,SN Ic
ZTF20acfvgdp,SN Ia,SN Ia,SN Ia,None,None,None,SN II,None,None,None
ZTF20acfvqjl,SN II,SN Ia,None,None,SN Ia,None,SN Ia,None,SN Ia,None
ZTF20acfvsze,None,SN Ia,SN Ia,None,None,None,SN Ia,None,None,None
ZTF20acfwrln,None,None,None,SN Ia,None,None,None,None,None,None
ZTF20acfxpec,SN Ia,SN Ia,None,SN Ia,None,SN Iax[02cx-like],None,None,None,None
ZTF20acfxqcr,SN II,None,None,None,None,SN II,None,None,None,None
ZTF20acgcgnf,None,None,None,None,None,None,None,None,None,SN Ia
ZTF20acgchsp,None,SN II,None,SN Ia,None,None,None,None,None,SN Ia
ZTF20acgchxa,SN IIn,None,SN Ia,SN IIb,None,SN II,None,None,SN II,SN Ia
ZTF20acggkic,SN Ia,None,SN Ia,None,SN II,None,SN Ia,None,None,None
ZTF20acggqfs,SN IIb,None,None,None,None,None,SN II,SN II,None,None
ZTF20acggxac,None,SN Ia,None,SN Ic,None,None,SN Ia,None,SN Ia,None
ZTF20acgiglu,SN Ia,None,None,SN Ia,None,None,None,None,SN Ia,None
ZTF20acgjtuo,None,SN Ia,None,None,None,None,None,None,None,None
ZTF20acgkbjz,SN Ia-91bg-like,None,None,None,None,SN Ia,SN Ia,None,None,SN Ia
ZTF20acgkbkm,None,None,None,SN Ia,SN Ia,None,None,None,SN II,None
ZTF20acgkuay,SN Ia,None,None,SN Ia,None,None,None,SN Ia,None,None
ZTF20acglhmi,SN Ia,SN Ia,None,SN Ia,None,None,None,SN Ia,None,None
ZTF20acgmqgv,SN II,None,None,SN Ia,SN Ia,None,SN Ia,None,None,None
ZTF20acgnbvv,SN II,None,None,None,None,SN Ia,None,SN II,None,None
ZTF20acgnelh,SN Ia,None,None,None,None,SN Ia,SN Ia,None,None,SN Ia
ZTF20acgnenc,SN II,SN Ia,None,None,None,SN Ia,None,None,None,None
ZTF20acgnrqu,None,SN Ia,None,None,SN Ia,SN Ia,None,SN Ia,None,SN Ia
ZTF20acgoxns,SN Ia,SN Ia,None,None,None,SN Ia,None,None,None,None
ZTF20acgoxsd,SN Ia,SN Ia,None,None,None,None,None,None,SN Ia,None
ZTF20acgpqqr,None,None,SN Ia,None,None,None,None,None,SN II,None
ZTF20acgprcg,None,None,None,None,None,SN Ia,None,SN Ia,None,None
ZTF20acgqovm,None,None,None,SN Ia,None,None,SN Ia,SN II,SN II,None
ZTF20acgqvwa,SN Ia,None,SN Ia,None,SN I,SN Ia,SN Ia,None,None,None
ZTF20acgrvkt,SN Ia,None,None,SN Ia,None,None,None,SN Ia,None,SN Ia
ZTF20acgrvqo,None,SN Ia,SN Ia,SN Ia,SN II,SN IIb,None,None,SN II,None
ZTF20acgrvtr,SN Ia,None,None,None,None,None,None,None,None,None
ZTF20acgyfxp,None,None,None,None,None,None,None,None,SN II,None
ZTF20acgynyw,SN Ia,None,None,SN Ia-91T-like,None,SN II,None,SN Ia,None,None
ZTF20acgywhr,SN Ia,None,None,None,SN Ia,None,None,None,None,None
ZTF20acgzjje,SN Ia,None,None,SN Ia,None,None,None,SN Ia,SN Ia,SN II
ZTF20acgznau,SN,None,None,SN IIn,None,None,None,SN Ia,SN Ia,None
ZTF20achadaa,SN Ia,None,None,SN Ia,None,None,SN II,None,SN Ia,None
ZTF20achamic,SN Ia,None,SLSN-II,None,None,None,None,None,None,SN II
ZTF20achatyv,SN II,None,None,None,None,None,None,None,None,None
ZTF20achawym,SN Ia,None,None,None,SN Ia,None,SN Ia,SN Ia,None,None
ZTF20achbejn,SN Ia,None,SN Ia,None,None,None,None,None,None,None
ZTF20achbekh,SN Ia,SN Ia,SN Ia,None,SN Ia,None,None,None,None,None
ZTF20achbkud,SN Ia,None,None,SN Ia,None,None,None,None,None,None
ZTF20achdcni,None,SN II,None,None,SN Ia,None,None,SN Ia,SN II,None
ZTF20achdwmq,None,None,None,None,None,None,None,None,None,SN Ia
ZTF20achilkh,None,None,None,None,SN Ib/c,None,SN Ia,None,None,None
ZTF20achjxdt,None,AGN,None,None,None,None,None,None,None,None
ZTF20achkmlh,None,None,None,SN Ia,None,SN II,SN Ia,None,None,None
ZTF20achlkrs,SN II,None,None,None,None,None,None,SN Ia,None,None
ZTF20achmjjk,SN Ia,None,None,SN II,SN Ia,None,None,None,None,SN Ia
ZTF20achmmex,SN Ia,SN Ia,None,None,SN II,None,None,None,None,None
ZTF20achncqp,SN II,None,None,None,None,SN II,None,None,SN Ia,None
ZTF20achncxi,None,SN Ia,SN Ib,SN II,None,None,None,SN Ia-91T-like,SN Ia,None
ZTF20achnfaa,None,None,None,None,SN Ia,None,None,None,SN Ia,None
ZTF20achnipo,None,None,None,None,None,None,None,None,SN Ia,None
ZTF20achnjnz,None,None,None,None,None,None,None,None,SN II,None
ZTF20achnlsd,SN Ia,None,None,None,None,SN II,None,None,None,None
ZTF20achomxd,None,None,None,None,None,None,SN Ia,SN Ia,SN Ia,None
ZTF20achoqvb,None,SN Ia,None,SN Ia-91bg-like,None,SN Ia,None,None,None,None
ZTF20achqeso,None,None,None,SN Ia,None,None,SN Ia,None,SN II,SN Ia
ZTF20achqqhe,SN Ia-91T-like,None,SN Ia,None,SN Ia-91T-like,SN II,None,None,SN Ia,None
ZTF20achrhvp,SN Ia,None,None,SN Ia,None,None,SN II,None,None,None
ZTF20achrklb,None,None,SN Ia,None,None,SN Ia,SN Ia,SN Ib,None,None
ZTF20achsfcq,None,None,None,None,SN Ia,SN Ia,SN Ia,None,None,None
ZTF20achtisx,SN Ia,None,None,None,None,None,None,None,None,None
ZTF20achtoxv,SN Ia,None,None,None,None,SN Ia,SN Ia,SN Ia,None,None
ZTF20achtpbn,SN Ia,SN Ia,None,None,SN Ia,None,None,None,None,SN II
ZTF20achtubm,None,SN Ia,SN Ic,None,SN Ia,None,None,None,None,SN I
ZTF20achtxbi,SLSN-II,None,SN II,SN Ia,SN Ia,None,SN Ia,SN Ia,SN Ia,None
ZTF20achtyki,None,None,SN Ia,None,None,None,None,None,None,SN Ibn
ZTF20achupkw,SN Ia-91T-like,None,None,None,None,None,SN IIb,SN II,None,None
ZTF20achutoz,None,None,None,None,None,None,None,None,SN IIn,None
ZTF20achuvhd,None,SN Ia,None,None,SN Ia,None,None,None,SN Ia,None
ZTF20achvceo,None,None,None,SN Ia,None,None,None,Other,None,SN Ia
ZTF20achyslw,SN Ia,None,None,None,SN I,None,SN Ia,None,SN II,SN Icn
ZTF20achzsmg,None,None,None,None,None,None,None,None,None,None
ZTF20achzugy,None,None,None,None,None,None,None,None,None,None
ZTF20achzvss,None,SN Ia-91T-like,SN Ia,None,SN Ia,None,SN Ia,None,SN Ia,None
ZTF20achzwng,SN Ia,None,SN II,None,None,None,None,SN Ia,None,None
ZTF20aciaaiw,None,None,None,None,SN Ia,None,None,None,None,SN Ia
ZTF20aciaxil,None,None,None,None,None,SN II,None,SN Ia,None,SN Ia
ZTF20acibvgy,SN Ia,None,None,None,SN II,None,None,None,SN I,SN Ia
ZTF20acifimy,None,SN Ia,SN Ib,SN Ia,None,SN Ia,None,None,None,SN Ia
ZTF20acifwef,None,None,None,SN Ic,None,SN Ia,SN IIn,None,SN Ia,None
ZTF20acigqfi,SN Ia,None,None,None,None,None,SN Ia,None,None,SN Ia
ZTF20acihfol,None,None,None,None,None,SN II,None,SN Ia,None,SN Ia
ZTF20aciidkb,SN Ia,None,None,None,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ib
ZTF20aciiejq,None,None,None,None,None,None,None,None,None,None
ZTF20acijssu,SLSN-I,SN Ib,None,None,SN Ia,SN Ia,None,None,None,SN Ia
ZTF20aciloii,None,None,SN Ia,None,None,None,SN II,SN Ia,None,None
ZTF20acilzkh,None,None,None,None,None,None,SN IIb,SN Ia,SN II,None
ZTF20acimlvt,None,None,SN Ib-pec,SN Ia,None,SN Ia,None,None,None,None
ZTF20acimsnl,None,None,None,SN Ia,SN II,SN Ia,None,None,None,None
ZTF20acimzhq,None,None,SN Ia,None,None,SN Ia,None,None,SN Ia,None
ZTF20acimzlk,SN Ia,SN II,None,None,None,None,SN Ia,None,SN Ia,None
ZTF20acinads,SN Ia,SN Ia,None,None,None,None,None,SN Ia,SN Ia,None
ZTF20acinaeq,None,None,None,None,SN Ic,None,SN II,None,None,None
ZTF20aciowcm,None,None,None,None,SN Ia,SN Ia,SN II,SN Ia,SN Ia,None
ZTF20aciqtvg,SN Ia,None,None,None,None,None,AGN,SN Ia,SN Ia,None
ZTF20acirhiu,SN IIn,None,SN Ia,SN Ia,None,None,SN Ia,SLSN-I,None,None
ZTF20acisbek,SN II,SN Ia-91T-like,SN Ia-91T-like,SN Ia,SN Ia,SN Ia,None,None,None,None
ZTF20acisvli,TDE,SN Ia,SN Ia,None,None,None,None,None,None,None
ZTF20acitoie,None,None,SN Ia,None,SN Ia,SN Ia-pec,None,None,None,None
ZTF20acitpfz,None,None,None,None,SN Ia,None,None,None,SN II,None
ZTF20aciuakq,SN II,None,None,None,None,None,None,SN Ia,None,None
ZTF20aciubak,SN II,None,SN Ia,None,None,SN Ia,None,None,None,None
ZTF20aciubfx,None,None,None,None,None,SN IIb,None,None,SN Ia-pec,None
ZTF20aciuciv,SN Ia,None,SN Ia,None,None,None,None,None,SN Ia,None
ZTF20aciucub,None,SN Ib,None,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,None,None
ZTF20aciudrr,SN Ia,None,SN Ia,SN Ia,None,SN II,SN Ia,None,None,None
ZTF20aciudwb,SN Ia,None,None,None,None,None,None,None,None,None
ZTF20aciuftf,None,None,SN Ia,None,None,SN IIn,SN Ia,None,None,None
ZTF20aciugdl,None,SN II,SN Ia,SN II,None,None,None,None,None,None
ZTF20aciuubo,None,SN Ic,None,None,None,None,None,None,None,None
ZTF20aciuuks,None,None,None,None,SN I,None,None,None,None,None
ZTF20acivnvd,None,None,None,SN Ia,None,None,None,None,None,None
ZTF20acivqxn,None,None,None,None,None,None,None,None,None,None
ZTF20acivqxo,None,SN Ia,SN Ia,SN Ia,None,None,None,None,None,None
ZTF20aciwhcb,None,None,SN Ia,None,None,SN Ic,None,None,None,SN Ia-91T-like
ZTF20acizlhn,SN Ia,SN IIb,None,None,None,None,None,None,SN Ia,None
ZTF20acizlix,SN II,None,None,None,None,None,None,None,None,SN Ia
ZTF20acizliy,None,None,SN Ib,SN Ia,SN Ia-91T-like,None,SN Ia,None,None,SN Ia
ZTF20acjbhhp,SN Ia-91T-like,None,None,None,SN Ia,None,None,SN II,SN Ia,SN Ia
ZTF20acjcxbx,None,SN Ic,SN Ia,None,None,SN Ia-91T-like,SN Ia,None,SN Ia,None
ZTF20acjdhof,None,SN Ia,SN Ia,None,None,None,None,None,None,SN Ia
ZTF20acjdysj,SN Ia,None,None,None,None,None,None,None,None,None
ZTF20acjevit,SN Ia,None,SN Ia,None,None,SN Ia,None,None,None,SN Ia
ZTF20acjfimy,None,SN Ia,None,None,None,None,None,SN Ia,SN Ia,None
ZTF20acjhhqx,None,None,None,SN II,SN Ic,SN Ia,SN Ia,None,None,None
ZTF20acjhmym,None,None,None,None,None,None,SN Ia,SN Ia,None,None
ZTF20acjhyto,SN Ia,None,None,None,None,None,None,None,None,None
ZTF20acjizgn,None,None,None,None,None,None,None,None,SN IIn,SN Ia
ZTF20acjjkhr,None,None,SN Ib-pec,None,None,None,SN II,SN II,None,None
ZTF20acjomyc,None,None,None,SN II,None,None,None,None,SN IIb,SN Ia
ZTF20acjpbni,SN IIb,None,SN Ia,None,None,None,None,None,SN Ib,None
ZTF20acjptet,SN Ia,None,None,None,None,None,SN Ia,None,SLSN-II,None
ZTF20acjpvyd,SN II,None,None,SN II,SN II,None,None,SN Ic,SN II,None
ZTF20acjpwdk,None,None,SN Ia,None,None,None,SN Ia,None,SN Ia,None
ZTF20acjqkmg,None,None,None,None,None,None,SN Ia,None,None,SN II
ZTF20acjrpia,SN Ia,SN IIn,SN Ia,None,SN Ia,SN Ia,None,None,None,SN II
ZTF20acjryhf,SN Ia,None,None,None,SN II,None,SN Ia,SN Ia,None,SN Ia
ZTF20acjrytv,None,None,SN Ia,None,None,None,None,SN Ia,SN Ib,SN Ia
ZTF20acjsazw,None,None,SN Ia,None,SN IIn,None,SN II,SN IIP,None,None
ZTF20acjswcb,SN Ia,None,None,None,None,None,SN Ia,None,None,None
ZTF20acjufda,None,None,SN Ia,SN Ia,SN Ia,None,None,None,SN Ia,None
ZTF20acjutba,None,None,None,None,None,SN Ia,None,None,None,None
ZTF20acjwffp,None,None,None,SN Ia,None,SN II,SN Ia,None,None,None
ZTF20acjynpx,None,None,None,None,None,None,None,None,SN II,None
ZTF20acjzipj,None,None,None,None,SN Ia,SN Ia,None,SN Ia,SN Ia,SN Ia
ZTF20ackagrs,None,None,SN Ia,SN Ia,SN Ia,SN Ia,None,None,None,None
ZTF20ackapmm,None,None,None,None,None,None,None,None,None,None
ZTF20ackapps,SN Ia,None,None,None,None,SN Ia,None,None,None,SN Ic-BL
ZTF20ackasol,None,None,None,None,None,None,None,None,None,None
ZTF20ackdkva,SN Ia,None,None,None,None,None,SN Ia,SN II,None,None
ZTF20ackhlcw,None,None,None,None,None,None,None,SN II,None,None
ZTF20ackhzba,SN Ia,SN Ia,None,None,SN Ia,None,None,SN Ia-CSM,SLSN-II,None
