,ann=0_ztfid,ann=1_ztfid,ann=2_ztfid,ann=3_ztfid,ann=4_ztfid,ann=5_ztfid,ann=6_ztfid,ann=7_ztfid,ann=8_ztfid,ann=9_ztfid,ann=10_ztfid,ann=0_d,ann=1_d,ann=2_d,ann=3_d,ann=4_d,ann=5_d,ann=6_d,ann=7_d,ann=8_d,ann=9_d,ann=10_d,ann=0_has_tns,ann=1_has_tns,ann=2_has_tns,ann=3_has_tns,ann=4_has_tns,ann=5_has_tns,ann=6_has_tns,ann=7_has_tns,ann=8_has_tns,ann=9_has_tns,ann=10_has_tns,ann=0_tns_cls,ann=1_tns_cls,ann=2_tns_cls,ann=3_tns_cls,ann=4_tns_cls,ann=5_tns_cls,ann=6_tns_cls,ann=7_tns_cls,ann=8_tns_cls,ann=9_tns_cls,ann=10_tns_cls,ann=0_spec_z,ann=1_spec_z,ann=2_spec_z,ann=3_spec_z,ann=4_spec_z,ann=5_spec_z,ann=6_spec_z,ann=7_spec_z,ann=8_spec_z,ann=9_spec_z,ann=10_spec_z
ZTF21aasfdps,ZTF21aasfdps,ZTF18accupqk,ZTFabc14262,ZTFabc00290,ZTFabc02615,ZTFabc19320,ZTFabc43718,ZTFabc17189,ZTFabc12851,ZTFabc57160,ZTFabc96051,0,235.8454,305.2324,326.896,344.4683,355.9953,361.9548,362.2792,377.9806,384.6606,386.0141,Yes_TNS,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,None,None,SN IIn,SN IIn,SN IIn,SN Ia,SN IIn,SN IIn,SN II,SN II,SN IIn,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21aapoiht,ZTF21aapoiht,ZTFabc69452,ZTFabc48129,ZTFabc79032,ZTFabc57834,ZTF20acpiesv,ZTFabc95437,ZTFabc11470,ZTFabc21483,ZTFabc57233,ZTFabc96450,0,191.022,194.6967,195.4052,233.2516,233.682,240.0126,240.1361,241.8874,242.2688,246.3284,Yes_TNS,Fake,Fake,Fake,Fake,Yes_TNS,Fake,Fake,Fake,Fake,Fake,None,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,None,SN IIP,SN IIP,SN IIP,SN IIP,SN IIP,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF18abavruc,ZTF18abavruc,ZTFabc64282,ZTFabc83469,ZTFabc42359,ZTFabc34854,ZTFabc17459,ZTF20abzuhfn,ZTFabc94201,ZTFabc30966,ZTFabc11581,ZTFabc45176,0,319.8914,322.6411,322.9103,327.48,328.8977,329.5147,331.8798,332.4225,333.9636,334.5325,Yes_TNS_2plus,Fake,Fake,Fake,Fake,Fake,Yes_TNS,Fake,Fake,Fake,Fake,None,TDE,TDE,TDE,TDE,TDE,None,TDE,TDE,TDE,TDE,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21aarwwzd,ZTF21aarwwzd,ZTFabc11353,ZTFabc39808,ZTFabc03486,ZTF20acowqyb,ZTFabc52774,ZTFabc94480,ZTFabc52203,ZTFabc34257,ZTF20acnzzlo,ZTFabc97174,0,241.2432,255.6442,263.3218,264.6326,269.4456,274.3967,295.4233,302.8357,305.678,319.9146,Yes_TNS,Fake,Fake,Fake,Yes_TNS,Fake,Fake,Fake,Fake,No_TNS,Fake,None,SN IIn,SN IIn,SN IIn,None,SN IIn,SN IIn,SN IIn,SN IIn,None,SN IIn,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF20acpumut,ZTF20acpumut,ZTFabc67815,ZTF21aarbczp,ZTF21abfnjya,ZTF21aatwhta,ZTF21abkmnrx,ZTFabc88790,ZTF21aaaajfe,ZTF21aaacwmx,ZTF21abrzdqx,ZTF21aaapfal,0,306.0324,337.6312,357.2778,370.1877,377.3883,384.326,386.5508,407.0219,450.7542,470.1288,Yes_TNS,Fake,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,SN Ia,SN Ia,None,None,None,None,SN Ia,SN Ia,None,SN Ia,None,0.082,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.05,-99.0,0.066,-99.0
ZTF21aahmxsq,ZTF21aahmxsq,ZTF20acnviyk,ZTF20actkuxm,ZTFabc51594,ZTF21aaaolgn,ZTF21aabgois,ZTF18acpegrg,ZTF20acunxkg,ZTFabc19540,ZTF20acpglgs,ZTFabc22374,0,411.5202,423.7394,432.1862,451.717,461.2119,467.5918,478.6879,485.1959,486.3485,488.8544,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Yes_TNS,Yes_TNS,No_TNS,Yes_TNS,Fake,Yes_TNS,Fake,None,SN Ia,None,SN Ia,None,None,None,None,TDE,None,TDE,-99.0,0.1,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF19aacirez,ZTF19aacirez,ZTFabc81573,ZTFabc70313,ZTFabc18930,ZTFabc02777,ZTFabc86042,ZTFabc58892,ZTFabc36732,ZTFabc14485,ZTFabc42680,ZTFabc24231,0,256.2278,258.6653,261.6583,261.6651,265.2354,266.5806,270.5527,271.3459,271.4642,271.6392,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,None,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia,SN Ia,SN Ic-BL,SN Ic-BL,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF20acqpzbo,ZTF20acqpzbo,ZTFabc03993,ZTFabc85444,ZTF21abdthxn,ZTF21abpoufi,ZTFabc68243,ZTF20acpmeuc,ZTFabc30722,ZTF21aagdrdj,ZTFabc71957,ZTFabc45733,0,187.6546,217.5843,218.5278,238.244,240.7979,243.4283,247.8716,254.1705,277.0095,287.7339,Yes_TNS,Fake,Fake,Yes_TNS,Yes_TNS,Fake,Yes_TNS,Fake,Yes_TNS,Fake,Fake,None,SN Ia,SN Ia,SN Ia,None,SN Ia,None,SN Ia,None,SN Ia,SN Ia,-99.0,-99.0,-99.0,0.099,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF20accxshs,ZTF20accxshs,ZTF21abwpyks,ZTFabc64419,ZTFabc86129,ZTFabc43573,ZTFabc60997,ZTFabc82501,ZTFabc15170,ZTFabc73083,ZTFabc62694,ZTFabc77428,0,262.1651,264.2933,268.9532,276.0652,278.5365,290.808,293.2043,302.281,313.6887,321.6982,Yes_TNS,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,None,None,SN II,SN II,SN II,SN II,SN II,SN II,SN II,SN II,SN II,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21aaaecrv,ZTF21aaaecrv,ZTF21abwgajj,ZTF21aaanqpg,ZTF21abwxsud,ZTFabc15879,ZTFabc31927,ZTFabc17393,ZTFabc68608,ZTFabc93761,ZTF21abvamvu,ZTFabc62074,0,323.8205,324.5438,326.3463,331.9996,335.9622,350.4055,352.7967,353.3089,360.2221,363.6652,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Yes_TNS,Fake,SN Ia,None,None,None,SN II,SN Ia,SN Ia,SN Ia-91T-like,SN Ia-91T-like,None,SN II,0.078,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
