,ann=0_ztfid,ann=1_ztfid,ann=2_ztfid,ann=3_ztfid,ann=4_ztfid,ann=5_ztfid,ann=6_ztfid,ann=7_ztfid,ann=8_ztfid,ann=9_ztfid,ann=0_d,ann=1_d,ann=2_d,ann=3_d,ann=4_d,ann=5_d,ann=6_d,ann=7_d,ann=8_d,ann=9_d,ann=0_has_tns,ann=1_has_tns,ann=2_has_tns,ann=3_has_tns,ann=4_has_tns,ann=5_has_tns,ann=6_has_tns,ann=7_has_tns,ann=8_has_tns,ann=9_has_tns,ann=0_tns_cls,ann=1_tns_cls,ann=2_tns_cls,ann=3_tns_cls,ann=4_tns_cls,ann=5_tns_cls,ann=6_tns_cls,ann=7_tns_cls,ann=8_tns_cls,ann=9_tns_cls,ann=0_spec_z,ann=1_spec_z,ann=2_spec_z,ann=3_spec_z,ann=4_spec_z,ann=5_spec_z,ann=6_spec_z,ann=7_spec_z,ann=8_spec_z,ann=9_spec_z
10,ZTF18aaisqmw,ZTF21aazqkeq,ZTF21aasyydo,ZTF20acvdqtg,ZTF21aazybsh,ZTF21acgyzel,ZTF20abxyifx,ZTF21aawtazf,ZTF18aayyqia,ZTF20acwpixx,0.0,62.4789,67.7408,68.8436,69.1345,69.6395,70.209,71.1795,71.7448,72.2255,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,SN Ia,SN II,SN Ia,SN Ia,SN II,SN Ia,SN II,SN Ia,SN Ia,SN Ia,0.0527,0.0283,0.061012,0.077,0.04294,0.049,0.02563,0.061948,0.0691,0.077451
11,ZTF18aaizgoq,ZTF21aaqhwgh,ZTF21aaabvkj,ZTF21aagrhot,ZTF21aaahliy,ZTF20acyydkh,ZTF21abtuutw,ZTF20achtubm,ZTF20aciuciv,ZTF18abquxjv,0.0,46.0099,49.9591,55.7666,57.5282,60.6722,61.165,61.791,61.8376,62.036,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia-91T-like,TDE,SN Ia,SN Ia,SN II,SN Ia,0.07,0.08317,0.077146,0.1,0.10579,0.133,0.079,0.136,0.097,0.074
12,ZTF18aajjhkq,ZTF21abpjpxr,ZTF20acoxmsr,ZTF21aarwlht,ZTF21aatklhw,ZTF21aaflcai,ZTF20ackhzba,ZTF20acijssu,ZTF20ackkejs,ZTF21aasafkl,0.0,42.6557,44.7697,47.0456,47.2711,48.4721,50.3497,51.0856,51.2644,51.3248,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,0.07,0.09,0.071,0.08449,0.06689,0.069,0.064,0.104,0.09171,0.075382
13,ZTF18aajupnt,ZTF21abfiuqf,ZTF20acsesce,ZTF21aagtceu,ZTF21abczimc,ZTF20actekrw,ZTF21aalyvyw,ZTF21aagbeah,ZTF20acongti,ZTF21aabfwwl,0.0,57.2397,60.2465,67.9615,69.1807,69.2776,69.9362,70.3556,70.8823,71.8741,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,AGN,SN II,SN Ia,SN Ia,SN II,SN Ic,SN Ia,SN II,SN II,SN II,0.0367,0.023646,0.052,0.044665,0.035955,0.033,0.062128,0.04,0.041,0.013639
14,ZTF18aamzgzi,ZTF18aaacqmh,ZTF21aagnzjy,ZTF20acmaaan,ZTF20acfwrln,ZTF21aafepon,ZTF20acynjjo,ZTF20abxyaje,ZTF20acqntkr,ZTF19aaafica,0.0,157.0633,160.7009,177.1469,182.3609,182.5173,183.0078,186.0552,186.1738,194.1778,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,SN Ia,SN Ia,SN II,SN II,SN II,SN II,SN Ia,SN II,SN Ia,SN Ia-91bg-like,0.0179,0.018,0.015,0.0187,0.0183,0.011791,0.01512,0.03784,0.015661,0.02
15,ZTF18aansqom,ZTF21abkaoxe,ZTF21abcgxwy,ZTF20achadaa,ZTF21aaqvuyf,ZTF21aagtceu,ZTF21aalcsng,ZTF20acwqndp,ZTF21aaswtok,ZTF20acoqpbg,0.0,51.4979,62.2661,62.4911,63.9171,65.3997,65.5232,66.8004,69.0656,69.2888,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,0.03,0.0543,0.05358,0.0369,0.053,0.044665,0.053642,0.05313,0.041,0.06017
16,ZTF18aansqov,ZTF21abizxkw,ZTF21abyahbi,ZTF20aciudrr,ZTF18abrfccm,ZTF21aardybv,ZTF21aagyvtq,ZTF21abifxhe,ZTF20acpkprl,ZTF21aajuerd,0.0,44.6101,45.2639,49.9832,51.7451,53.2897,55.0399,55.3711,56.5007,56.6273,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,SN Ia,SN Ia,SN II,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,0.07,0.091,0.076684,0.09957,0.1,0.065,0.105047,0.075,,0.069197
17,ZTF18aaoxrup,ZTF21aabhxxj,ZTF20acoqpbg,ZTF18abxhsyn,ZTF21aaqqwln,ZTF21abdlrpr,ZTF21abctmnb,ZTF21abfyxpf,ZTF20acgzjje,ZTF18aabeszt,0.0,54.1555,58.9983,60.1085,61.2211,62.6824,62.7032,63.4152,64.5739,64.5764,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia-pec,SN Ia,SN Ia,0.06,0.05,0.06017,0.03757,0.058,0.065,0.045,0.027,0.07,0.081
18,ZTF18aarindm,ZTF21aagrhot,ZTF20acoaqpm,ZTF20abzhvnj,ZTF21abcnpnk,ZTF21aaarmti,ZTF21abjciua,ZTF21aaahliy,ZTF20acobevy,ZTF20achtubm,0.0,50.2028,52.9065,53.9226,56.1024,60.3376,61.3621,62.821,64.8235,64.9049,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,SN Ia-91T-like,SN Ia,SN Ia,SN IIn,SN Ia,SLSN-I,Other,SN Ia-91T-like,SN Ia,SN Ia,0.097,0.1,0.08,0.207,0.099,0.193,0.06,0.10579,0.08,0.136
19,ZTF18aasdwcj,ZTF21aaaytny,ZTF21abifxhe,ZTF21aaazieb,ZTF21abcpsjy,ZTF18abrfccm,ZTF21aaxubqf,ZTF21abnfgff,ZTF21abyahbi,ZTF18abuxjrd,0.0,61.7773,65.5346,69.2314,71.0996,71.4732,71.6188,73.001,73.1237,73.5384,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,SN Ia,SN Ia,SN Ia,SN Ia,SLSN-I,SN Ia,SN Ia,SN Ia,SN II,SN Ia,0.073349,0.0459,0.075,0.03838547,0.15,0.1,0.073698,0.06,0.076684,0.0713
20,ZTF18aatgdph,ZTF20acugxbm,ZTF21aagsypp,ZTF20acxzqyp,ZTF21abezlqc,ZTF20abpmqnr,ZTF21aaejeyu,ZTF21aaifyvi,ZTF20aczgoml,ZTF20abwrcmq,0.0,52.5342,53.0363,56.1919,68.3816,68.5595,72.4045,73.5236,75.299,77.6995,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN IIn,SN Ia,SN Ia,SN Ia-91T-like,SN Iax[02cx-like],0.035896,0.026218,0.0182,0.03,0.041,0.022,0.026,0.053072,0.0453189984,0.017
21,ZTF18aatrkga,ZTF21aaxsnvk,ZTF21aalydkl,ZTF20achnfaa,ZTF20acgkbjz,ZTF21abbxdcm,ZTF20acfasbq,ZTF20abupxie,ZTF21aaqvuyf,ZTF20acizliy,0.0,49.3143,57.3946,57.969,59.5497,62.6271,62.9607,64.2639,65.1006,65.3335,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,SN Ia,SN Ia,SN Ia,SN II,SN Ia,SN Ia-91T-like,SN Ia,SN II,SN Ia,SN Ia,0.0285,0.034477,0.056,0.055532,0.047,0.05,0.047,0.0184,0.053,0.04
