ztf_object_id,objID,raMean,decMean,nDetections,pgal_host
ZTF17aaaaenu,150620273387282157,27.33875889858929,35.51795528040146,38,0.025833332911133766
ZTF17aaaazhi,148200334649204503,33.46488587984733,33.50320790133172,40,0.9295833110809326
ZTF17aaaazmz,150890302862623476,30.286253007488625,35.74411626253043,55,0.0
ZTF17aaaazmz,150890302862863079,30.28621545,35.74400576,3,-99.0
ZTF17aaabghb,106760772412722499,77.24126082324358,-1.0316065427306393,54,0.0037499999161809683
ZTF17aaabuab,105210520766363928,52.07667355676297,-2.322100014079905,68,0.01641666702926159
ZTF17aaaccjr,113240693362325305,69.3361542710547,4.370705293820303,74,0.0008333333535119891
ZTF17aaaceht,121650558374857810,55.83752723866036,11.381125604889194,35,0.0033333334140479565
ZTF17aaadars,113620740081156099,74.00814134485925,4.687996785962388,39,0.9243333339691162
ZTF17aaadlhe,105533393229606058,339.32293866159546,-2.0535358433873685,10,-99.0
ZTF17aaadlhe,105533393229666560,339.32297604017396,-2.0534464790036293,41,0.0
ZTF17aaadqdy,109683523770434214,352.37709365,1.40311098,2,-99.0
ZTF17aaadqdy,109683523773004062,352.37736798202536,1.4029896438519245,72,0.005083333235234022
ZTF17aaadqyf,112930039608628242,3.9608744710837716,4.114815473725825,56,0.0
ZTF17aaadvbj,154850074448414905,7.44483031395248,39.045202635616015,16,0.027013888582587242
ZTF17aaadvbq,157200159416149149,15.94188907,41.00695376,3,-99.0
ZTF17aaadvbq,157200159421158827,15.9421440144397,41.0068185383533,81,0.007499999832361937
ZTF17aaadvfh,156720101231743602,10.123149817728358,40.6024588164068,52,0.07958333194255829
ZTF17aaadvfi,156620101444460065,10.144406743171213,40.51622067749267,18,0.004583333153277636
ZTF17aaaehtk,148403466154718241,346.61554155496316,33.67301124129327,47,0.002916666679084301
ZTF17aaaehzh,150503463937143122,346.39368317235744,35.41874783709478,80,0.9708333611488342
ZTF17aaaeqwm,104420051225595743,5.122613717988223,-2.9788801287980893,66,0.0012499999720603228
ZTF17aaaesne,149900228784907011,22.878474657562393,34.92199599467377,54,0.9887499809265137
ZTF17aaaessf,149350069924292964,6.99232440414497,34.460331052355116,16,0.05545833334326744
ZTF17aaaeszu,157360068547966611,6.8547965721357915,41.13823951907569,56,0.003083333373069763
ZTF17aaafssi,144980220490828453,22.049078965500964,30.823210657112963,51,0.9729999899864197
ZTF17aaafstx,144720222814224929,22.2815196428452,30.603608313026182,12,0.10818749666213989
ZTF17aaafstx,144720222818604969,22.281754426639964,30.603610498014067,27,-99.0
ZTF17aaafvft,95690326106512679,32.61056159464549,-10.25648232968782,15,0.0016666667070239782
ZTF17aaafvsw,103500472202277096,47.220275592340954,-3.7445283189769114,39,0.9865416884422302
ZTF17aaafvwm,103250474805541173,47.48055203104405,-3.957724518920823,28,0.8940833210945129
ZTF17aaafvwp,103590472369519121,47.23694624274973,-3.667835598474778,49,0.0008333333535119891
ZTF17aaahfef,198830858835452414,85.8835090961888,75.69296642859544,42,0.3457326889038086
ZTF17aaahmid,188430985094156604,98.50963132330625,67.02988356557084,20,0.0
ZTF17aaahmid,188430985102346498,98.50987837,67.02981979,2,-99.0
ZTF17aaahrni,102970804180328356,80.4180187670892,-4.184978506833091,46,0.004166666883975267
ZTF17aaaikkq,172931164544042668,116.45460876517595,54.109907656978926,65,0.0
ZTF17aaaikuu,183761058908533635,105.89083219912719,63.1357463180246,79,0.997083306312561
ZTF17aaaiujz,167221141795271735,114.17955370912101,49.35077209813193,24,0.0024999999441206455
ZTF17aaajigm,192071740572060880,174.05685355760625,70.05843583250133,36,0.03791666775941849
ZTF17aaajmhb,120581552236564674,155.22362469237234,10.486756337066893,68,0.9571666717529297
ZTF17aaajtkd,155680241918808622,24.191912046131105,39.739973816817525,69,-99.0
