,ztf_object_id,transient_ra,transient_dec,host_ra,host_dec,tns_cls,spec_z
0,ZTF17aaaduzw,10.062633419988789,43.09693794955865,,,None,-99.0
1,ZTF17aaaemzh,3.909656118951503,26.615668910901668,,,None,-99.0
2,ZTF17aaaeupz,15.28711070533874,43.39036437913665,,,None,-99.0
3,ZTF17aaahfrf,74.5812137961356,68.01831195797214,,,None,-99.0
4,ZTF17aaawlbw,60.420527722900495,8.00214226641593,,,None,-99.0
5,ZTF17aabbbhd,58.96456043430808,-18.517692147748463,,,None,-99.0
6,ZTF17aabhioj,76.81766445340148,12.88723761802639,,,None,-99.0
7,ZTF17aabumhg,295.79331625909026,55.81678405909372,,,None,-99.0
8,ZTF17aacdiol,68.652435760867,18.045735404359192,,,None,-99.0
9,ZTF17aacumqt,72.2271014146093,19.071919653691907,,,M dwarf,
10,ZTF17aadlxmv,127.4483202851852,33.90632172962963,,,SN Ia,0.062
11,ZTF18aaaakrs,88.98839341331757,59.915932762287,,,None,-99.0
12,ZTF18aaabbiy,107.08526400865232,41.221237623109154,,,None,-99.0
13,ZTF18aaamlib,103.0108609029287,40.15855037837712,,,None,-99.0
14,ZTF18aabasml,166.4864491160726,37.62508617500341,,,SN Ia,0.047
15,ZTF18aabezwv,32.872093101624195,43.20321193621502,,,None,-99.0
16,ZTF18aabgpcg,102.01869429457533,41.78384580170494,,,None,-99.0
17,ZTF18aabukgo,154.92666196666667,43.366316313333336,,,SN Ia,0.02611
18,ZTF18aacdbzx,205.25741122942225,38.98604857059942,,,SN Ic-BL,0.08
19,ZTF18aacfnft,132.1594461367226,47.88871926022989,,,None,-99.0
20,ZTF18aahheaj,195.11053458260864,18.619330108695653,,,SN Ia,0.048
21,ZTF18aahwquy,190.92413626970296,9.285303990918509,,,None,-99.0
22,ZTF18aajqcue,208.78603027918024,58.49498863182333,,,SLSN-I,0.0735
23,ZTF18aakctzv,192.8326708222222,21.230185144444444,,,SN IIP,0.0232
24,ZTF18aakoejd,176.056991190772,57.94808622888293,,,None,-99.0
25,ZTF18aalakrr,275.3469239619194,31.824363780986403,,,None,-99.0
26,ZTF18aammlba,282.9691520588148,42.58268072356691,,,None,-99.0
27,ZTF18aandjhu,263.52691466363376,25.343701081823667,,,SN Ia,0.026
28,ZTF18aapnjqb,286.12680284605835,46.90009457056499,,,SN I,0.03
29,ZTF18aapotwm,291.54018406349854,50.17615353933723,,,None,-99.0
30,ZTF18aapzqup,291.2590671680785,50.72049344929724,,,AGN,0.065
31,ZTF18aaqkdwf,199.36005556664384,44.947389633354575,,,SN II,0.0913
32,ZTF18aaqkjuw,174.79364974345307,56.13628365654131,,,SN Ia,0.0966
33,ZTF18aaqzpne,266.7900782421944,16.673627813155505,,,None,-99.0
34,ZTF18aartimj,233.8879009344833,12.568006165519536,,,SN II,0.028
35,ZTF18aasdted,261.4131491130502,59.44677402319113,,,SN Ia,0.01815
36,ZTF18aaseuur,269.140521299997,15.895506340163848,,,None,-99.0
37,ZTF18aashiai,270.66517965,20.644854164285714,,,None,-99.0
38,ZTF18aasjbbs,279.69554261152126,30.871795706452037,,,None,-99.0
39,ZTF18aaslagi,271.4430596333466,31.67159069447039,,,None,-99.0
40,ZTF18aatbbpd,227.05005467341704,62.6286851963915,,,None,-99.0
41,ZTF18aauyzok,204.4357395252484,69.9748162003126,,,None,-99.0
42,ZTF18aavjnfx,248.92814677777776,4.825935900000843,,,SN Ia,0.06
43,ZTF18aavpuxk,291.3245343870584,51.23346647128781,,,None,-99.0
44,ZTF18aavqdyq,268.4345872263158,40.75576071754386,,,SN II,0.026
45,ZTF18aavtqlz,267.29768867077814,23.97435683970056,,,None,-99.0
46,ZTF18aavvnzu,270.2301551306377,52.739635590331055,,,SN Ia,0.0498
47,ZTF18aawcwsx,160.13927561207342,47.040162708630106,,,SN Ia,
48,ZTF18aawddqe,208.89548111083204,79.51353582181137,,,None,-99.0
49,ZTF18aawdpnm,213.8297426674443,16.892158990701375,,,SN Ia,0.0439
50,ZTF18aawmxdx,147.24317566999952,13.984374680000329,,,SN Ia,0.0425
51,ZTF18aawyjjq,263.0588488691358,36.07399610123457,,,SN II,0.04
52,ZTF18aaxasdd,279.99090523636374,59.24159776364945,,,None,-99.0
53,ZTF18aaxjuwy,188.12229424324428,4.888929762163059,,,SN IIn,0.0828
54,ZTF18aaxmixe,216.6673334470608,7.6182433588274705,,,SN Ia,0.08
55,ZTF18aaxnqjb,207.34228194210576,21.0707643579005,,,SN II,0.054
56,ZTF18aaxtcdm,231.54977933067224,6.357181541752169,,,SN Ia,0.075
57,ZTF18aaxwqqn,270.9575348979752,39.87915898246666,,,None,-99.0
58,ZTF18aaxxfgs,232.8085610433831,16.892708725825457,,,SN IIn,0.026
59,ZTF18aaymybb,288.65658586983346,50.48183502428381,,,None,-99.0
60,ZTF18aazjzed,245.80992823111444,65.01023055572753,,,None,-99.0
61,ZTF18aazucuo,286.92992160741187,58.47930292448957,,,None,-99.0
62,ZTF18aazymjy,268.88314248999995,18.55186761,,,None,-99.0
