,ann=0_ztfid,ann=1_ztfid,ann=2_ztfid,ann=3_ztfid,ann=4_ztfid,ann=5_ztfid,ann=6_ztfid,ann=7_ztfid,ann=8_ztfid,ann=9_ztfid,ann=0_d,ann=1_d,ann=2_d,ann=3_d,ann=4_d,ann=5_d,ann=6_d,ann=7_d,ann=8_d,ann=9_d,ann=0_has_tns,ann=1_has_tns,ann=2_has_tns,ann=3_has_tns,ann=4_has_tns,ann=5_has_tns,ann=6_has_tns,ann=7_has_tns,ann=8_has_tns,ann=9_has_tns,ann=0_tns_cls,ann=1_tns_cls,ann=2_tns_cls,ann=3_tns_cls,ann=4_tns_cls,ann=5_tns_cls,ann=6_tns_cls,ann=7_tns_cls,ann=8_tns_cls,ann=9_tns_cls,ann=0_spec_z,ann=1_spec_z,ann=2_spec_z,ann=3_spec_z,ann=4_spec_z,ann=5_spec_z,ann=6_spec_z,ann=7_spec_z,ann=8_spec_z,ann=9_spec_z
0,ZTF17aaahrni,ZTF17aabwial,ZTF21aarenhl,ZTF21abbzjeq,ZTF21aagycrc,ZTF20absvtnc,ZTF20acnvlgg,ZTF21abcgjpw,ZTF21aapkhsc,ZTF21abbliav,0.0,57.4652,61.5365,63.3478,65.8436,65.8997,66.519,67.332,67.3737,68.6402,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,None,None,SN Ia-pec,SN Ia,SN Ia,SN Ia,SN Ia,None,SN Ia,SN Ia,-99.0,-99.0,0.04,0.043,0.068,0.035,0.07,-99.0,0.04,0.049
1,ZTF17aaazdba,ZTF21aamokak,ZTF18acsremz,ZTF21aagmryd,ZTF21abqfbya,ZTF21aajdbhw,ZTF20actskcf,ZTF21aaetnfe,ZTF20abwktfx,ZTF20achawym,0.0,95.373,100.2419,106.4554,108.6,109.7788,112.7106,112.8186,113.999,114.0443,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,TDE,SN Ia,SN Ia,SN Ia,SN Ia-91T-like,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,0.022,0.012,0.025136,0.027489,0.030655,0.04,0.028023,0.04,0.027035,0.02746
2,ZTF17aabwial,ZTF17aaahrni,ZTF19aaioijk,ZTF20abvowvw,ZTF20acnvlgg,ZTF21aairadl,ZTF21aarenhl,ZTF21abcgjpw,ZTF20acwqkuz,ZTF20absvtnc,0.0,57.4652,60.4902,61.9646,64.8463,70.3385,70.4705,70.8852,73.2819,73.9372,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,None,None,None,SN Ia,SN Ia,None,SN Ia-pec,None,SN Ia,SN Ia,-99.0,-99.0,-99.0,0.05,0.07,-99.0,0.04,-99.0,0.08,0.035
3,ZTF17aacmssc,ZTF19acewfeq,ZTF20acmxefw,ZTF20accxaoj,ZTF19abpnryh,ZTF19abauqes,ZTF20acyxxfo,ZTF20abowque,ZTF18acryjql,ZTF20aavbcxh,0.0,32.0255,35.4569,35.8636,37.0034,37.1683,38.3376,38.5834,38.6859,39.2535,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,None,None,None,None,None,None,None,None,None,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
4,ZTF18aaacqmh,ZTF19aamoiui,ZTF21aahpzqi,ZTF18aamzgzi,ZTF21aafepon,ZTF20acynjjo,ZTF18accnimo,ZTF19abdktel,ZTF19acvuann,ZTF21aajxkfu,0.0,114.7865,118.8937,156.497,165.0205,201.2574,204.3611,211.7634,216.0459,220.0215,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,SN Ia,None,None,SN Ia,SN II,SN Ia,None,None,None,None,0.018,-99.0,-99.0,0.0179,0.011791,0.01512,-99.0,-99.0,-99.0,-99.0
5,ZTF18aabdjcx,ZTF21aahdeii,ZTF19abrntzj,ZTF19acplpzt,ZTF19abvqtsj,ZTF19accveao,ZTF19aaahtof,ZTF20acpmfsg,ZTF20acejapm,ZTF20aamdsjp,0.0,41.5402,42.3167,44.6638,45.0921,46.0204,46.7777,47.0333,47.1216,47.3238,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,None,None,None,None,None,None,None,None,None,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
6,ZTF18aabdnbr,ZTF20actoabw,ZTF21abainqp,ZTF21abdaxai,ZTF21abdwpzy,ZTF21aajtqmv,ZTF21aaogiic,ZTF20acpwuem,ZTF21abewpao,ZTF19aazlrsy,0.0,55.8036,56.6839,57.8891,58.2245,60.3573,60.4576,62.1889,62.6444,64.6019,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,None,None,None,None,None,None,None,None,None,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
7,ZTF18aabeszt,ZTF21aaydwzt,ZTF21aabvqlo,ZTF20acowddo,ZTF20acpkled,ZTF20actfeym,ZTF21aawlwoy,ZTF21aanyfqu,ZTF20acrerzb,ZTF21aaxtrlt,0.0,41.9456,42.0588,42.6942,45.2634,46.1667,46.2213,46.8273,47.4566,47.7638,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia-91T-like,0.081,,0.080178,0.073,0.091,0.055905,0.05032,0.067158,0.07,0.08
8,ZTF18aabtkwb,ZTF19aacjhta,ZTF19aaahtof,ZTF18abmoflr,ZTF19aaflsla,ZTF18acetttq,ZTF18acckqig,ZTF19abvqtsj,ZTF19abrntzj,ZTF20aapqsmg,0.0,44.3612,44.5888,45.507,46.768,46.9381,47.4237,48.0532,48.2365,49.0827,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,None,None,None,None,None,None,None,None,None,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
9,ZTF18aabtsqv,ZTF21aagoqez,ZTF21acizkdz,ZTF21aarmvnh,ZTF21aaashlz,ZTF21aaygefv,ZTF21aaawoit,ZTF19aaoloxb,ZTF21aahpsxt,ZTF21abisrrc,0.0,57.5552,61.2982,62.3189,62.4765,62.6115,62.9386,63.5382,64.5373,65.2948,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,None,None,None,None,None,None,None,None,None,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
