ztf_object_id,objID,raMean,decMean,nDetections,pgal_transient
ZTF17aaaaenu,150610273519657838,27.351980990043682,35.514351593308554,61,0.9856250286102295
ZTF17aaaazhi,148190334676288060,33.467597182397725,33.49785992797773,64,0.9991666674613953
ZTF17aaaazmz,150890302783704888,30.27836985252365,35.74521104562506,57,0.9900000095367432
ZTF17aaabghb,106760772362408457,77.23623957446527,-1.0266217913192304,77,0.9902499914169312
ZTF17aaabuab,105220520679517720,52.06799980635531,-2.3106203560318614,77,1.0
ZTF17aaaccjr,113240693351567491,69.33517178282743,4.372475563159542,82,1.0
ZTF17aaaceht,121660558393913436,55.8393985229989,11.385766105501247,62,0.9954166412353516
ZTF17aaadars,113620740081156099,74.00814134485925,4.687996785962388,39,0.9243333339691162
ZTF17aaadlhe,105533393205147512,339.320518675569,-2.0524466520068936,93,1.0
ZTF17aaadqdy,109683523715899191,352.37162166387384,1.4072641626691065,87,1.0
ZTF17aaadqyf,112940039661853875,3.9662219031506893,4.1195010555485,68,1.0
ZTF17aaadvbj,154860074462388607,7.4462473267566525,39.05661031551767,58,0.9991666674613953
ZTF17aaadvbq,157220159388633645,15.938866255197551,41.01918934811061,68,1.0
ZTF17aaadvfh,156720101231743602,10.123149817728358,40.6024588164068,52,0.07958333194255829
ZTF17aaadvfi,156620101356590165,10.13565669490873,40.516311282495366,41,0.9503750205039978
ZTF17aaaehtk,148403466171243782,346.61714056781614,33.669317945770786,63,0.9829166531562805
ZTF17aaaehzh,150503463937143122,346.39368317235744,35.41874783709478,80,0.9708333611488342
ZTF17aaaeqwm,104400051190899811,5.119136986816985,-2.992158855209928,85,1.0
ZTF17aaaesne,149910228771797935,22.8771905849832,34.93110309428649,76,0.9891666769981384
ZTF17aaaessf,149360069947635231,6.99479767152418,34.47048854338335,59,0.9916666746139526
ZTF17aaaeszu,157360068488456275,6.848830250721321,41.138015312386486,78,0.9948333501815796
ZTF17aaafssi,144980220579695150,22.058055623390082,30.820452587570077,90,0.9916666746139526
ZTF17aaafstx,144730222863133332,22.28633541624422,30.610607885673097,70,0.9881666898727417
ZTF17aaafvft,95680326176507329,32.61766327160922,-10.26093648549594,72,0.9984999895095825
ZTF17aaafvsw,103500472186362618,47.218633784808915,-3.7482198943272276,65,0.9805356860160828
ZTF17aaafvwm,103260474717950197,47.47178954,-3.94998634,3,-99.0
ZTF17aaafvwm,103260474718830535,47.47179125138901,-3.9499905365808465,53,0.981083333492279
ZTF17aaafvwp,103600472314322543,47.231419754398935,-3.6649454859084414,60,0.9867916703224182
ZTF17aaahfef,198820858445860764,85.84455618829925,75.6832901794492,58,0.9987499713897705
ZTF17aaahmid,188430984991721091,98.49922710982736,67.02525647999039,78,0.9958333373069763
ZTF17aaahrni,102970804232846942,80.42332211,-4.18624119,4,0.32208332419395447
ZTF17aaaikkq,172931164557701151,116.45585746017554,54.10872882644017,74,0.9937499761581421
ZTF17aaaikuu,183761058908533635,105.89083219912719,63.1357463180246,79,0.997083306312561
ZTF17aaaiujz,167211141963355377,114.19632139209747,49.34554872741963,93,-99.0
ZTF17aaajigm,192071740274048223,174.0273444950801,70.06451442424911,74,1.0
ZTF17aaajmhb,120591552256442330,155.22562070816133,10.493108620045337,76,0.9629583358764648
ZTF17aaajtkd,155680241918808622,24.191912046131105,39.739973816817525,69,-99.0
ZTF17aaajtkt,153080287036617837,28.70368338445127,37.572678259124594,69,0.9825000166893005
ZTF17aaajtpw,154490298424659917,29.842456731382956,38.74941978571662,67,0.9700000286102295
ZTF17aaakiey,102790339579830908,33.95800891210695,-4.341230649755815,62,0.9993749856948853
ZTF17aaakpsh,157910153981999372,15.398227236322517,41.59894512783879,84,1.0
ZTF17aaanjkj,125560679284844264,67.92849851614771,14.636455778062642,65,0.981374979019165
ZTF17aaaosws,97340814372119646,81.4372066766243,-8.87562778741177,82,1.0
ZTF17aaarsja,126030508834492537,50.88345507266397,15.02664869780383,61,0.9848511815071106
ZTF17aaaskut,148310278800302672,27.880052395575817,33.59336023686676,76,0.9867440462112427
ZTF17aaaskvj,152340280149394544,28.014976545564608,36.953248734247246,82,0.9922916889190674
ZTF17aaaslay,147560282198509861,28.219864235530984,32.97438156028352,70,-99.0
ZTF17aaaslcd,147840344550271288,34.45503847356199,33.20057873806581,62,0.9529880881309509
