ztf_object_id,feature_amplitude_magn_r,feature_anderson_darling_normal_magn_r,feature_beyond_1_std_magn_r,feature_beyond_2_std_magn_r,feature_cusum_magn_r,feature_inter_percentile_range_2_magn_r,feature_inter_percentile_range_10_magn_r,feature_inter_percentile_range_25_magn_r,feature_kurtosis_magn_r,feature_linear_fit_slope_magn_r,feature_linear_fit_slope_sigma_magn_r,feature_magnitude_percentage_ratio_40_5_magn_r,feature_magnitude_percentage_ratio_20_5_magn_r,feature_mean_magn_r,feature_median_absolute_deviation_magn_r,feature_percent_amplitude_magn_r,feature_median_buffer_range_percentage_10_magn_r,feature_median_buffer_range_percentage_20_magn_r,feature_percent_difference_magnitude_percentile_5_magn_r,feature_percent_difference_magnitude_percentile_10_magn_r,feature_skew_magn_r,feature_standard_deviation_magn_r,feature_stetson_k_magn_r,feature_weighted_mean_magn_r,feature_anderson_darling_normal_flux_r,feature_cusum_flux_r,feature_excess_variance_flux_r,feature_kurtosis_flux_r,feature_mean_variance_flux_r,feature_skew_flux_r,feature_stetson_k_flux_r,feature_amplitude_magn_g,feature_anderson_darling_normal_magn_g,feature_beyond_1_std_magn_g,feature_beyond_2_std_magn_g,feature_cusum_magn_g,feature_inter_percentile_range_2_magn_g,feature_inter_percentile_range_10_magn_g,feature_inter_percentile_range_25_magn_g,feature_kurtosis_magn_g,feature_linear_fit_slope_magn_g,feature_linear_fit_slope_sigma_magn_g,feature_magnitude_percentage_ratio_40_5_magn_g,feature_magnitude_percentage_ratio_20_5_magn_g,feature_mean_magn_g,feature_median_absolute_deviation_magn_g,feature_median_buffer_range_percentage_10_magn_g,feature_median_buffer_range_percentage_20_magn_g,feature_percent_amplitude_magn_g,feature_percent_difference_magnitude_percentile_5_magn_g,feature_percent_difference_magnitude_percentile_10_magn_g,feature_skew_magn_g,feature_standard_deviation_magn_g,feature_stetson_k_magn_g,feature_weighted_mean_magn_g,feature_anderson_darling_normal_flux_g,feature_cusum_flux_g,feature_excess_variance_flux_g,feature_kurtosis_flux_g,feature_mean_variance_flux_g,feature_skew_flux_g,feature_stetson_k_flux_g,gmomentXX,gmomentXY,gmomentYY,gmomentR1,gmomentRH,gPSFFlux,gApFlux,gKronFlux,gKronRad,gExtNSigma,rmomentXX,rmomentXY,rmomentYY,rmomentR1,rmomentRH,rPSFFlux,rApFlux,rKronFlux,rKronRad,rExtNSigma,imomentXX,imomentXY,imomentYY,imomentR1,imomentRH,iPSFFlux,iApFlux,iKronFlux,iKronRad,iExtNSigma,zmomentXX,zmomentXY,zmomentYY,zmomentR1,zmomentRH,zPSFFlux,zApFlux,zKronFlux,zKronRad,zExtNSigma,ymomentXX,ymomentXY,ymomentYY,ymomentR1,ymomentRH,yPSFFlux,yApFlux,yKronFlux,yKronRad,yExtNSigma,i-z,gApMag_gKronMag,rApMag_rKronMag,iApMag_iKronMag,zApMag_zKronMag,yApMag_yKronMag,7DCD,dist/DLR,has_tns,tns_cls,spec_z,report_group
ZTF17aaazdba,1.95959997177124,0.6064185253701478,0.25,0.2236067977499789,0.4191841687596642,3.903300097345891,3.1146998405456543,2.077588558197021,-0.4968469920398196,0.0067279200361799,-3.941583325628959,0.100743413387654,0.7326965681750355,16.607595038414,0.4042425155639648,3.3663034439086914,0.2,0.5,-0.6482916168781534,-0.7101876457523575,0.9093660116272884,1.2746581771456813,0.8149409410027039,15.911002513824611,0.198834792420463,0.4325081007957965,0.7348931297490404,-1.1156510906549928,-0.1993930183597642,-0.3236697631883248,0.9362072280919492,2.1430001258850098,0.7471715237152153,0.4722222222222222,0.0,0.4761957684985048,4.036289726162181,3.697981431631888,2.910789966583252,-1.3274384496998095,0.0119151418602068,-4.081676348538172,0.5795091956364834,0.7874198518187797,17.34387705061171,0.9679155349731444,0.1666666666666666,0.3055555555555556,2.891749382019043,-0.6734204825694986,-0.6913579248231231,-0.196339259593597,1.4943488108764993,0.894141887991683,15.91755330410507,0.8597995847327679,0.4607251940111976,1.0313261277731876,-1.0407023788486485,0.0205704771853744,0.5979877048362737,0.7499662381703466,0.2965979874134063,-0.0085755800828337,0.3046309947967529,4.743879795074463,1.105239987373352,0.0011235299753025,0.0017792700091376,0.0033131800591945,11.859700202941896,12.928799629211426,0.1999199986457824,-0.0033028800971806,0.2075559943914413,5.225339889526367,1.0076099634170532,0.0013673299690708,0.0022688598837703,0.0052142599597573,13.063300132751465,12.210700035095217,0.2867859899997711,-0.0043498598970472,0.2922469973564148,5.548719882965088,1.1122900247573853,0.0015348700108006,0.0029917999636381,0.0066613098606467,13.871800422668455,19.254600524902344,0.2050260007381439,-0.00240183994174,0.2140990048646927,5.399159908294678,1.0257799625396729,0.00152602000162,0.0029646500479429,0.0074200700037181,13.497900009155272,15.997699737548828,0.1989569962024688,-0.0009076800197362,0.2084829956293106,5.349679946899414,1.021589994430542,0.0017690300010144,0.0033831400796771,0.0085625099018216,13.374199867248535,22.90439987182617,-0.0099000930786132,0.6750001907348633,0.9034996032714844,0.8691005706787092,0.9961004257202148,1.0082006454467756,127.853676319866,0.00867265229179,Yes_TNS,TDE,0.022,ASAS-SN
ZTF17aacumqt,0.3906002044677734,-0.1620032089911855,0.3809523809523809,0.0,0.2148380435284451,0.7812004089355469,0.6737849921273664,0.436924934387207,-1.050319248175239,-3.167843814940014e-05,-4.227614644722939,0.2495422827267186,0.6275094715862911,17.376539684477308,0.2458992004394531,0.425201416015625,0.0476190476190476,0.0952380952380952,-1.3575190310351204,-1.4109758642531545,-0.1853200998942079,0.2551252039678749,0.8345697211620052,17.321744381057197,-0.1619561814402854,0.2140589790220797,0.3669080156238047,-0.7542683667976926,-0.6230162069658942,0.4615588405904054,0.857897597130577,0.5714006423950195,-0.3950335546303346,0.3333333333333333,0.0,0.1796646781391323,1.142801284790039,1.032560280933012,0.4791984558105469,-0.4974508899136032,0.0002564752798717,-4.033341951731006,0.1125137290301533,0.4805664946024733,18.548028310139973,0.2496786117553711,0.1666666666666666,0.3333333333333333,0.691950798034668,-1.2208010423949678,-1.2534123957240175,0.4831082699768553,0.3498633548687739,0.8185260555712355,18.44420379294491,-0.6138398923575872,0.1905376525254271,0.4217210355284513,-0.7135727674940061,-0.5224239818886367,0.0588745567373198,0.829139108253834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes_TNS,M dwarf,,ZTF
ZTF17aadlxmv,0.9238500595092772,-0.3076505587384223,0.3684210526315789,0.2294157338705617,0.3632829621106744,1.847700119018555,1.2190934300062963,0.7925996780395508,0.4147119868189946,0.0046885239193344,-3.2776634727084737,0.0845949918597249,0.5597152815321806,18.580516614412005,0.37030029296875,1.1688003540039062,0.2631578947368421,0.3684210526315789,-1.0614112108518905,-1.1841805131975724,0.6152810820989993,0.4979251377202413,0.8974334548303484,18.375591390397904,-0.1622878295240792,0.3739795434099351,0.5408295799026144,-0.9321668040654978,-0.3857752994082725,0.246930345254299,0.7750765202277768,1.1224002838134766,-0.2217051486893483,0.2307692307692307,0.0,0.397583792493542,2.244800567626953,2.000879623706169,1.1557750701904297,-0.412268431121372,0.0044945253633314,-3.451435455704105,0.0991326942653844,0.5986137150717232,19.295607786912186,0.4980010986328125,0.2307692307692307,0.3846153846153846,1.5233993530273438,-0.9471478949036471,-0.98816505544292,-0.7369128942492225,0.7288896117614648,0.8725051915930457,18.803876011620947,0.1837486421079338,0.3867598403595947,0.8483973435328998,1.0899193092977493,-0.1019659266508632,1.2197528156922606,0.7343274077373315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes_TNS,SN Ia,0.062,ZTF
ZTF18aaacqmh,0.0866003036499023,-0.0296934141653335,0.2361111111111111,0.2357022603955158,0.1782785847951458,0.1339071935938136,0.0716619412069121,0.0301065444946289,1.2159695466051943,-3.810654490037752e-05,-4.573166518194018,0.1057900689501417,0.3705615212702592,17.760751061969334,0.015115737915039,0.0903511047363281,0.3194444444444444,0.5694444444444444,-2.2661813646644786,-2.394199638495881,-0.2683291565595306,0.028645851049412,0.7458389197990531,17.76137837029824,0.0039132068671055,0.1771731616647277,-0.1180574706000293,1.2468965371059766,-1.5769641304064417,0.392509506480218,0.7452509924210156,0.209228515625,0.0749984939369537,0.2545454545454545,0.1906925178491184,0.190821435734449,0.3835628501833525,0.188699722290039,0.1065201759338378,0.7415961442279273,-9.969218523250796e-05,-3.9799199822305047,0.1227445297510805,0.4453569785384083,19.26087480024858,0.0391006469726562,0.2727272727272727,0.5454545454545454,0.2875576019287109,-1.8013676046602314,-2.009468652154174,-0.7007347853301101,0.0863796130799414,0.8073979785180254,19.26743910246836,0.1752673252705159,0.1869393764874488,-0.2725429530151064,1.139005100316293,-1.085872323358006,0.8936917337355459,0.7980599033289714,0.3651059865951538,-0.0045326999388635,0.3623499870300293,10.521599769592283,1.2022199630737305,0.0021027899347245,0.0049098599702119,0.0214325003325939,26.304100036621094,33.3025016784668,0.3124139904975891,-0.0033497000113129,0.3106530010700226,9.892200469970703,1.1572099924087524,0.0036872299388051,0.0087789501994848,0.0384447984397411,24.730499267578125,25.579200744628903,0.2878729999065399,-0.0042781699448823,0.2845300137996673,10.247200012207031,1.1323299407958984,0.0048094498924911,0.0123623004183173,0.055945299565792,25.617900848388672,18.98649978637696,0.2990739941596985,-0.0057284501381218,0.2944959998130798,10.134699821472168,1.1416800022125244,0.0069315200671553,0.0160409994423389,0.0690637975931167,25.336700439453125,21.999799728393555,0.2174009978771209,-0.0028637798968702,0.2166880071163177,10.251999855041504,1.0609699487686155,0.0073434798978269,0.0158981997519731,0.084366001188755,25.63010025024414,30.79459953308105,0.2828998565673846,1.6000003814697248,1.6035003662109375,1.6392002105712873,1.5850000381469709,1.811999320983885,153.60887702643487,0.4389448352130026,Yes_TNS,SN Ia,0.018,ASAS-SN
ZTF18aabasml,0.3443002700805664,0.0765227280241307,0.1724137931034483,0.2626128657194451,0.1883456632135247,0.6702272863868757,0.2356886597444827,0.0910658836364746,2.0728575010610286,-2.949379640467712e-05,-4.2450926337320976,0.0936657187050611,0.296153189101938,18.8085476447796,0.040384292602539,0.416900634765625,0.4137931034482758,0.6206896551724138,-1.601814805365635,-1.901960073856208,-0.8439734185240555,0.1273650909230217,0.6427566769769193,18.818294987456124,0.197623480061552,0.179196335237167,0.1738246645840814,2.5343222633235047,-0.9027785404024056,1.3169346000194715,0.6622070719662242,0.1266946792602539,-0.5493829227034636,0.2962962962962963,0.1924500897298752,0.19459641588854,0.2513584936878033,0.1753745926298506,0.061319351196289,0.0640501189287372,0.0001309033653708,-4.301451850389165,0.1738242078254028,0.4168673129516763,18.43619014598705,0.0314006805419921,0.1851851851851851,0.2962962962962963,0.1561431884765625,-1.9431416374974235,-2.021876677043725,-0.4132345514079723,0.0623632315944187,0.7485799566962408,18.401008333977373,-0.4520482375693561,0.1906158702121816,-0.144537466519926,0.2626823590826804,-1.2356637934643002,0.5485395172445807,0.7217022314334657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes_TNS,SN Ia,0.047,ASAS-SN
ZTF18aabeszt,0.8638248443603516,-0.4329788088180292,0.3529411764705882,0.2425356250363329,0.4024154694389297,1.7276496887207031,1.124861459148633,0.7194690704345703,0.0155704264697162,0.0118971378511087,-2.7347089379806686,0.1437847638950423,0.6423287734820228,19.053759070003736,0.4120159149169922,1.1936798095703125,0.1176470588235294,0.3529411764705882,-1.0948493501811336,-1.226959501232398,0.5708114452550132,0.4826178051383619,0.8412417391422388,18.830082949759174,-0.3880664891076895,0.4101518054421411,0.5311467454545957,-0.913683748397919,-0.3981061205848882,0.1821561588853065,0.7941846170209169,1.1143264770507812,-0.3208166747962388,0.4375,0.0,0.4154181766688546,2.2286529541015625,2.043853722516588,1.2586641311645508,-0.9370940679048182,0.026615524780135,-2.6028495600698243,0.2079845534696525,0.7781159930701913,19.164225816726685,0.6061277389526367,0.125,0.1875,1.4359407424926758,-0.9418074093382802,-0.969291477918258,0.4166142661457532,0.7633501804078396,0.902986448037914,18.71358135278008,-0.2477306221127837,0.4214377556697444,0.7002711580388604,-1.105363892859635,-0.2256033269218003,0.314471037110172,0.8643342120908061,0.3470900058746338,-0.0063795200549066,0.3162730038166046,4.8285298347473145,1.206429958343506,6.858060078229755e-05,0.0002014839992625,0.0007208259776234,12.07129955291748,36.82820129394531,0.290010005235672,-0.0051993899978697,0.2619749903678894,4.858500003814697,1.1443300247192385,0.0001192830022773,0.0003395089879631,0.0012069599470123,12.146300315856934,27.95059967041016,0.2772470116615295,-0.0046199201606214,0.2528499960899353,4.697959899902344,1.129770040512085,0.0001791539980331,0.0004337260033935,0.0016003199853003,11.74489974975586,30.61969947814941,0.251237004995346,-0.0039564501494169,0.2304320037364959,4.455560207366943,1.0873500108718872,0.0002060160040855,0.0005199550068937,0.0017644499894231,11.13889980316162,36.45439910888672,0.2659800052642822,-0.0038412900175899,0.2423990070819854,4.020679950714111,1.1045600175857544,0.0002760410134214,0.0005938939866609,0.0019029399845749,10.0516996383667,32.51839828491211,0.1968994140625,1.3840007781982386,1.3770999908447266,1.417499542236328,1.3266000747680664,1.2643003463745135,13.694428437504,0.1559723323462,Yes_TNS,SN Ia,0.081,ALeRCE
ZTF18aabukgo,1.1361494064331057,0.052519394028503,0.2727272727272727,0.0,0.4085726647397961,2.272298812866211,1.9977389728881008,1.249958038330078,-0.553871937161547,-0.0005630737331677,-3.398943081004284,0.1246408186199114,0.7218001084052909,18.488385980779476,0.2406444549560547,1.7614002227783203,0.1818181818181818,0.3636363636363636,-0.9215929061441328,-0.9731244850958928,-0.9087995038646766,0.8058778282713792,0.9481419400827416,17.738352666500543,0.2340498506915313,0.4071759815204916,0.9185115644256646,0.6715306799137546,-0.0531813450190398,1.1594209196172751,0.7095524195247499,0.7575006484985352,-0.2572091576424458,0.2,0.0,0.4366783501152279,1.5150012969970703,1.5150012969970703,1.374743938446045,-1.8672583889680936,0.0269205544791088,-2.570612131025442,0.4382806431347468,0.9382806431347468,19.3260181427002,0.0362014770507812,0.6,0.6,1.478799819946289,-1.117773916593558,-1.117773916593558,-0.6002908408741594,0.7755076123059321,0.9746950627231326,19.24833141033557,-0.2774240752826596,0.4336586670679545,0.7862536857290652,-1.7520321249526931,-0.1452123680640365,0.6531330207274813,0.8014295494689792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes_TNS,SN Ia,0.02611,GaiaAlerts
ZTF18aacdbzx,0.3934774398803711,-0.2250292748601433,0.2,0.3162277660168379,0.362303519745368,0.7869548797607422,0.54522705078125,0.2578010559082031,1.8335863095783045,0.012662836168093,-2.2949002625131474,0.1116965711806607,0.356627992370168,19.28474540710449,0.1050004959106445,0.583404541015625,0.2,0.2,-1.3880644605575363,-1.547436898563207,1.2186569601972157,0.2241692493120514,0.7438013587369261,19.240257018228064,-0.4472566198799011,0.3777449882281899,0.2561769747161994,1.1583900718070876,-0.7370923192841732,-0.8948864679401054,0.7577691965990023,0.2479496002197265,-0.5412258084539074,0.2857142857142857,0.0,0.3975789772884118,0.4958992004394531,0.4547191089797024,0.2684993743896484,-0.3309428957749183,0.0118822969660729,-2.035750972936705,0.2879624771155006,0.6263148031973893,19.62014280046736,0.1378002166748047,0.1428571428571428,0.1428571428571428,0.3239002227783203,-1.5969534850215132,-1.6346036878308066,0.6534179212891436,0.1807263939800132,0.8884296750416836,19.56937179043561,-0.581496654500923,0.4014709527738943,-0.1302274133184544,-0.8374204907511107,-0.7975779495734486,-0.4517868666012743,0.8493636400385626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes_TNS,SN Ic-BL,0.08,ZTF
ZTF18aacnlxz,0.3011770248413086,-0.5151755009890512,0.4,0.0,0.3949439284979255,0.6023540496826172,0.5249156951904297,0.2488899230957031,-0.3687863100218059,0.0214979126378879,-2.2921721819393834,0.2167463039134661,0.5780381688816271,19.334901809692383,0.1256685256958007,0.3912544250488281,0.2,0.2,-1.5059967846635374,-1.5657590606116298,0.6238906028115696,0.1977800502627733,0.7846587038444911,19.319791224571865,-0.6112466459945526,0.396310794430495,0.1871973539322446,-0.7776617137304301,-0.7611078924324023,-0.3801802206358257,0.795483030689132,0.6436262130737305,-0.2418519508636518,0.25,0.0,0.4171491354064561,1.287252426147461,1.1910201465698265,0.7727441787719727,-0.5773533204379508,0.0339561334563329,-2.292933012742812,0.1641268536013581,0.7207067745358826,19.41796851158142,0.2281827926635742,0.25,0.25,1.044764518737793,-1.1740226902739346,-1.2077673015046977,0.8342866846187087,0.4846296320972416,0.8463292609894129,19.2729691794542,-0.3631000416875747,0.4225998158340378,0.4944156023950139,-1.145689679351635,-0.4275861064473116,-0.5517491113497789,0.9247472707642412,0.2158329933881759,-0.0085358498618006,0.2441769987344741,1.3034199476242063,0.9337520003318788,9.695730113890022e-05,0.0001207719978992,0.0001164229979622,3.2585599422454834,6.040480136871338,0.2159329950809478,-0.0045182998292148,0.2534990012645721,1.3877500295639038,0.9494109749794006,6.482990283984691e-05,8.679200254846364e-05,8.685619832249358e-05,3.469360113143921,7.516429901123047,0.1730850040912628,-0.0033631001133471,0.2023629993200302,1.3119699954986572,0.9166550040245056,9.26096035982482e-05,0.0001266879989998,0.000125909995404,3.2799301147460938,6.034900188446045,0.1467829942703247,-0.001018280046992,0.180303007364273,1.229889988899231,0.8725240230560303,7.25228019291535e-05,0.0001061599978129,0.0001056409964803,3.074709892272949,10.668100357055664,0.1364160031080246,-0.006445359904319,0.1475549936294555,1.1640499830245972,0.8232210278511047,6.930350355105475e-05,0.0001129559968831,0.0001244909944944,2.9101099967956543,11.637299537658691,-0.1919002532958984,-0.039798736572262,0.0008010864257848,-0.0067005157470703,-0.0053005218505859,0.1054992675781285,140.93145543643027,0.1724882793537205,Yes_TNS,SN II,0.072475,ZTF
ZTF18aadlaxo,0.4003486633300781,-0.3337437467078445,0.1111111111111111,0.3333333333333333,0.3798925045489837,0.8006973266601562,0.6484891712242415,0.3273143768310547,1.0919789224136671,0.0197878159613941,-2.315521733137677,0.2650201370189524,0.4783733349832764,18.471850925021705,0.1927547454833984,0.5563545227050781,0.1111111111111111,0.1111111111111111,-1.3627141133258247,-1.454279763400316,0.9733324822729056,0.2583999836696819,0.8186227419414419,18.41048712343285,-0.4520183004629267,0.4009881036248657,0.3357043278673166,-0.1146725206909875,-0.6673661685722954,-0.6255209064183165,0.7713660771872511,0.9536800384521484,-0.2474888719047771,0.2727272727272727,0.0,0.4096618718279532,1.9073600769042969,1.5397756192394354,1.1135272979736328,-0.27402447440288,0.0027584671137644,-2.2417185295912945,0.2373816398861859,0.6823965359394234,18.82535674355247,0.3882102966308594,0.1818181818181818,0.1818181818181818,1.5064144134521484,-0.99595484121706,-1.0818987228895711,0.7653587741853304,0.6395449745052157,0.8430070029951079,18.49200968113397,-0.3651674565654265,0.4293109860778204,0.5985735106005315,-1.2075858127071006,-0.3233204245338817,-0.1845073423158148,0.8616443351539561,0.2920520007610321,0.0042074001394212,0.3195720016956329,3.851300001144409,1.1233400106430054,0.0002651090035215,0.0005125610041432,0.0009028789936564,9.628259658813477,22.86680030822754,0.2070149928331375,0.0007691510254517,0.2263810038566589,4.316669940948486,1.0317800045013428,0.0005225460045039,0.0009766960283741,0.0019925900269299,10.79170036315918,20.617000579833984,0.2224059998989105,0.0014224300393834,0.2358520030975341,4.279170036315918,1.0472899675369265,0.0007628310122527,0.0014410100411623,0.0029008199926465,10.69789981842041,15.690500259399414,0.2325520068407058,0.002329170005396,0.2468149960041046,4.199580192565918,1.05649995803833,0.000945393985603,0.0018012300133705,0.0036139099393039,10.49899959564209,22.846799850463867,0.2212920039892196,0.0051167299970984,0.2347459942102432,4.037189960479736,1.0453399419784546,0.0011902099940925,0.0022185000125318,0.0044413302093744,10.093000411987305,18.87700080871582,0.2421998977661132,0.6147003173828125,0.7741003036499023,0.7595996856689453,0.7559995651245117,0.7536993026733398,62.02269496815133,0.0364860329660172,Yes_TNS,SN Ia,0.052953,ZTF
