ztf_object_id,objID_x,raMean_x,decMean_x,nDetections_x,pgal_host,objID_y,raMean_y,decMean_y,nDetections_y,pgal_transient
ZTF17aaadvfh,156720101231743602,10.123149817728358,40.6024588164068,52,0.07958333194255829,156720101231743602,10.123149817728358,40.6024588164068,52,0.07958333194255829
ZTF17aaahrni,102970804180328356,80.4180187670892,-4.184978506833091,46,0.004166666883975267,102970804232846942,80.42332211,-4.18624119,4,0.32208332419395447
ZTF17aaaiujz,167221141795271735,114.17955370912101,49.35077209813193,24,0.0024999999441206455,167211141963355377,114.19632139209747,49.34554872741963,93,-99.0
ZTF17aaajtkd,155680241918808622,24.191912046131105,39.739973816817525,69,-99.0,155680241918808622,24.191912046131105,39.739973816817525,69,-99.0
ZTF17aaaslay,147560282198509861,28.219864235530984,32.97438156028352,70,-99.0,147560282198509861,28.219864235530984,32.97438156028352,70,-99.0
ZTF17aaaswgd,114990744991528047,74.49919073124883,5.831305272753319,103,-99.0,114990744991528047,74.49919073124883,5.831305272753319,103,-99.0
ZTF17aaaszpi,107860779037007476,77.90390617552947,-0.11083972292205652,30,-99.0,107850779036737140,77.90369776788341,-0.1193963928631024,83,-99.0
ZTF17aaatuld,152420291435071321,29.14347907876995,37.0172503822261,63,0.013958333060145378,152410291469574894,29.14700760270481,37.011882189914324,64,-99.0
ZTF17aaatuld,152420291435071321,29.14347907876995,37.0172503822261,63,0.013958333060145378,152410291470514558,29.14698222,37.0116383,3,-99.0
ZTF17aaatxql,146980337274995451,33.727488171398925,32.48738867597735,60,-99.0,146980337274995451,33.727488171398925,32.48738867597735,60,-99.0
ZTF17aaatyyh,144710327674332078,32.76745613570065,30.592904599066646,38,0.38127976655960083,144690327642379983,32.76419986,30.58281495,2,-99.0
ZTF17aaatyyh,144710327674332078,32.76745613570065,30.592904599066646,38,0.38127976655960083,144700327639410116,32.76395529084358,30.582942342200177,72,-99.0
ZTF17aaaxdcl,152480002202119971,0.22023202273017006,37.07442622133549,49,-99.0,152480002202119971,0.22023202273017006,37.07442622133549,49,-99.0
ZTF17aaazdba,135171233206158525,123.32062489553506,22.648309401118688,76,0.07887499779462814,135171233206158525,123.32062489553506,22.648309401118688,76,0.07887499779462814
ZTF17aaazoyj,152210121043650767,12.104418451521648,36.84180903810777,50,-99.0,152210121043650767,12.104418451521648,36.84180903810777,50,-99.0
ZTF17aaazqqd,153910158380956852,15.838114560438413,38.263524233878414,65,-99.0,153910158380956852,15.838114560438413,38.263524233878414,65,-99.0
ZTF17aaazqqf,153810158856466536,15.885622284158957,38.179941657577054,61,0.0,153810158815128641,15.88151361,38.18178358,2,-99.0
ZTF17aaazxth,157160100088744682,10.008899360734846,40.96996280218519,78,-99.0,157160100088744682,10.008899360734846,40.96996280218519,78,-99.0
ZTF17aaazxtr,157410099631775266,9.963072162055608,41.178960186233105,21,0.02462499961256981,157410099639498524,9.963935592187754,41.18150516098636,76,-99.0
ZTF17aaazxtv,156790099311574837,9.931322565945852,40.66180584002598,57,-99.0,156790099311574837,9.931322565945852,40.66180584002598,57,-99.0
ZTF17aabatmu,183541187776411076,118.77771482249987,62.950252581935544,90,-99.0,183541187776411076,118.77771482249987,62.950252581935544,90,-99.0
ZTF17aabaujm,158260109813280030,10.981359941136816,41.88281396332834,65,-99.0,158260109813280030,10.981359941136816,41.88281396332834,65,-99.0
ZTF17aabaynv,183751213763860933,121.37635813201229,63.12510233864207,96,-99.0,183751213763860933,121.37635813201229,63.12510233864207,96,-99.0
ZTF17aabbksz,152260096985299664,9.698542110179503,36.8908661941086,62,-99.0,152260096985299664,9.698542110179503,36.8908661941086,62,-99.0
ZTF17aabbvoz,157490105181966794,10.518230987142672,41.246726082077274,13,0.022083332762122154,157490105139855468,10.51397630017234,41.24561956523223,46,-99.0
ZTF17aabbyme,87220766629983428,76.66320866,-17.31421967,5,-99.0,87220766629983428,76.66320866,-17.31421967,5,-99.0
ZTF17aabbyme,87220766629983428,76.66320866,-17.31421967,5,-99.0,87220766632513182,76.66325584323987,-17.31430380956149,81,-99.0
ZTF17aabbyme,87220766629983428,76.66320866,-17.31421967,5,-99.0,87220766635563527,76.6634024,-17.31406774,3,-99.0
ZTF17aabbyme,87220766632513182,76.66325584323987,-17.31430380956149,81,-99.0,87220766629983428,76.66320866,-17.31421967,5,-99.0
ZTF17aabbyme,87220766632513182,76.66325584323987,-17.31430380956149,81,-99.0,87220766632513182,76.66325584323987,-17.31430380956149,81,-99.0
ZTF17aabbyme,87220766632513182,76.66325584323987,-17.31430380956149,81,-99.0,87220766635563527,76.6634024,-17.31406774,3,-99.0
ZTF17aabbyme,87220766635563527,76.6634024,-17.31406774,3,-99.0,87220766629983428,76.66320866,-17.31421967,5,-99.0
ZTF17aabbyme,87220766635563527,76.6634024,-17.31406774,3,-99.0,87220766632513182,76.66325584323987,-17.31430380956149,81,-99.0
ZTF17aabbyme,87220766635563527,76.6634024,-17.31406774,3,-99.0,87220766635563527,76.6634024,-17.31406774,3,-99.0
ZTF17aabbzxw,85520813434666181,81.34346750634097,-18.728497506717474,12,0.0063333334401249886,85530813392821455,81.33927929995743,-18.724066511916384,88,-99.0
ZTF17aabceah,88770810796815180,81.07979856533568,-16.021011445481523,69,-99.0,88770810796815180,81.07979856533568,-16.021011445481523,69,-99.0
ZTF17aabceah,88770810796815180,81.07979856533568,-16.021011445481523,69,-99.0,88770810801224611,81.07988112,-16.02136039,3,-99.0
ZTF17aabcfon,84300803500403929,80.35032304,-19.74700184,3,-99.0,84300803500403929,80.35032304,-19.74700184,3,-99.0
ZTF17aabcfon,84300803500403929,80.35032304,-19.74700184,3,-99.0,84300803502314206,80.35032486,-19.74699123,20,-99.0
ZTF17aabcfon,84300803502314206,80.35032486,-19.74699123,20,-99.0,84300803500403929,80.35032304,-19.74700184,3,-99.0
