ZTFID,HOST_RA,HOST_DEC
ZTF21aaublej,262.60481288,37.00892855
ZTF21abbkefe,239.53944096,12.04586371
ZTF21aafgljq,102.43991293,50.43711676
ZTF20abqaqgv,356.31984771,21.35877092
ZTF21absvlrr,11.90807075,-20.51952089
ZTF20acucbek,153.36509667,35.95509156
ZTF20aczgoml,226.09759321,35.8983074
ZTF21abrxoir,340.60347599,6.96339939
ZTF21abqsysj,335.52131278,19.8754704
