ZTFID,ANN_NUM,IAU_NAME,SPEC_CLS,Z
ZTF21aaublej,0,2021ixf,SN Ia,0.041
ZTF21abbkefe,1,2021mid,SN Ia,0.041542
ZTF21aafgljq,2,2021ars,SN Ia,0.05
ZTF20abqaqgv,3,2020qqn,SN Ia,0.045
ZTF21absvlrr,4,2021vtq,SN Ia,0.0208
ZTF20acucbek,5,2020abcl,SN Ia,0.03889
ZTF20aczgoml,6,2020adis,SN Ia-91T-like,0.0453189984
ZTF21abrxoir,7,2021vju,SN Ia,0.026657
ZTF21abqsysj,8,2021vpv,SN Ia-91T-like,0.04
