# CREATED_DATE: 2020-12-09T21:31:40.767Z
# MODIFIED_DATE: 2022-03-15T23:27:22.676Z
# STATUS: NeedsTemplate
# OBS_GROUP: Unknown
# NON_DETECT_BAND: ZTF-Cam - r-ZTF
# BEST_SPEC_CLASS: SN IIn
# PHOTO_CLASS: SN Ib/c
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: PSO J094456.578+310552.293; (09:44:56.58, +31:05:52.26)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020acct
# RA: 146.233562944998
# DEC: 31.0960382187106
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-12-10T10:09:07.200Z
# REDSHIFT: 0.035
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-12-07T11:11:02Z
# NON_DETECT_LIMIT: 16.75
# MW_EBV: 0.026
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10LYSEnkg/59192/1094456061310545600_59192.649_110977480_101_target.jpeg
# POSTAGE_STAMP_REF: 10LYSEnkg/59192/1094456061310545600_59192.649_110977480_101_ref.jpeg
# POSTAGE_STAMP_DIFF: 10LYSEnkg/59192/1094456061310545600_59192.649_110977480_101_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10LYSEnkg/59192/1094456061310545600_59192.649_110977480_101_target.fits
# POSTAGE_STAMP_REF_FITS: 10LYSEnkg/59192/1094456061310545600_59192.649_110977480_101_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10LYSEnkg/59192/1094456061310545600_59192.649_110977480_101_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN IIn
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: None
# SLUG: 2020acct
# REAL_BOGUS_SCORE: 0.99761
# HAS_HST: True
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [10, 29, 30, 33, 52, 77]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      59193.423  g-ZTF  5604.566  363.068  18.129  0.070  None  P48  ZTF-Cam  None
OBS:      59193.489  r-ZTF  4306.193  226.745  18.415  0.057  None  P48  ZTF-Cam  None
OBS:      59195.498  r-ZTF  6560.263  377.669  17.958  0.063  None  P48  ZTF-Cam  None
OBS:      59198.393  g-ZTF  6013.302  322.329  18.052  0.058  None  P48  ZTF-Cam  None
OBS:      59198.474  r-ZTF  5698.716  254.709  18.111  0.049  None  P48  ZTF-Cam  None
OBS:      59200.424  g-ZTF  4467.126  437.290  18.375  0.106  None  P48  ZTF-Cam  None
OBS:      59200.509  r-ZTF  4679.674  334.620  18.324  0.078  None  P48  ZTF-Cam  None
OBS:      59203.409  g-ZTF  2899.194  257.406  18.844  0.096  None  P48  ZTF-Cam  None
OBS:      59203.472  r-ZTF  3442.274  253.566  18.658  0.080  None  P48  ZTF-Cam  None
OBS:      59248.402  g-ZTF  959.337  161.032  20.045  0.182  None  P48  ZTF-Cam  None
OBS:      59250.342  r-ZTF  2541.247  223.719  18.987  0.096  None  P48  ZTF-Cam  None
OBS:      59252.302  r-ZTF  2776.967  202.808  18.891  0.079  None  P48  ZTF-Cam  None
OBS:      59252.388  g-ZTF  3098.940  215.943  18.772  0.076  None  P48  ZTF-Cam  None
OBS:      59254.291  g-ZTF  3367.053  191.372  18.682  0.062  None  P48  ZTF-Cam  None
OBS:      59254.386  r-ZTF  3084.710  255.876  18.777  0.090  None  P48  ZTF-Cam  None
OBS:      59256.306  g-ZTF  3187.152  259.664  18.741  0.088  None  P48  ZTF-Cam  None
OBS:      59256.406  r-ZTF  2995.516  186.909  18.809  0.068  None  P48  ZTF-Cam  None
OBS:      59264.298  r-ZTF  2066.833  154.136  19.212  0.081  None  P48  ZTF-Cam  None
OBS:      59264.331  g-ZTF  1550.388  206.513  19.524  0.145  None  P48  ZTF-Cam  None
OBS:      59266.257  r-ZTF  2006.852  256.688  19.244  0.139  None  P48  ZTF-Cam  None
OBS:      59268.298  r-ZTF  1369.217  188.874  19.659  0.150  None  P48  ZTF-Cam  None
OBS:      59623.345  r-ZTF  364.351  297.076  21.096  0.885  None  P48  ZTF-Cam  None
