# CREATED_DATE: 2020-03-04T13:22:33.318Z
# MODIFIED_DATE: 2023-06-13T13:28:06.292Z
# STATUS: Ignore
# OBS_GROUP: YSE
# NON_DETECT_BAND: ZTF-Cam - g-ZTF
# BEST_SPEC_CLASS: SN Ia
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: 1014715/14395413-0741163/98772199757085099; (14:39:54.13, -07:41:16.32)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020dyc
# RA: 219.97502585840857
# DEC: -7.688293040401699
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-03-21T00:00:00Z
# REDSHIFT: 0.07
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-02-16T12:58:01Z
# NON_DETECT_LIMIT: 19.8609
# MW_EBV: 0.055
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10CYSEbcw/58929/1143954000074117900_58929.594_102494819_103_target.jpeg
# POSTAGE_STAMP_REF: 10CYSEbcw/58929/1143954000074117900_58929.594_102494819_103_ref.jpeg
# POSTAGE_STAMP_DIFF: 10CYSEbcw/58929/1143954000074117900_58929.594_102494819_103_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10CYSEbcw/58929/1143954000074117900_58929.594_102494819_103_target.fits
# POSTAGE_STAMP_REF_FITS: 10CYSEbcw/58929/1143954000074117900_58929.594_102494819_103_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10CYSEbcw/58929/1143954000074117900_58929.594_102494819_103_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN Ia
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: CONFIRMED
# SLUG: 2020dyc
# REAL_BOGUS_SCORE: 0.999952
# HAS_HST: None
# HAS_SPITZER: None
# HAS_CHANDRA: None
# TAGS: [29]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      58912.460  r-ZTF  2350.846  264.500  19.072  0.122  None  P48  ZTF-Cam  None
OBS:      58912.504  g-ZTF  2147.887  220.776  19.170  0.112  None  P48  ZTF-Cam  None
OBS:      58915.418  r-ZTF  2630.562  314.673  18.950  0.130  None  P48  ZTF-Cam  None
OBS:      58915.479  g-ZTF  2596.522  339.501  18.964  0.142  None  P48  ZTF-Cam  None
OBS:      58912.460  r-ZTF  2355.049  260.290  19.070  0.120  None  P48  ZTF-Cam  None
OBS:      58912.504  g-ZTF  2147.830  217.605  19.170  0.110  None  P48  ZTF-Cam  None
OBS:      58912.614  orange  1928.413  172.285  19.287  0.097  None  ATLAS  HKO  None
OBS:      58929.591  g  1742.214  126.741  19.397  0.073  None  Pan-STARRS1  GPC1  None
OBS:      58929.594  r  2249.778  169.610  19.120  0.075  None  Pan-STARRS1  GPC1  None
OBS:      58933.526  g  1057.930  337.799  19.939  0.319  None  Pan-STARRS1  GPC1  None
OBS:      58933.529  i  1156.506  370.136  19.842  0.320  None  Pan-STARRS1  GPC1  None
OBS:      58942.499  r  1589.227  351.181  19.497  0.221  None  Pan-STARRS1  GPC1  None
OBS:      58942.502  i  1423.801  417.313  19.616  0.293  None  Pan-STARRS1  GPC1  None
OBS:      58951.463  i  545.426  282.289  20.658  0.518  None  Pan-STARRS1  GPC1  None
OBS:      58956.456  g  230.512  159.630  21.593  0.693  None  Pan-STARRS1  GPC1  None
OBS:      58956.459  r  473.742  202.988  20.811  0.428  None  Pan-STARRS1  GPC1  None
OBS:      58959.465  g  162.768  85.876  21.971  0.528  None  Pan-STARRS1  GPC1  None
OBS:      58959.468  i  545.631  121.920  20.658  0.223  None  Pan-STARRS1  GPC1  None
OBS:      58964.484  i  267.843  270.256  21.430  1.009  None  Pan-STARRS1  GPC1  None
OBS:      58964.484  i  267.843  270.256  21.430  1.009  None  Pan-STARRS1  GPC1  None
OBS:      58964.487  g  233.919  202.599  21.577  0.866  None  Pan-STARRS1  GPC1  None
OBS:      58964.487  g  233.919  202.599  21.577  0.866  None  Pan-STARRS1  GPC1  None
