cls,num_anom_tagged,num_anom_generated,anom_recovered_percent,num_failcuts,num_normal
CART,27,90,30.0,0,63
ILOT,0,1,0.0,1,0
KN_B19,0,2,0.0,0,2
PISN-MOSFIT,1096,4152,26.400000000000002,2,3054
PISN-STELLA_HECORE,51,595,8.6,3,541
PISN-STELLA_HYDROGENIC,202,978,20.7,7,769
SLSNI,1059,4166,25.4,0,3107
SNII,428,2330,18.4,2,1900
SNIIn+HostXT,351,1774,19.8,0,1423
SNIIn-MOSFIT,52,242,21.5,2,188
SNIa,805,3530,22.8,5,2720
SNIa-91bg,342,1023,33.4,4,677
SNIax,74,239,31.0,0,165
SNIb,321,989,32.5,0,668
SNIc,686,2532,27.1,1,1845
SNIcBL+HostXT_V19,246,1145,21.5,1,898
TDE,457,985,46.400000000000006,0,528
