cls,num_anom_tagged,num_anom_generated,anom_recovered_percent,num_failcuts,num_normal
CART,4,90,4.3999999999999995,0,86
ILOT,0,1,0.0,1,0
KN_B19,0,2,0.0,0,2
PISN-MOSFIT,214,4152,5.2,2,3936
PISN-STELLA_HECORE,4,595,0.7000000000000001,3,588
PISN-STELLA_HYDROGENIC,61,978,6.2,7,910
SLSNI,146,4166,3.5000000000000004,0,4020
SNII,57,2330,2.4,2,2271
SNIIn+HostXT,53,1774,3.0,0,1721
SNIIn-MOSFIT,4,242,1.7000000000000002,2,236
SNIa,50,3530,1.4000000000000001,5,3475
SNIa-91bg,3,1023,0.3,4,1016
SNIax,13,239,5.4,0,226
SNIb,30,989,3.0,0,959
SNIc,52,2532,2.1,1,2479
SNIcBL+HostXT_V19,21,1145,1.7999999999999998,1,1123
TDE,177,985,18.0,0,808
