cls,num_anom_tagged,num_anom_generated,anom_recovered_percent,num_failcuts,num_normal
CART,7,90,7.8,0,83
ILOT,0,1,0.0,1,0
KN_B19,0,2,0.0,0,2
PISN-MOSFIT,292,4152,7.000000000000001,2,3858
PISN-STELLA_HECORE,5,595,0.8,3,587
PISN-STELLA_HYDROGENIC,77,978,7.9,7,894
SLSNI,197,4166,4.7,0,3969
SNII,117,2330,5.0,2,2211
SNIIn+HostXT,105,1774,5.8999999999999995,0,1669
SNIIn-MOSFIT,11,242,4.5,2,229
SNIa,130,3530,3.6999999999999997,5,3395
SNIa-91bg,40,1023,3.9,4,979
SNIax,22,239,9.2,0,217
SNIb,83,989,8.4,0,906
SNIc,152,2532,6.0,1,2379
SNIcBL+HostXT_V19,32,1145,2.8000000000000003,1,1112
TDE,213,985,21.6,0,772
