cls,num_anom_tagged,num_anom_generated,anom_recovered_percent,num_failcuts,num_normal
CART,7,90,7.8,0,83
ILOT,0,1,0.0,1,0
KN_B19,0,2,0.0,0,2
PISN-MOSFIT,275,4152,6.6000000000000005,2,3875
PISN-STELLA_HECORE,5,595,0.8,3,587
PISN-STELLA_HYDROGENIC,75,978,7.7,7,896
SLSNI,177,4166,4.2,0,3989
SNII,120,2330,5.2,2,2208
SNIIn+HostXT,107,1774,6.0,0,1667
SNIIn-MOSFIT,13,242,5.4,2,227
SNIa,124,3530,3.5000000000000004,5,3401
SNIa-91bg,42,1023,4.1000000000000005,4,977
SNIax,18,239,7.5,0,221
SNIb,83,989,8.4,0,906
SNIc,156,2532,6.2,1,2375
SNIcBL+HostXT_V19,33,1145,2.9000000000000004,1,1111
TDE,206,985,20.9,0,779
