cls,num_anom_tagged,num_anom_generated,anom_recovered_percent,num_failcuts,num_normal
CART,30,90,33.300000000000004,0,60
ILOT,0,1,0.0,1,0
KN_B19,0,2,0.0,0,2
PISN-MOSFIT,1009,4152,24.3,2,3141
PISN-STELLA_HECORE,57,595,9.6,3,535
PISN-STELLA_HYDROGENIC,224,978,22.900000000000002,7,747
SLSNI,1117,4166,26.8,0,3049
SNII,454,2330,19.5,2,1874
SNIIn+HostXT,371,1774,20.9,0,1403
SNIIn-MOSFIT,55,242,22.7,2,185
SNIa,888,3530,25.2,5,2637
SNIa-91bg,357,1023,34.9,4,662
SNIax,82,239,34.300000000000004,0,157
SNIb,344,989,34.8,0,645
SNIc,737,2532,29.099999999999998,1,1794
SNIcBL+HostXT_V19,271,1145,23.7,1,873
TDE,469,985,47.599999999999994,0,516
