name ra dec hostra_ghost hostdec_ghost hostra_sherlock hostdec_sherlock transient_sep_ghost sep_L2arcsec_ghost transient_sep_sherlock sep_L2arcsec_sherlock sep_host_ghost_v_sherlock sep_L2arcsec_host_ghost_v_sherlock
2021adod 5.644406255004056 16.8740564070043 5.6438790 16.8742098 -99.0000000 -99.0000000 1.8985000 True -99.0000000 False -99.0000000 False
2021adoy 146.90007953333568 36.18639594093955 146.8997346 36.1863266 146.8997161 36.1862852 1.0328912 True 1.1287599 True 0.1583846 True
2021adpg 16.943591666666663 1.064313888888889 16.9439453 1.0643566 -99.0000000 -99.0000000 1.2820552 True -99.0000000 False -99.0000000 False
2021adql 317.10662995396063 -1.48856676192611 317.1064835 -1.4886519 317.1065063 -1.4886501 0.6097268 True 0.5367243 True 0.0823012 True
2021adsm 45.80143932878859 39.82208103324929 45.8014587 39.8221268 45.8014622 39.8221260 0.1730591 True 0.1736228 True 0.0100353 True
2021adsy 68.86761256905825 -7.503038235694915 68.8676899 -7.5032380 68.8677100 -7.5032291 0.7703189 True 0.7700742 True 0.0786411 True
2021adtd 139.077776009687 42.38961227253191 139.0730959 42.3893689 139.0731810 42.3893510 12.4747292 False 12.2537537 False 0.2353198 True
2021adug 13.549120833333333 -14.96983611111111 13.5510504 -14.9695484 13.5510441 -14.9695351 6.7902675 False 6.7758892 False 0.0530627 True
2021aduj 22.004241666666665 3.5201277777777777 22.0038180 3.5197918 -99.0000000 -99.0000000 1.9442925 True -99.0000000 False -99.0000000 False
2021aduv 333.75185638543553 0.6473124262439774 333.7517264 0.6472914 333.7517548 0.6472804 0.4739777 True 0.3836074 True 0.1095944 True
2021adwh 150.2433779471034 3.467248655308163 150.2434600 3.4665761 150.2461667 3.4643056 2.4391219 False 14.5834991 False 12.7047898 False
2021adwx 358.77376666666663 19.368225 358.7737068 19.3687373 -99.0000000 -99.0000000 1.8555537 True -99.0000000 False -99.0000000 False
2021adxd 9.845458333333331 2.804036111111111 9.8457224 2.7979253 9.8457054 2.7979359 22.0195422 False 21.9788031 False 0.0719789 True
2021adyj 321.06177499999995 10.123130555555557 321.0615287 10.1228398 -99.0000000 -99.0000000 1.3627964 True -99.0000000 False -99.0000000 False
2021adzc 147.0928933284452 30.60746607152127 147.0932894 30.6080205 147.0932532 30.6080070 2.3431080 False 2.2441351 False 0.1220785 True
2021adze 11.290495833333333 1.8815972222222221 11.2905402 1.8817530 -99.0000000 -99.0000000 0.5831568 True -99.0000000 False -99.0000000 False
2021adzp 143.9375642580695 31.624475192411747 143.9381062 31.6244210 143.9380724 31.6244126 1.6726095 True 1.5739925 True 0.1077936 True
2021aeas 194.98036938534761 27.949485257244408 -99.0000000 -99.0000000 195.0338750 27.9770000 -99.0000000 False 196.8660667 False -99.0000000 False
2021aeay 65.92695833333333 -11.85986111111111 65.9262246 -11.8604583 -99.0000000 -99.0000000 3.3623315 False -99.0000000 False -99.0000000 False
2021aedc 33.509324134158696 36.24059784587647 -99.0000000 -99.0000000 33.5094269 36.2406297 -99.0000000 False 0.3197576 True -99.0000000 False
2021aedj 332.4804247261762 6.708009540382956 332.4802071 6.7078042 -99.0000000 -99.0000000 1.0732071 True -99.0000000 False -99.0000000 False
2021aedl 36.794158754289946 0.09952862863151819 36.7944405 0.0996836 -99.0000000 -99.0000000 1.1576030 True -99.0000000 False -99.0000000 False
2021aedt 57.06889166666666 -22.585369444444442 57.0689471 -22.5850553 -99.0000000 -99.0000000 1.1458779 True -99.0000000 False -99.0000000 False
2021aedy 321.1656999999999 13.302352777777779 321.1581107 13.2994493 -99.0000000 -99.0000000 28.5694888 False -99.0000000 False -99.0000000 False
2021aedz 332.67169583333333 6.2546333333333335 332.6715885 6.2547651 -99.0000000 -99.0000000 0.6105313 True -99.0000000 False -99.0000000 False
2021aeex 156.30131713735332 1.5835385809355922 156.3014761 1.5832784 156.3013892 1.5829824 1.0974908 True 2.0188364 False 1.1104813 True
2021aefg 138.42470416666666 33.656619444444445 138.4246910 33.6566286 -99.0000000 -99.0000000 0.0514333 True -99.0000000 False -99.0000000 False
2021aefw 141.13257416216334 34.57394684119443 141.1320790 34.5734162 -99.0000000 -99.0000000 2.4090563 False -99.0000000 False -99.0000000 False
2021aegy 35.745768665170594 35.662569703391696 35.7453836 35.6624977 35.7453970 35.6624950 1.1557720 True 1.1198763 True 0.0402923 True
2021aehk 140.2232125 53.197025 140.2220380 53.1967370 -99.0000000 -99.0000000 2.7369537 False -99.0000000 False -99.0000000 False
2021aehm 121.31132305610144 37.47331684743003 121.3115451 37.4725804 -99.0000000 -99.0000000 2.7260652 False -99.0000000 False -99.0000000 False
2021aehu 16.98429245491473 -16.145755420569863 -99.0000000 -99.0000000 -99.0000000 -99.0000000 -99.0000000 False -99.0000000 False -99.0000000 False
2021aehv 36.09359166666666 0.13585555555555556 36.0935699 0.1358862 36.0936060 0.1358879 0.1354887 True 0.1272930 True 0.1302179 True
2021aeiv 36.466386996546795 -7.2107752371039355 36.4662185 -7.2106226 -99.0000000 -99.0000000 0.8147903 True -99.0000000 False -99.0000000 False
2021aeiz 42.95152081721889 -4.944610263014958 42.9519115 -4.9442250 -99.0000000 -99.0000000 1.9715599 True -99.0000000 False -99.0000000 False
2021aeja 47.99388681841301 2.846788479889027 47.9939060 2.8444350 47.9937900 2.8445270 8.4729175 False 8.1487668 False 0.5327713 True
2021aeki 1.5346874659626533 17.475255260702003 1.5351891 17.4754190 -99.0000000 -99.0000000 1.8204739 True -99.0000000 False -99.0000000 False
2021aele 53.88569959350063 -28.514326597539778 53.8856033 -28.5142680 53.8856667 -28.5141900 0.3704220 True 0.5026610 True 0.3449791 True
2021aemn 185.57771502698 7.625101096948115 185.5795894 7.6237816 185.5795417 7.6237778 8.2034568 False 8.0731960 False 0.1710170 True
2021aenj 111.37903372937542 41.944313299106916 111.3789691 41.9443010 111.3790266 41.9443028 0.1786300 True 0.0424913 True 0.1541107 True
2021aenk 111.69025792283861 41.81026125506572 111.6907629 41.8102960 111.6907033 41.8108207 1.3608411 True 2.3418353 False 1.8956721 True
2021aepc 6.270787499999999 28.461330555555556 6.2709445 28.4609662 -99.0000000 -99.0000000 1.4027429 True -99.0000000 False -99.0000000 False
2021aepp 66.41827239826355 -7.825536731584089 66.4171295 -7.8282485 66.4171158 -7.8282402 10.5790585 False 10.5705473 False 0.0569264 True
2021aeps 39.252471264898354 40.684621508102566 39.2538136 40.6843886 39.2536160 40.6842840 3.7591112 False 3.3529308 False 0.6577355 True
2021aepx 39.381770833333334 -1.0276888888888889 39.3815458 -1.0278306 -99.0000000 -99.0000000 0.9573704 True -99.0000000 False -99.0000000 False
2021aert 30.430658230546157 -2.6585540284615847 30.4308771 -2.6583554 -99.0000000 -99.0000000 1.0634233 True -99.0000000 False -99.0000000 False
2021aerz 359.9823833333333 20.00711111111111 359.9826743 20.0071578 -99.0000000 -99.0000000 0.9984461 True -99.0000000 False -99.0000000 False
