ZTFID,HOST_RA,HOST_DEC
ZTF23aaewyhm,127.14609195,67.20280587
ZTF21abcounq,197.05369755,45.6067319
ZTF20acpmojv,25.41992258,32.84064901
ZTF18absqohp,26.70575626,13.14436409
ZTF21aapjadg,194.14281615,13.25765353
ZTF21aawcktq,202.38213957,-4.67908533
ZTF21aagtgoj,183.07358218,-9.01766393
ZTF21acjeyss,5.37716281,-0.37817226
ZTF21acgzytq,84.14973861,-20.07538865
