ZTFID,ANN_NUM,IAU_NAME,SPEC_CLS,Z
ZTF23aaewyhm,0,2023gzn,---,
ZTF21abcounq,1,2021nrb,---,-99.0
ZTF20acpmojv,2,2020zev,---,-99.0
ZTF18absqohp,3,No TNS,---,-99.0
ZTF21aapjadg,4,2021gso,---,-99.0
ZTF21aawcktq,5,2021jzv,---,-99.0
ZTF21aagtgoj,6,2021cwr,---,-99.0
ZTF21acjeyss,7,2021ahbo,---,-99.0
ZTF21acgzytq,8,2021abjk,---,-99.0
