ZTFID,ANN_NUM,IAU_NAME,SPEC_CLS,Z
ZTF20acmgsfo,0,2020xsy,SLSN-II,0.27
ZTF18acnbpmd,1,2018jbv,---,-99.0
ZTF20abowque,2,2020qhs,---,-99.0
ZTF21aatitlf,3,2021iuu,---,-99.0
ZTF20acxmxtu,4,2021mz,SN IIn,0.121
ZTF19abfpxuy,5,No TNS,---,-99.0
ZTF21aaeotnn,6,2021asj,---,-99.0
ZTF20acyxvbz,7,2020adnr,---,-99.0
ZTF19adcfmvi,8,No TNS,---,-99.0
