ZTFID,ANN_NUM,IAU_NAME,SPEC_CLS,Z
ZTF21aawihwx,0,2021jvp,SN Ia-91bg-like,0.044
ZTF21aagsjfx,1,2021bvv,---,-99.0
ZTF21abqmrtm,2,2021uoy,SN II,0.03347
ZTF18adaysnz,3,2018ldt,---,-99.0
ZTF21aaqqwln,4,2021hdu,SN Ia,0.058
ZTF21achjwus,5,2021abpz,SN Ia,0.05212
ZTF21aapkisz,6,2021fpb,---,-99.0
ZTF20acnznol,7,2020yje,SN Ia,0.032312
ZTF21abrpeix,8,2021uda,SN Ia,0.0488526
